buh_empresa	buh_archivo	buh_fecha	buh_bodega	buh_codigo	buh_codigo_funcional	buh_codigo_vinculado	buh_codigo_generico	buh_estatus	buh_clasificacion	buh_responsable	buh_ctv	buh_pv	buh_precio_promocion	buh_promocion_desde	buh_promocion_hasta	buh_proveedor	buh_perfil	buh_horizonte	buh_tiempo_suministro	buh_frecuencia_reposicion	buh_gdb	buh_cam	buh_etapa	buh_nuevo_buffer_sugerido	buh_comportamiento	buh_consumo	buh_buffer_calculado	buh_cobertura_buffer	buh_cobertura_inventario_proyectado	buh_cobertura_pedido_minimo	buh_dias_desabastecimiento	buh_ventas_perdidas	buh_observaciones	buh_nuevo_buffer_real	buh_posponer_alerta_buf	buh_posponer_alerta_red	buh_posponer_alerta_gdb	buh_buffer_minimo	buh_buffer_maximo	buh_pedido_minimo	buh_redondeo_pedido_minimo	buh_pedido_minimo_grupo	buh_unidad_empaque	buh_redondeo_unidad_empaque	buh_porcentaje_atencion	buh_impacto_faltante	buh_buffer_actual	buh_zona_amarilla	buh_zona_roja	buh_color_inventario_fisico	buh_color_inventario_proyectado 	buh_ultimo_buffer	buh_buffer_anterior_estacion	buh_buffer_estacional	buh_inventario_proveedor	buh_inventario_fisico	buh_estado_inventario_fisico	buh_transito	buh_negociacion	buh_produccion	buh_embarcado	buh_comprometido	buh_backorder	buh_inventario_proyectado	buh_estado_inventario_proyectado	buh_ingresos	buh_egresos	buh_pedido_calculado_auxiliar	buh_pedido_calculado	buh_pedido_promedio	buh_pedido_real	buh_calendario_estacional	buh_accion_estacional	buh_etapa_estacional	buh_tdd	buh_idd	buh_roi_pasado	buh_roi_proyectado	buh_velocity	buh_nivel_servicio	buh_ultimo_cambio	buh_nuevo_inicio_horizonte	buh_inicio_horizonte	buh_fin_horizonte	buh_ultima_transferencia_ini	buh_ultima_transferencia_fin	buh_variabilidad	buh_rojo_acumulado	buh_negro	buh_rojo	buh_amarillo	buh_verde	buh_lila	emp_nombre	bod_nombre	ach_nombre	pro_nombre	pre_nombre	pro_descripcion	pro_grupo	pro_linea	pro_sublinea	pro_modelo	pro_familia	pro_subfamilia 	pro_categoria	pro_tipo	pro_marca	pro_cat_management	buh_estado_reposiciones	buh_fecha_nuevo_pedido	buh_fecha_esperada_arribo
1	11	2017-06-01	150309000000214	10000000056	\N	EC-X605000090	0	0	0	0	0.21	1.54	0.00	\N	\N	20	16	2.00	1.00	1.00	1	\N	LIBRE-127	\N	\N	0.00	0.00	0.00	0.00	0.00	0	0.00	\N	\N	\N	\N	\N	\N	\N	1.00	Default	\N	1.00	=	1.00	\N	0.00	0.00	0.00	G	G	1.00	\N	\N	4.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	\N	\N	\N	0.00	0.00	\N	\N	\N	\N	0.00	0.00	0.00	0.00	\N	0.00	2017-01-11	\N	2017-05-18	2017-06-01	1899-12-30	1899-12-30	1.00	0.00	1.00	0.00	0.00	0.00	0.00	AGROTA	AGROTA SUKAMPO FERIA LIBRE	Central Sukampo.xlsm	Bodega Central Agrota	LOCAL	LLAVE EXAGONAL 3MM B450 HERRAM (09026-03001)	ACCESORIOS EQUIPOS 2T	AGROFORESTAL					ACCESORIOS		SHINDAIWA		\N	\N	\N
1	11	2017-06-01	150309000000214	10000000503	\N	EC-X475000050	0	0	0	0	0.56	2.35	0.00	\N	\N	20	16	2.00	1.00	1.00	1	\N	LIBRE-127	\N	\N	0.00	0.00	0.00	0.00	0.00	0	0.00	\N	\N	\N	\N	\N	\N	\N	1.00	Default	\N	1.00	=	1.00	\N	0.00	0.00	0.00	G	G	1.00	\N	\N	1000000000.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	\N	\N	\N	0.00	0.00	\N	\N	\N	\N	0.00	0.00	0.00	0.00	\N	0.00	2017-01-11	\N	2017-05-18	2017-06-01	1899-12-30	1899-12-30	1.00	0.00	1.00	0.00	0.00	0.00	0.00	AGROTA	AGROTA SUKAMPO FERIA LIBRE	Central Sukampo.xlsm	Bodega Central Agrota	LOCAL	BOQUILLA SPEED FEED (28820-07340)	REPUESTOS 2T	AGROFORESTAL					REPUESTOS		SHINDAIWA		\N	\N	\N
1	11	2017-06-01	150309000000214	10000000698	\N	EC-72005-92630	0	0	0	0	0.51	1.53	0.00	\N	\N	20	16	2.00	1.00	1.00	1	\N	LIBRE-127	\N	\N	0.00	0.00	0.00	0.00	0.00	0	0.00	\N	\N	\N	\N	\N	\N	\N	1.00	Default	\N	1.00	=	1.00	\N	0.00	0.00	0.00	G	G	20.00	\N	\N	306.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	\N	\N	\N	0.00	0.00	13.00	\N	\N	\N	0.00	0.00	0.00	0.00	\N	0.00	2017-01-11	\N	2017-05-18	2017-06-01	1899-12-30	1899-12-30	1.00	0.00	1.00	0.00	0.00	0.00	0.00	AGROTA	AGROTA SUKAMPO FERIA LIBRE	Central Sukampo.xlsm	Bodega Central Agrota	LOCAL	OJAL DE CABEZAL UN10 UN32	REPUESTOS 2T	AGROFORESTAL					REPUESTOS		SHINDAIWA		\N	\N	\N
1	11	2017-06-01	150309000000214	10000000739	\N	EC-73LPX84X	0	0	0	0	12.83	24.72	0.00	\N	\N	20	16	2.00	1.00	1.00	1	\N	LIBRE-127	\N	\N	0.00	0.00	0.00	0.00	0.00	0	0.00	\N	\N	\N	\N	\N	\N	\N	1.00	Default	\N	1.00	=	1.00	\N	0.00	0.00	0.00	G	G	1.00	\N	\N	35.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	\N	\N	\N	0.00	0.00	\N	\N	\N	\N	0.00	0.00	0.00	0.00	\N	0.00	2017-01-11	\N	2017-05-18	2017-06-01	1899-12-30	1899-12-30	1.00	0.00	1.00	0.00	0.00	0.00	0.00	AGROTA	AGROTA SUKAMPO FERIA LIBRE	Central Sukampo.xlsm	Bodega Central Agrota	LOCAL	CADENA 60CM 24" 3/8 CS600	DESMALEZADORAS 2T	AGROFORESTAL					DESMALEZADORAS		ECHO		\N	\N	\N
1	11	2017-06-01	150309000000214	10000000760	\N	EC-82002	0	0	0	0	20.68	42.86	0.00	\N	\N	20	16	2.00	1.00	1.00	1	\N	LIBRE-127	\N	\N	0.00	0.00	0.00	0.00	0.00	0	0.00	\N	\N	\N	\N	\N	\N	\N	1.00	Default	\N	1.00	=	1.00	\N	0.00	0.00	0.00	G	G	4.00	\N	\N	32.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	\N	\N	\N	0.00	0.00	\N	\N	\N	\N	0.00	0.00	0.00	0.00	\N	0.00	2017-01-11	\N	2017-05-18	2017-06-01	1899-12-30	1899-12-30	1.00	0.00	1.00	0.00	0.00	0.00	0.00	AGROTA	AGROTA SUKAMPO FERIA LIBRE	Central Sukampo.xlsm	Bodega Central Agrota	LOCAL	CASCO VISOR OREJERAS SHINDAIWA	ACCESORIOS EQUIPOS 2T	AGROFORESTAL					ACCESORIOS		SHINDAIWA		\N	\N	\N
1	11	2017-06-01	150309000000214	10000000761	\N	EC-82003	0	0	0	0	14.97	34.75	0.00	\N	\N	20	16	2.00	1.00	1.00	1	\N	LIBRE-127	\N	\N	0.00	0.00	0.00	0.00	0.00	0	0.00	\N	\N	\N	\N	\N	\N	\N	1.00	Default	\N	1.00	=	1.00	\N	0.00	0.00	0.00	G	G	4.00	\N	\N	85.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	\N	\N	\N	0.00	0.00	\N	\N	\N	\N	0.00	0.00	0.00	0.00	\N	0.00	2017-01-11	\N	2017-05-18	2017-06-01	1899-12-30	1899-12-30	1.00	0.00	1.00	0.00	0.00	0.00	0.00	AGROTA	AGROTA SUKAMPO FERIA LIBRE	Central Sukampo.xlsm	Bodega Central Agrota	LOCAL	VISOR OREJERAS SHINDAIWA	ACCESORIOS EQUIPOS 2T	AGROFORESTAL					ACCESORIOS		SHINDAIWA		\N	\N	\N
1	11	2017-06-01	150309000000214	10000000766	\N	EC-88102	0	0	0	0	11.35	21.85	0.00	\N	\N	20	16	2.00	1.00	1.00	1	\N	LIBRE-127	\N	\N	0.00	0.00	0.00	0.00	0.00	0	0.00	\N	\N	\N	\N	\N	\N	\N	1.00	Default	\N	1.00	=	1.00	\N	0.00	0.00	0.00	G	G	1.00	\N	\N	2.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	\N	\N	\N	0.00	0.00	\N	\N	\N	\N	0.00	0.00	0.00	0.00	\N	0.00	2017-01-11	\N	2017-05-18	2017-06-01	1899-12-30	1899-12-30	1.00	0.00	1.00	0.00	0.00	0.00	0.00	AGROTA	AGROTA SUKAMPO FERIA LIBRE	Central Sukampo.xlsm	Bodega Central Agrota	LOCAL	BOQUILLA HV-2 SHP800 ES726 (88102)	ACCESORIOS EQUIPOS 2T	AGROFORESTAL					ACCESORIOS		SHINDAIWA		\N	\N	\N
1	11	2017-06-01	150309000000214	10000000776	\N	EC-90SG-39X	0	0	0	0	6.21	11.72	0.00	\N	\N	20	16	2.00	1.00	1.00	1	\N	LIBRE-127	\N	\N	0.00	0.00	0.00	0.00	0.00	0	0.00	\N	\N	\N	\N	\N	\N	\N	1.00	Default	\N	1.00	=	1.00	\N	0.00	0.00	0.00	G	G	1.00	\N	\N	1000000000.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	\N	\N	\N	0.00	0.00	\N	\N	\N	\N	0.00	0.00	0.00	0.00	\N	0.00	2017-01-11	\N	2017-05-18	2017-06-01	1899-12-30	1899-12-30	1.00	0.00	1.00	0.00	0.00	0.00	0.00	AGROTA	AGROTA SUKAMPO FERIA LIBRE	Central Sukampo.xlsm	Bodega Central Agrota	LOCAL	CA CADENA GUIA 10" P230 (90SG-039X) (90SG-39X)	REPUESTOS 2T	AGROFORESTAL					REPUESTOS		ECHO		\N	\N	\N
1	11	2017-06-01	150309000000214	10000000892	\N	EC-GP450INTL	0	0	0	0	295.52	559.33	0.00	\N	\N	20	16	2.00	1.00	1.00	1	\N	LIBRE-127	\N	\N	0.00	0.00	0.00	0.00	0.00	0	0.00	\N	\N	\N	\N	\N	\N	\N	1.00	Default	\N	1.00	=	1.00	\N	0.00	0.00	0.00	G	G	1.00	\N	\N	1000000000.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	\N	\N	\N	0.00	0.00	\N	\N	\N	\N	0.00	0.00	0.00	0.00	\N	0.00	2017-01-11	\N	2017-05-18	2017-06-01	1899-12-30	1899-12-30	1.00	0.00	1.00	0.00	0.00	0.00	0.00	AGROTA	AGROTA SUKAMPO FERIA LIBRE	Central Sukampo.xlsm	Bodega Central Agrota	LOCAL	BOMBA DE AGUA GP 450	BOMBAS DE AGUA 2T	INDUSTRIAL					BOMBAS DE AGUA 2T		SHINDAIWA		\N	\N	\N
1	11	2017-06-01	150309000000214	10000000893	\N	EC-SHP-800EUSTD	0	0	0	0	268.28	651.08	0.00	\N	\N	20	16	2.00	1.00	1.00	1	\N	LIBRE-127	\N	\N	0.00	0.00	0.00	0.00	0.00	0	0.00	\N	\N	\N	\N	\N	\N	\N	1.00	Default	\N	1.00	=	1.00	\N	0.00	0.00	0.00	G	G	1.00	\N	\N	91.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	\N	\N	\N	0.00	0.00	\N	\N	\N	\N	0.00	0.00	0.00	0.00	\N	0.00	2017-01-11	\N	2017-05-18	2017-06-01	1899-12-30	1899-12-30	1.00	0.00	1.00	0.00	0.00	0.00	0.00	AGROTA	AGROTA SUKAMPO FERIA LIBRE	Central Sukampo.xlsm	Bodega Central Agrota	LOCAL	BOMBA DE FUMIGACION SHP-800	PULVERIZADORA 2T	AGROFORESTAL					FUMIGACION		ECHO		\N	\N	\N
