EMPRESA	ARCHIVO	FECHA	BODEGA	CODIGO	CODIGO FUNCIONAL	CODIGO VINCULADO	CODIGO GENERICO	DESCRIPCION	GRUPO	LINEA	SUBLINEA	FAMILIA	SUBFAMILIA	CATEGORIA	TIPO	MARCA	MODELO	CAT MANAGEMENT	NUEVO	CAT PROPIA 1	CAT PROPIA 2	CAT PROPIA 3	CAT PROPIA 4	CAT PROPIA 5	Estatus	Clasificación	Responsable	CTV	PV	Precio Promoción	Inicio Promoción	Fin Promoción	Horizonte	T Suministro	Frec Repos	GDB	Cam	Etapa	Estado Reposiciones	Nuevo Buff Sug	Comportamiento	Consumo	Cobertura Buffer	Cobertura Inv Proy	Cobertura Ped Min	Días Desabastecimiento	Ventas Perdidas	Posponer BUF	Posponer RED	Posponer GDB	Proveedor	Perfil	Buff Min	Buff Max	PEDID Min	Redondeo Pedido Mínimo	PEDID Min Grupo	Unidad Empaque	Redondeo Unidad Empaque	Porc Aten	Impacto Faltante	Observaciones	Nuevo Buff Real	Buff Act	Buff Calc	Zona Amar	Zona Roja	Color	Color1	Ult Buffer	Buff Ant Estacion	Buff Estacional	Inv Proveed	Inv Fís Act	Estado Buffer	Tráns Act	Negociación	Producción	Embarcado	Comprom	Backorders	Inv Proy Act	Estado Buffer Proy	Ingresos	Egresos	PEDIDCalc	PEDID Prom	PEDID Real	Calendario Estacional	Acción Estacional	Etapa Estacional	T$D	I$D	Rentabilid	Rentabilidad Proy	Vel Efect	Servicio	Ult Cambio	Inicio Per	Fin Per	Ult Transfer Inicial	Ult Transfer Final	Fecha Nuevo Pedido	Fecha Esperada Arribo	Var	Rojo Acum	Negro	Rojo	Amarillo	Verde	Lila	Err Ped Grupo	Color Repos Frec	Omisiones GDB	Numero Fila	Borrar
AGROTA	Accesorios.xlsm	43313	Bodega Central Agrota	150427102808959		EC-99944200596		ACC. CORTACETOS ARTICULADO PAS-266 (EC-99944200595)	ACCESORIOS EQUIPOS 2T	AGROFORESTAL				ACCESORIOS	Accesorios	ECHO			0									209.9	439	0			10	8	2	1	-	SUSP-65	SAC MFR-7			0.23	3.3	1.1	1.1	15	0				Echo	USA ECHO			1	Default		1	=	1				3	4	2	1	N	R	1			1000000000	0	1	1	0	0	0	0	0	1	0.6667			2	1					229	0	0	5.24		1.33	43308	43308	43378	43292	43228	43306	43348	1	0	0.113207547	0	0	0	0		N	FALSE		
AGROTA	Accesorios.xlsm	43313	Bodega Central Agrota	110106123430885		EC-65003		ACC. CORTASETOS ARTICULADOS M-230	ACCESORIOS EQUIPOS 2T	AGROFORESTAL				ACCESORIOS	Accesorios	SHINDAIWA			0									172.89	348.21	0			10	8	2	1	-	SUSP-65	SAC MFR-7			0.41	3	1.8	0.6	28	0				Echo	USA ECHO			1	Default		1	=	1				5	7	3	2	A	A	3			1000000000	3	0.4	0	0	0	0	0	0	3	0.4			2	1					0	0	0	4.87		1.6	43308	43308	43378	43292	43312	43306	43348	1.549193338	0	0.075471698	0	0.037735849	0	0		N	FALSE		
AGROTA	Accesorios.xlsm	43313	Bodega Central Agrota	160617152859444		EC-99944200485		ACC. CORTASETOS PAS266	ACCESORIOS EQUIPOS 2T	AGROFORESTAL				ACCESORIOS	Gris Accesorio	ECHO			0									118.35	0	0			10	8	2	1		LIBRE-156				0	0	0	0	0	0				Echo	USA ECHO			1	Default		1	=	1				0	0	0	0	G	G	1			1000000000	1	0	0	0	0	0	0	0	1	0			0	0					0	0	0	0		0	43087	43243	43313	36526	36526	36526	36582	0	0	0	0	0	0	1			FALSE		
AGROTA	Accesorios.xlsm	43313	Bodega Central Agrota	150427102304506		EC-99944200513		ACC. CULTIVADOR PAS-266	ACCESORIOS EQUIPOS 2T	AGROFORESTAL				ACCESORIOS	Accesorios	ECHO			0									151.59	315	0			10	8	2	1	-	LIBRE-484	MAC 		RED BUF	0	0	0	0	0	0				Echo	USA ECHO			1	Default		1	=	1				1	0	1	1	R	R	2			1000000000	1	0	0	0	0	0	0	0	1	0			0	0					0	0	0	5.17		0	42759	43243	43313	36526	36526	36526	36582	0	0	0	1	0	0	0			FALSE		
AGROTA	Accesorios.xlsm	43313	Bodega Central Agrota	110106121031931		EC-65001		ACC. DESMALEZADORA M230 (7102)	ACCESORIOS EQUIPOS 2T	AGROFORESTAL				ACCESORIOS	Accesorios	SHINDAIWA			0									64.91	105.53	0			10	8	2	1	-	SUSP-65	 MFR-7			0.09	13.9	5.6	2.8	0	0				Echo	USA ECHO			1	Default		1	=	1				5	2	3	2	R	R	3			1000000000	1	0.8	1	0	0	0	0	0	2	0.6			3	1					41	0	0	3		1.2	43308	43308	43378	43292	43069	43306	43348	0	0	0	0.113207547	0	0	0		N	FALSE		
AGROTA	Accesorios.xlsm	43313	Bodega Central Agrota	150420100157257		EC-99944200600		ACC. DESMALEZADORA PAS-266	ACCESORIOS EQUIPOS 2T	AGROFORESTAL				ACCESORIOS	Gris Accesorio	ECHO			0									70.63	159	0			10	8	2	1		SUSP-65	MAC 		BUF	0	0	0	0	0	0				Echo	USA ECHO			1	Default		1	=	1				3	0	2	1	L	L	0			1000000000	5	-0.6667	0	0	0	0	0	0	5	-0.6667			0	1					0	141	0	6.01		0	43308	43308	43378	36526	36526	36526	36582	0	0	0	0	0	0	0.113207547			FALSE		
AGROTA	Accesorios.xlsm	43313	Bodega Central Agrota	150427103057084		EC-99944200536		ACC. EXTENSION PAS-266 (99944200535)	REPUESTOS 2T	AGROFORESTAL				ACCESORIOS	Gris Accesorio	ECHO			0									29.38	59	0			10	8	2	1		LIBRE-156				0	0	0	0	0	0				Echo	USA ECHO			1	Default		1	=	1				0	0	0	0	G	G	1			1000000000	2	0	0	0	0	0	0	0	2	0			0	0					0	0	0	0		0	43087	43243	43313	43020	43069	43034	43076	0	0	0	0	0	0	1			FALSE		
AGROTA	Accesorios.xlsm	43313	Bodega Central Agrota	160617151926633		EC-99944200475		ACC. ORILLADORA PAS266	ACCESORIOS EQUIPOS 2T	AGROFORESTAL				ACCESORIOS	Gris Accesorio	ECHO			0									97.87	0	0			10	8	2	1		LIBRE-156				0	0	0	0	0	0				Echo	USA ECHO			1	Default		1	=	1				0	0	0	0	G	G	1			1000000000	1	0	0	0	0	0	0	0	1	0			0	0					0	0	0	0		0	43087	43243	43313	36526	36526	36526	36582	0	0	0	0	0	0	1			FALSE		
AGROTA	Accesorios.xlsm	43313	Bodega Central Agrota	160617150858238		EC-99944200532		ACC. PODADORA DE EXTENSION PAS266	ACCESORIOS EQUIPOS 2T	AGROFORESTAL				ACCESORIOS	Accesorios	ECHO			0									146.28	280	0			10	8	2	1	-	LIBRE-484	MAC 			0.05	5	5	5	30	0				Echo	USA ECHO			1	Default		1	=	1				1	1	1	1	N	R	2			1000000000	0	1	0	0	0	0	0	1	1	0			0	0					134	0	0	4.39		0	42759	43243	43313	36526	36526	36526	36582	1.503027248	0	0.690140845	0.309859155	0	0	0			FALSE		
AGROTA	Accesorios.xlsm	43313	Bodega Central Agrota	150420094738456		EC-99944200540		ACC. PODADORA SPEED-FEED PAS266	ACCESORIOS EQUIPOS 2T	AGROFORESTAL				ACCESORIOS	Accesorios	ECHO			0									53.08	109	0			10	8	2	1	-	LIBRE-484	MAC 		RED BUF	0	0	0	0	0	0				Echo	USA ECHO			1	Default		1	=	1				1	0	1	1	R	R	3			1000000000	1	0	0	0	0	0	0	0	1	0			0	0					0	0	0	5.06		0	42759	43243	43313	36526	36526	36526	36582	0	0	0	1	0	0	0			FALSE		
