EMPRESA	ARCHIVO	FECHA	BODEGA	CODIGO	CODIGO FUNCIONAL	CODIGO VINCULADO	CODIGO GENERICO	DESCRIPCION	GRUPO	LINEA	SUBLINEA	FAMILIA	SUBFAMILIA	CATEGORIA	TIPO	MARCA	MODELO	CAT MANAGEMENT	CAT PROPIA 1	CAT PROPIA 2	CAT PROPIA 3	CAT PROPIA 4	CAT PROPIA 5	Estatus	Clasificación	Responsable	CTV	PV	Precio Promoción	Inicio Promoción	Fin Promoción	Proveedor	Perfil	Horizonte	T Suministro	Frec Repos	GDB	Cam	Etapa	Nuevo Buff Ingles	Nuevo Buff Espanol	Nuevo Buff Sug	Comportamiento	Consumo	Buff Calc	Cobertura Buffer	Cobertura Inv Proy	Cobertura Ped Min	Días Desabastecimiento	Ventas Perdidas	Observaciones	Nuevo Buff Real	Posponer BUF	Posponer RED	Posponer GDB	Buff Min	Buff Max	PEDID Min	Redondeo Pedido Mínimo	PEDID Min Grupo	Unidad Empaque	Redondeo Unidad Empaque	Porc Aten	Impacto Faltante	Buff Act	Zona Amar	Zona Roja	Color	Color1	Ult Buffer	Buff Ant Estacion	Buff Estacional	Inv Proveed	Inv Fís Act	Estado Buffer	Tráns Act	Negociación	Producción	Embarcado	Comprom	Backorders	Inv Proy Act	Estado Buffer Proy	Ingresos	Egresos	Pedid Calc Auxiliar	PEDIDCalc	PEDID Prom	PEDID Real	Calendario Estacional	Acción Estacional	Etapa Estacional	T$D	I$D	Rentabilid	Rentabilidad Proy	Vel Efect	Servicio	Ult Cambio	Nuevo Inicio	Inicio Per	Fin Per	Ult Transfer Inicial	Ult Transfer Final	Var	Porcent Lleno	Rojo Acum	Negro	Rojo	Amarillo	Verde	Lila	Err Ped Grupo	Numero Fila	Borrar
AGROTA	Agroinsumos Riera.xlsm	42821	BODEGA SATELITE AGROINSUMOS RIERA	1010201324139		PTNUCOCIT-LIT	0	CITOQMAX X LIT	CITOQUININAS 110 PPM SL	NUTRICIONAL	0	0	0	NUTRICIONAL GREENLEAF	0	GREENLEAF	0	0						0	0	0	4.96	21	0			Bodega Central Agrota	LOCAL	2	1	1	1		LIBRE-52					0	0	0	0	0	0	0									Default			=	1		0	0	0	G	G	40			1000000000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					0	0	0	0		1	42755	42806	42806	42821			1	1	0	1	0	0	0	0		1	
AGROTA	Agroinsumos Riera.xlsm	42821	BODEGA SATELITE AGROINSUMOS RIERA	10102013241613		PTNUCOIMP-LIT	0	IMPULMAX X LIT	FITOHORMONAS 170 ppp SL	NUTRICIONAL	0	0	0	NUTRICIONAL GREENLEAF	0	GREENLEAF	0	0						0	0	0	8.69	29	0			Bodega Central Agrota	LOCAL	2	1	1	1		LIBRE-52					0	0	0	0	0	0	0									Default			=	1		0	0	0	G	G	14			1000000000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					0	0	0	0		1	42755	42806	42806	42821			1	1	0	1	0	0	0	0		2	
AGROTA	Agroinsumos Riera.xlsm	42821	BODEGA SATELITE AGROINSUMOS RIERA	10102013242119		PTNUCOIMP-250CC	0	IMPULMAX X 250CC	FITOHORMONAS 170 ppp SL	NUTRICIONAL	0	0	0	NUTRICIONAL GREENLEAF	0	GREENLEAF	0	0						0	0	0	2.59	8.5	0			Bodega Central Agrota	LOCAL	2	1	1	1		LIBRE-52					0	0	0	0	0	0	0					42653				Default			=	1		0	0	0	G	G	40			4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					0	0	0	0		1	42755	42806	42806	42821			1	1	0	1	0	0	0	0		3	
AGROTA	Agroinsumos Riera.xlsm	42821	BODEGA SATELITE AGROINSUMOS RIERA	101020132544136		PTFUCOSKK-200G	0	SKEKURA X 200G	CARBENDAZIM 50% WP	PLAGUICIDAS CONVENCIONALES	0	0	0	FUNGICIDA	0	SUNJOY	0	0						0	0	0	1.17	3.2	0			Bodega Central Agrota	LOCAL	2	1	1	1		LIBRE-52					0	0	0	0	0	0	0					42653				Default			=	1		0	0	0	G	G	50			6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					0	0	0	0		1	42755	42806	42806	42821			1	1	0	1	0	0	0	0		4	
AGROTA	Agroinsumos Riera.xlsm	42821	BODEGA SATELITE AGROINSUMOS RIERA	101020132604164		PTFUCOSTY-100G	0	SINOTYL X 100G	FOSETYL ALUMINIO 80% WP	PLAGUICIDAS CONVENCIONALES	0	0	0	FUNGICIDA	0	SUNJOY	0	0						0	0	0	1.2	2.15	0			Bodega Central Agrota	LOCAL	2	1	1	1		LIBRE-52					0	0	0	0	0	0	0					42653				Default			=	1		0	0	0	G	G	50			5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					0	0	0	0		1	42755	42806	42806	42821			1	1	0	1	0	0	0	0		5	
AGROTA	Agroinsumos Riera.xlsm	42821	BODEGA SATELITE AGROINSUMOS RIERA	101020134026510		PTFUCOSTY-KIL	0	SINOTYL X KIL	FOSETYL ALUMINIO 80% WP	PLAGUICIDAS CONVENCIONALES	0	0	0	FUNGICIDA	0	SUNJOY	0	0						0	0	0	7.78	15	0			Bodega Central Agrota	LOCAL	2	1	1	1		LIBRE-52					0	0	0	0	0	0	0					42653				Default			=	1		0	0	0	G	G	100			3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					0	0	0	0		1	42755	42806	42806	42821			1	1	0	1	0	0	0	0		6	
AGROTA	Agroinsumos Riera.xlsm	42821	BODEGA SATELITE AGROINSUMOS RIERA	101020134028512		PTINCOSPD-100G	0	SINOPRID X 100G	IMIDACLOPRID 25% WP	PLAGUICIDAS CONVENCIONALES	0	0	0	INSECTICIDA	0	SUNJOY	0	0						0	0	0	1.7	6.9	0			Bodega Central Agrota	LOCAL	2	1	1	1		LIBRE-52					0	0	0	0	0	0	0					42653				Default			=	1		0	0	0	G	G	100			5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					0	0	0	0		1	42755	42806	42806	42821			1	1	0	1	0	0	0	0		7	
AGROTA	Agroinsumos Riera.xlsm	42821	BODEGA SATELITE AGROINSUMOS RIERA	101020134029515		PTPLINSKE-LIT	0	SKEMATA X LIT	LAMBDACIHALOTRINA 2.5% EC	PLAGUICIDAS CONVENCIONALES	0	0	0	INSECTICIDA	0	SUNJOY	0	0						0	0	0	4.83	13	0			Bodega Central Agrota	LOCAL	2	1	1	1		LIBRE-52					0	0	0	0	0	0	0					42653				Default			=	1		0	0	0	G	G	40			3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					0	0	0	0		1	42755	42806	42806	42821			1	1	0	1	0	0	0	0		8	
AGROTA	Agroinsumos Riera.xlsm	42821	BODEGA SATELITE AGROINSUMOS RIERA	101020134032518		PTPLINSKE-100CC	0	SKEMATA X 100CC	LAMBDACIHALOTRINA 2.5% EC	PLAGUICIDAS CONVENCIONALES	0	0	0	INSECTICIDA	0	SUNJOY	0	0						0	0	0	0.91	1.9	0			Bodega Central Agrota	LOCAL	2	1	1	1		LIBRE-52					0	0	0	0	0	0	0					42653				Default			=	1		0	0	0	G	G	50			5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					0	0	0	0		1	42755	42806	42806	42821			1	1	0	1	0	0	0	0		9	
AGROTA	Agroinsumos Riera.xlsm	42821	BODEGA SATELITE AGROINSUMOS RIERA	101020134033519		PTPLFULET-100CC	0	LETAL X 100CC	MYCLOBUTANIL 12.5% EC	PLAGUICIDAS CONVENCIONALES	0	0	0	FUNGICIDA	0	SUNJOY	0	0						0	0	0	1.93	4.2	0			Bodega Central Agrota	LOCAL	2	1	1	1		LIBRE-52					0	0	0	0	0	0	0									Default			=	1		0	0	0	G	G	24			6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					0	0	0	0		1	42755	42806	42806	42821			1	1	0	1	0	0	0	0		10	
