EMPRESA	ARCHIVO	FECHA	BODEGA	CODIGO	CODIGO FUNCIONAL	CODIGO VINCULADO	CODIGO GENERICO	DESCRIPCION	GRUPO	LINEA	SUBLINEA	FAMILIA	SUBFAMILIA	CATEGORIA	TIPO	MARCA	MODELO	CAT MANAGEMENT	NUEVO	CAT PROPIA 1	CAT PROPIA 2	CAT PROPIA 3	CAT PROPIA 4	CAT PROPIA 5	Estatus	Clasificación	Responsable	CTV	PV	Precio Promoción	Inicio Promoción	Fin Promoción	Horizonte	T Suministro	Frec Repos	GDB	Cam	Etapa	Estado Reposiciones	Nuevo Buff Sug	Comportamiento	Consumo	Cobertura Buffer	Cobertura Inv Proy	Cobertura Ped Min	Días Desabastecimiento	Ventas Perdidas	Posponer BUF	Posponer RED	Posponer GDB	Proveedor	Perfil	Buff Min	Buff Max	PEDID Min	Redondeo Pedido Mínimo	PEDID Min Grupo	Unidad Empaque	Redondeo Unidad Empaque	Porc Aten	Impacto Faltante	Observaciones	Nuevo Buff Real	Buff Act	Buff Calc	Zona Amar	Zona Roja	Color	Color1	Ult Buffer	Buff Ant Estacion	Buff Estacional	Inv Proveed	Inv Fís Act	Estado Buffer	Tráns Act	Negociación	Producción	Embarcado	Comprom	Backorders	Inv Proy Act	Estado Buffer Proy	Ingresos	Egresos	PEDIDCalc	PEDID Prom	PEDID Real	Calendario Estacional	Acción Estacional	Etapa Estacional	T$D	I$D	Rentabilid	Rentabilidad Proy	Vel Efect	Servicio	Ult Cambio	Inicio Per	Fin Per	Ult Transfer Inicial	Ult Transfer Final	Fecha Nuevo Pedido	Fecha Esperada Arribo	Var	Rojo Acum	Negro	Rojo	Amarillo	Verde	Lila	Err Ped Grupo	Color Repos Frec	Omisiones GDB	Numero Fila	Borrar
AGROTA	Agropecuaria.xlsm	43313	Bodega Central Agrota	140217095647032		PA-809984		ABRAZADERAS X 5 UNIDADES	AISLADORES 	AGROPECUARIA				CERCAS ELECTRICAS	Gris Accesorio	PATRIOT			0									2.36	8.25	0			42	16	26	1		SUSP-13				0.64	0	6.3	0.4	0	0				Patriot	NUEVA ZELANDA PATRIOT			1	Default		1	=	1				0	41	0	0	G	G	5			1000000000	16	0	0	0	0	0	0	0	16	0			0	0					0	0	0	0		0	43032	43032	43326	36526	36526	36526	36638	0.292144189	0	0	0	0	0	0.947735192			FALSE		
AGROTA	Agropecuaria.xlsm	43313	Bodega Central Agrota	140217110645096		PA-SB290EX		AISLADOR CLAW X 25 UNIDADES	AISLADORES 	AGROPECUARIA				CERCAS ELECTRICAS	Accesorios	PATRIOT			0									3.34	9.48	0			42	16	26	1		SUSP-216				0.05	0	0	5	0	0				Patriot	NUEVA ZELANDA PATRIOT			1	Default		1	=	1				0	4	0	0	G	G	135			1000000000	0	0	0	0	0	0	0	0	0	0			0	0					0	0	0	0		0	43235	43235	43529	43140	43153	43322	43252	1.591507065	0	0.237068966	0	0	0	0.094827586			FALSE		
AGROTA	Agropecuaria.xlsm	43313	Bodega Central Agrota	140217094659376		PA-814716		AISLADOR DE LINEA CUADRADO X 25 UNIDADES	AISLADORES 	AGROPECUARIA				CERCAS ELECTRICAS	Accesorios	PATRIOT			0									1.9	6.36	0			42	16	26	1	-	SUSP-216	MAC MFR-6787		BUF	0.09	2222.2	0	2.8	30	0				Patriot	NUEVA ZELANDA PATRIOT			1	Default		1	=	1				800	6	532	264	N	N	120			1000000000	0	1	0	0	0	0	0	0	0	1			800	495					1177	0	0	2.68		0	43235	43235	43529	36526	36526	36526	36638	1	0	0.331896552	0	0	0	0		N	FALSE		
AGROTA	Agropecuaria.xlsm	43313	Bodega Central Agrota	140217093233477		PA-809981		AISLADOR ESQUINERO X 10 UNIDADES (SB210)	AISLADORES 	AGROPECUARIA				CERCAS ELECTRICAS	Accesorios	PATRIOT			0									8.52	8.46	0			42	16	26	1	-	SUSP-216	SAC 		BUF	0.14	803.6	0	1.8	30	0				Patriot	NUEVA ZELANDA PATRIOT			1	Default		1	=	1				450	9	299	149	N	N	130			1000000000	0	1	0	0	0	0	0	0	0	1			450	279					-9	0	0	-0.01		4.04	43235	43235	43529	43140	43153	43322	43252	1	0	0.331896552	0	0	0	0		R	FALSE		
AGROTA	Agropecuaria.xlsm	43313	Bodega Central Agrota	140515102928259		PA-817201		AISLADOR RING X 25 UNIDADES	AISLADORES 	AGROPECUARIA				CERCAS ELECTRICAS	Accesorios	PATRIOT			0									3.89	10.57	0			42	16	26	1	-	SUSP-216	SAC 		BUF	0	0	0	0	30	0				Patriot	NUEVA ZELANDA PATRIOT			1	Default		1	=	1				250	0	166	83	N	N	137			1000000000	0	1	0	0	0	0	0	0	0	1			250	155					554	0	0	1.96		18.45	43235	43235	43529	43140	43153	43322	43252	1	0	0.331896552	0	0	0	0		R	FALSE		
AGROTA	Agropecuaria.xlsm	43313	Bodega Central Agrota	161209092940117		PA-SA003B		APARTA RAYOS	CONDUCTORES	AGROPECUARIA				CERCAS ELECTRICAS	Accesorios	PATRIOT			0									7.23	14.9	0			42	16	26	1		SUSP-216				0.55	0	0.9	0.5	0	0				Patriot	NUEVA ZELANDA PATRIOT			1	Default		1	=	1				0	35	0	0	G	G	5			1000000000	2	0	0	0	0	0	0	0	2	0			0	0					0	0	0	0		0	43235	43235	43529	36526	36526	36526	36638	0.340029205	0	0	0	0	0	0.331896552			FALSE		
AGROTA	Agropecuaria.xlsm	43313	Bodega Central Agrota	170511171130377		BCS-92191305		APORCADOR FRONTAL MOTOCULTOR	ACCESORIOS MOTOCULTORES	LABRANZA				ACCESORIOS	Accesorios	FERRARI			0									0	2610	0			38	12	26	1		SUSP-229				0	0	0	0	0	0				BCS	ESPAÑA BCS			1	Default		1	=	1				0	0	0	0	G	G	0			1000000000	0	0	0	0	0	0	0	0	0	0			0	0					0	0	0	0		0	43276	43276	43542	42866	42950	43048	42950	1	0	0.189054726	0	0	0	0			FALSE		
AGROTA	Agropecuaria.xlsm	43313	Bodega Central Agrota	170906155148687		BCS-92191309 		APORCADOR RIDGE PARA CASSABA	ACCESORIOS MOTOCULTORES	LABRANZA				ACCESORIOS	Maquinas	FERRARI			0									1648.76	2900	0			38	12	26	1		SUSP-229				0.09	0	0	2.8	0	0				BCS	ESPAÑA BCS			1	Default		1	=	1				0	6	0	0	G	G	0			1000000000	0	0	0	0	0	0	0	0	0	0			0	0					0	0	0	0		0	43276	43276	43542	43021	43122	43203	43105	1	0	0.189054726	0	0	0	0			FALSE		
AGROTA	Agropecuaria.xlsm	43313	Bodega Central Agrota	150312115922769		BCS-92190799 (10586)		ARADO MONOSURCO	ACCESORIOS MOTOCULTORES	LABRANZA				ACCESORIOS	Gris Accesorio	FERRARI			0									164.46	311.35	0			38	12	26	1		SUSP-229				0.27	0	0	0.9	0	0				BCS	ESPAÑA BCS			1	Default		1	=	1				0	16	0	0	G	G	0			1000000000	0	0	0	0	0	0	0	0	0	0			0	0					0	0	0	0		0	43276	43276	43542	36526	36526	36526	36610	1	0	0.189054726	0	0	0	0			FALSE		
AGROTA	Agropecuaria.xlsm	43313	Bodega Central Agrota	150312120515785		BCS-92190797 (10585)		ARADO REVERSIBLE 180GR (720/730)	ACCESORIOS MOTOCULTORES	LABRANZA				ACCESORIOS	Gris Accesorio	FERRARI			0									244.89	460.95	0			38	12	26	1		SUSP-229				0.05	0	0	5	0	0				BCS	ESPAÑA BCS			1	Default		1	=	1				0	3	0	0	G	G	0			1000000000	0	0	0	0	0	0	0	0	0	0			0	0					0	0	0	0		0	43276	43276	43542	43021	43122	43203	43105	1	0	0.189054726	0	0	0	0			FALSE		
