EMPRESA	ARCHIVO	FECHA	BODEGA	CODIGO	CODIGO FUNCIONAL	CODIGO VINCULADO	CODIGO GENERICO	DESCRIPCION	GRUPO	LINEA	SUBLINEA	FAMILIA	SUBFAMILIA	CATEGORIA	TIPO	MARCA	MODELO	CAT MANAGEMENT	NUEVO	CAT PROPIA 1	CAT PROPIA 2	CAT PROPIA 3	CAT PROPIA 4	CAT PROPIA 5	Estatus	Clasificación	Responsable	CTV	PV	Precio Promoción	Inicio Promoción	Fin Promoción	Horizonte	T Suministro	Frec Repos	GDB	Cam	Etapa	Estado Reposiciones	Nuevo Buff Sug	Comportamiento	Consumo	Cobertura Buffer	Cobertura Inv Proy	Cobertura Ped Min	Días Desabastecimiento	Ventas Perdidas	Posponer BUF	Posponer RED	Posponer GDB	Proveedor	Perfil	Buff Min	Buff Max	PEDID Min	Redondeo Pedido Mínimo	PEDID Min Grupo	Unidad Empaque	Redondeo Unidad Empaque	Porc Aten	Impacto Faltante	Observaciones	Nuevo Buff Real	Buff Act	Buff Calc	Zona Amar	Zona Roja	Color	Color1	Ult Buffer	Buff Ant Estacion	Buff Estacional	Inv Proveed	Inv Fís Act	Estado Buffer	Tráns Act	Negociación	Producción	Embarcado	Comprom	Backorders	Inv Proy Act	Estado Buffer Proy	Ingresos	Egresos	PEDIDCalc	PEDID Prom	PEDID Real	Calendario Estacional	Acción Estacional	Etapa Estacional	T$D	I$D	Rentabilid	Rentabilidad Proy	Vel Efect	Servicio	Ult Cambio	Inicio Per	Fin Per	Ult Transfer Inicial	Ult Transfer Final	Fecha Nuevo Pedido	Fecha Esperada Arribo	Var	Rojo Acum	Negro	Rojo	Amarillo	Verde	Lila	Err Ped Grupo	Color Repos Frec	Omisiones GDB	Numero Fila	Borrar
MOTORALMOR	CBGX.xlsm	43384	BP-MATRIZ	01.005.0002				CANDADO DE DISCO NEGRO CM-02 - MOXAL - CHINA	ACCESORIOS DE MOTOCICLETA	ACCESORIOS	CANDADOS Y CADENAS					MOXAL	CM-02		0						CS		CBGX	3.51	6.16	0	36526	36526	18	24	12	1	+-	LIBRE-83	OK			10.01	15	9.2	3.7	0	0	43333		43403	243 - 	243-T24-F12			150	Clasificación		1	=	1				600	541	399	198	A	A	600			1000000000	367	0.3883	0	0	0	0	0	0	367	0.3883			233	200					0	0	0	1.01		1	43175	43258	43384	43311	43395	43395	43395	0.108668906	0	0	0	0.358974359	0.598290598	0		R	FALSE		
MOTORALMOR	CBGX.xlsm	43384	BP-MATRIZ	01.005.0004				CABLE SEGURIDAD 730mm CM-04 - MOXAL - CHINA	ACCESORIOS DE MOTOCICLETA	ACCESORIOS	CANDADOS Y CADENAS					MOXAL	CM-04		0						BF		CBGX	1.74	3.48	0	36526	36526	18	24	12	1	-	SUSP-22	OK			59.13	8.5	0.9	1.7	0	0	43459		43020	243 - 	243-T24-F12			400	Clasificación		1	=	1				2000	3194	1330	660	R	R	1200			1000000000	223	0.8885	0	0	1000	0	0	0	223	0.8885			1777	667					760	0	0	1.33		1	43280	43280	43406	43311	43395	43395	43395	0.377850656	0	0	0.810810811	0	0	0		R	FALSE		
MOTORALMOR	CBGX.xlsm	43384	BP-MATRIZ	01.005.0005				CANDADO TELESCOPICA DELANTERA CM-05 - MOXAL - CHINA	ACCESORIOS DE MOTOCICLETA	ACCESORIOS	CANDADOS Y CADENAS					MOXAL	CM-05		0						AF		CBGX	4.64	6.5	0	36526	36526	18	24	12	1	-	SUSP-61	OK			32.25	11.6	5.1	0	0	0	43219			243 - 	243-T24-F12			1	Clasificación		1	=	1				1500	1742	998	495	A	A	1000			1000000000	652	0.5653	0	0	0	0	0	0	652	0.5653			848	500					0	0	0	0.53		1	43319	43319	43445	43311	43395	43395	43395	0.018837795	0	0	0	0.529411765	0	0		R	FALSE		
MOTORALMOR	CBGX.xlsm	43384	BP-MATRIZ	01.017.0001				GAFAS LENTE TRANSPARENTE ESTRUCTURA NEGRO GF-03 - CR1 HELMETS - CHINA	ACCESORIOS DE MOTOCICLISTA	ACCESORIOS	GAFAS					CR1 HELMETS	GF-03		0						CS		CBGX	3.34	5.5	0	36526	36526	18	24	12	1		LIBRE-83	MAC 			7.3	7.7	11.3	1.7	0	0	43459		43110	243 - 	243-T24-F12			50	Clasificación	1000	1	=	1				225	395	150	74	L	L	225			1000000000	331	-0.4711	0	0	0	0	0	0	331	-0.4711			0	75					0	354	0	0.86		0	43175	43258	43384	43038	0	43122	43206	0.386999339	0	0	0	0	0.623931624	0.333333333			FALSE		
MOTORALMOR	CBGX.xlsm	43384	BP-MATRIZ	01.017.0006				GAFAS LENTE POLARIZADO 50% ESTRUCTURA NEGRO  GF-02 - MOXAL - CHINA	ACCESORIOS DE MOTOCICLISTA	ACCESORIOS	GAFAS					MOXAL	GF-02		0						AF		CBGX	6.63	12.5	0	36526	36526	18	24	12	1		SUSP-4				8.59	0	1.8	8.7	0	0			43070	243 - 	243-T24-F12			300	Clasificación	300	1	=	1				0	464	0	0	G	G	200			1000000000	62	0	0	0	0	0	0	0	62	0			0	0					0	0	0	0		0	43262	43262	43388	43067	0	43151	43235	1.072239323	0	0.191304348	0	0	0	0.747826087			FALSE		
MOTORALMOR	CBGX.xlsm	43384	BP-MATRIZ	01.017.0009				GAFAS LENTE POLARIZADO 50% ESTRUCTURA TOMATE GF-02 - MOXAL - CHINA	ACCESORIOS DE MOTOCICLISTA	ACCESORIOS	GAFAS					MOXAL	GF-02		0						CM		CBGX	7.26	12.5	0	36526	36526	18	24	12	1		LIBRE-83				0.56	0	0	133.9	0	0				243 - 	243-T24-F12			300	Clasificación	300	1	=	1				0	31	0	0	G	G	0			1000000000	0	0	0	0	0	0	0	0	0	0			0	0					0	0	0	0		0	43175	43258	43384	43067	0	43151	43235	1	0	0.957264957	0	0	0	0			FALSE		
MOTORALMOR	CBGX.xlsm	43384	BP-MATRIZ	01.017.0010				GAFAS LENTE TRANSPARENTE ESTRUCTURA NEGRO  GF-02 - MOXAL - CHINA	ACCESORIOS DE MOTOCICLISTA	ACCESORIOS	GAFAS					MOXAL	GF-02		0						AF		CBGX	6.89	12.5	0	36526	36526	18	24	12	1		SUSP-4				4.85	0	1.2	15.5	0	0	43333		43153	243 - 	243-T24-F12			300	Clasificación	300	1	=	1				0	262	0	0	G	G	105			1000000000	23	0	0	0	0	0	0	0	23	0			0	0					0	0	0	0		0	43262	43262	43388	43067	0	43151	43235	0.358301719	0	0	0	0	0	0.939130435			FALSE		
MOTORALMOR	CBGX.xlsm	43384	BP-MATRIZ	01.017.0011				GAFAS LENTE TRANSPARENTE ESTRUCTURA AZUL GF-02 - MOXAL - CHINA	ACCESORIOS DE MOTOCICLISTA	ACCESORIOS	GAFAS					MOXAL	GF-02		0						BM		CBGX	6.88	12.5	0	36526	36526	18	24	12	1		SUSP-4				3.22	0	6.3	23.3	0	0				243 - 	243-T24-F12			300	Clasificación	300	1	=	1				0	174	0	0	G	G	108			1000000000	81	0	0	0	0	0	0	0	81	0			0	0					0	0	0	0		0	43262	43262	43388	43067	0	43151	43235	0.117229625	0	0	0	0	0	0.939130435			FALSE		
MOTORALMOR	CBGX.xlsm	43384	BP-MATRIZ	01.017.0012				GAFAS LENTE TRANSPARENTE ESTRUCTURA ROJO GF-02 - MOXAL - CHINA	ACCESORIOS DE MOTOCICLISTA	ACCESORIOS	GAFAS					MOXAL	GF-02		0						BM		CBGX	6.88	12.5	0	36526	36526	18	24	12	1		SUSP-4				4.25	0	3.5	17.6	0	0			42306	243 - 	243-T24-F12			300	Clasificación	300	1	=	1				0	230	0	0	G	G	108			1000000000	59	0	0	0	0	0	0	0	59	0			0	0					0	0	0	0		0	43262	43262	43388	43067	0	43151	43235	0.155074702	0	0	0	0	0	0.939130435			FALSE		
MOTORALMOR	CBGX.xlsm	43384	BP-MATRIZ	01.017.0014				GAFAS LENTE TRANSPARENTE ESTRUCTURA ROSADO GF-02 - MOXAL - CHINA	ACCESORIOS DE MOTOCICLISTA	ACCESORIOS	GAFAS					MOXAL	GF-02		0						CS		CBGX	7.14	12.5	0	36526	36526	18	24	12	1		LIBRE-83				0.56	0	11.2	133.9	0	0				243 - 	243-T24-F12			300	Clasificación	300	1	=	1				0	31	0	0	G	G	0			1000000000	25	0	0	0	0	0	0	0	25	0			0	0					0	0	0	0		0	43175	43258	43384	43067	0	43151	43235	0.072525304	0	0	0	0	0	0.957264957			FALSE		
MOTORALMOR	CBGX.xlsm	43384	BP-MATRIZ	01.017.0015				GAFAS LENTE POLARIZADO 50% ESTRUCTURA ROSADO GF-02 - MOXAL - CHINA	ACCESORIOS DE MOTOCICLISTA	ACCESORIOS	GAFAS					MOXAL	GF-02		0						CS		CBGX	7.08	12.5	0	36526	36526	18	24	12	1		LIBRE-83				0.56	0	7.1	133.9	0	0			42068	243 - 	243-T24-F12			300	Clasificación	300	1	=	1				0	31	0	0	G	G	0			1000000000	16	0	0	0	0	0	0	0	16	0			0	0					0	0	0	0		0	43175	43258	43384	43067	0	43151	43235	0.096292881	0	0	0	0	0	0.957264957			FALSE		
MOTORALMOR	CBGX.xlsm	43384	BP-MATRIZ	01.017.0016				GAFAS LENTE AMARILLO CON PROTECTOR DE NARIZ ESTRUCTURA AZUL GF-01 - MOXAL - CHINA	ACCESORIOS DE MOTOCICLISTA	ACCESORIOS	GAFAS					MOXAL	GF-01		0						BF		CBGX	7.75	13	0	36526	36526	18	24	12	1		SUSP-4				4.9	0	0	2.6	0	0	43333		43166	243 - 	243-T24-F12			50	Clasificación	500	1	=	1				0	265	0	0	G	G	112			1000000000	0	0	0	0	0	0	0	0	0	0			0	0					0	0	0	0		0	43262	43262	43388	43250	43334	43334	43418	0.918117356	0	0.313043478	0	0	0	0.626086957			FALSE		
MOTORALMOR	CBGX.xlsm	43384	BP-MATRIZ	01.017.0017				GAFAS LENTE AMARILLO CON PROTECTOR DE NARIZ ESTRUCTURA NEGRO GF-01 - MOXAL - CHINA	ACCESORIOS DE MOTOCICLISTA	ACCESORIOS	GAFAS					MOXAL	GF-01		0						AF		CBGX	7.78	13	0	36526	36526	18	24	12	1		SUSP-4				5.11	0	6.5	2.4	0	0	43333		43153	243 - 	243-T24-F12			50	Clasificación	500	1	=	1				0	276	0	0	G	G	100			1000000000	132	0	0	0	0	0	0	0	132	0			0	0					0	0	0	0		0	43262	43262	43388	43067	0	43151	43235	0.285292213	0	0	0	0	0	0.939130435			FALSE		
MOTORALMOR	CBGX.xlsm	43384	BP-MATRIZ	01.017.0018				GAFAS LENTE AMARILLO CON PROTECTOR DE NARIZ ESTRUCTURA ROJO GF-01 - MOXAL - CHINA	ACCESORIOS DE MOTOCICLISTA	ACCESORIOS	GAFAS					MOXAL	GF-01		0						BF		CBGX	7.79	13	0	36526	36526	18	24	12	1		SUSP-4				6.18	0	2.4	2	0	0	43219		43153	243 - 	243-T24-F12			50	Clasificación	500	1	=	1				0	334	0	0	G	G	250			1000000000	59	0	0	0	0	0	0	0	59	0			0	0					0	0	0	0		0	43262	43262	43388	43250	43334	43334	43418	0.224318817	0	0	0	0	0	0.939130435			FALSE		
MOTORALMOR	CBGX.xlsm	43384	BP-MATRIZ	01.017.0019				GAFAS LENTE AMARILLO CON PROTECTOR DE NARIZ ESTRUCTURA ROSADO GF-01 - MOXAL - CHINA	ACCESORIOS DE MOTOCICLISTA	ACCESORIOS	GAFAS					MOXAL	GF-01		0						CS		CBGX	7.68	13	0	36526	36526	18	24	12	1		LIBRE-83				1.16	0	33.6	0.2	0	0				243 - 	243-T24-F12			1	Clasificación	500	1	=	1				0	63	0	0	G	G	0			1000000000	156	0	0	0	0	0	0	0	156	0			0	0					0	0	0	0		0	43175	43258	43384	43067	0	43151	43235	0.048077617	0	0	0	0	0	0.957264957			FALSE		
