EMPRESA	ARCHIVO	FECHA	BODEGA	CODIGO	CODIGO FUNCIONAL	CODIGO VINCULADO	CODIGO GENERICO	DESCRIPCION	GRUPO	LINEA	SUBLINEA	FAMILIA	SUBFAMILIA	CATEGORIA	TIPO	MARCA	MODELO	CAT MANAGEMENT	NUEVO	CAT PROPIA 1	CAT PROPIA 2	CAT PROPIA 3	CAT PROPIA 4	CAT PROPIA 5	Estatus	Clasificación	Responsable	CTV	PV	Precio Promoción	Inicio Promoción	Fin Promoción	Horizonte	T Suministro	Frec Repos	GDB	Cam	Etapa	Estado Reposiciones	Nuevo Buff Sug	Comportamiento	Consumo	Cobertura Buffer	Cobertura Inv Proy	Cobertura Ped Min	Días Desabastecimiento	Ventas Perdidas	Posponer BUF	Posponer RED	Posponer GDB	Proveedor	Perfil	Buff Min	Buff Max	PEDID Min	Redondeo Pedido Mínimo	PEDID Min Grupo	Unidad Empaque	Redondeo Unidad Empaque	Porc Aten	Impacto Faltante	Observaciones	Nuevo Buff Real	Buff Act	Buff Calc	Zona Amar	Zona Roja	Color	Color1	Ult Buffer	Buff Ant Estacion	Buff Estacional	Inv Proveed	Inv Fís Act	Estado Buffer	Tráns Act	Negociación	Producción	Embarcado	Comprom	Backorders	Inv Proy Act	Estado Buffer Proy	Ingresos	Egresos	PEDIDCalc	PEDID Prom	PEDID Real	Calendario Estacional	Acción Estacional	Etapa Estacional	T$D	I$D	Rentabilid	Rentabilidad Proy	Vel Efect	Servicio	Ult Cambio	Inicio Per	Fin Per	Ult Transfer Inicial	Ult Transfer Final	Fecha Nuevo Pedido	Fecha Esperada Arribo	Var	Rojo Acum	Negro	Rojo	Amarillo	Verde	Lila	Err Ped Grupo	Color Repos Frec	Omisiones GDB	Numero Fila	Borrar
MOTORALMOR	CPAI.xlsm	43384	BP-MATRIZ	06.211.0001				PORTA FUSIBLE UNIVERSAL - MOXAL - CHINA	ELECTRICAS	REPUESTOS	PORTA FUSIBLES					MOXAL	UNIVERSAL		0						CS		SGPX	0.27	0.4	0	36526	36526	18	24	12	1	-	SUSP-83	OK			205.4	9.7	4	3.7	0	0			43095	243 - 	243-T24-F12			3000	Clasificación		1	=	1				8000	11092	5320	2640	A	A	8000			1000000000	3287	0.5891	0	3000	0	0	0	0	3287	0.5891			4713	2667					0	0	0	0.64		1	43341	43341	43467	43311	43395	43395	43395	0.055689575	0	0	0	0.366336634	0	0		R	FALSE		
MOTORALMOR	CPAI.xlsm	43384	BP-MATRIZ	06.081.0036				HALOGENO 12V 50/50W FOCO AZUL (VIDA UTIL 150H) BA20D - MOXAL - CHINA	ELECTRICAS	REPUESTOS	HALOGENOS					MOXAL	BA20D		0						AF		SGPX	0.72	1.29	0	36526	36526	18	24	12	1	-	SUSP-116	OK			30.66	9.8	0	4.1	23	0	43378		43122	243 - 	243-T24-F12			500	Clasificación		1	=	1				1197	1656	796	395	N	N	900			1000000000	0	1	0	1000	1750	0	0	0	0	1			1197	399					225	0	0	1.06		1	43374	43374	43500	43311	43395	43395	43395	1	0	0.054945055	0	0	0	0		R	FALSE		
MOTORALMOR	CPAI.xlsm	43384	BP-MATRIZ	06.081.0034				HALOGENO 12V 35/35W (33.2mm) P15D-25-1 - MOXAL - CHINA	ELECTRICAS	REPUESTOS	HALOGENOS					MOXAL	P15D-25-1		0						CM		SGPX	0.59	0.89	0	36526	36526	18	24	12	1	-	SUSP-20	OK			15.89	11.3	12.2	4.7	0	0			43077	243 - 	243-T24-F12			300	Clasificación		1	=	1				720	859	479	238	A	L	360			1000000000	278	0.6139	500	300	500	500	0	0	778	-0.0806			0	240					0	0	0	0.68		1	43278	43278	43404	43311	43395	43395	43395	0.133793005	0	0	0	0.814159292	0	0			FALSE		
MOTORALMOR	CPAI.xlsm	43384	BP-MATRIZ	06.081.0033				HALOGENO 12V 35/35W (CUARZO-CRISTAL TRANSPARENTE-REFORZADO) P15D-1 - MOXAL - CHINA	ELECTRICAS	REPUESTOS	HALOGENOS					MOXAL	P15D-1		0						CM		SGPX	0.55	1.14	0	36526	36526	18	24	12	1	-	SUSP-20	MAC 			18.9	6	1.8	4	0	0	43390		43153	243 - 	243-T24-F12			300	Clasificación		1	=	1				450	1021	299	149	R	R	500			1000000000	134	0.7022	0	300	0	0	0	0	134	0.7022			316	150					9	0	0	1.43		0	43278	43278	43404	42999	0	43083	43167	0.328593629	0	0	0.203539823	0.283185841	0.327433628	0		N	FALSE		
MOTORALMOR	CPAI.xlsm	43384	BP-MATRIZ	06.081.0032				HALOGENO 12V 35/35W (CUARZO-CRISTAL TRANSPARENTE-REFORZADO) BA20D - MOXAL - CHINA	ELECTRICAS	REPUESTOS	HALOGENOS					MOXAL	BA20D		0						BF		SGPX	0.5	1.21	0	36526	36526	18	24	12	1	-	SUSP-56	MAC 		BUF	37.15	6.1	1.3	5.4	0	0	43377		43095	243 - 	243-T24-F12			800	Clasificación		1	=	1				900	2007	599	297	R	R	1200			1000000000	191	0.7878	0	500	0	0	0	0	191	0.7878			800	300					75	0	0	1.89		0	43314	43314	43440	43067	0	43151	43235	0.283504488	0	0	0.194174757	0.349514563	0	0		N	FALSE		
MOTORALMOR	CPAI.xlsm	43384	BP-MATRIZ	06.081.0031				HALOGENO 12V 35/35W (CUARZO-CRISTAL AZUL-REFORZADO) BA20D - MOXAL - CHINA	ELECTRICAS	REPUESTOS	HALOGENOS					MOXAL	BA20D		0						AF		SGPX	0.59	1.27	0	36526	36526	18	24	12	1		SUSP-56	MAC 			38.82	8.7	9.5	5.2	0	0			43122	243 - 	243-T24-F12			800	Clasificación		1	=	1				1350	2097	898	446	L	L	900			1000000000	1480	-0.0963	0	0	0	0	0	0	1480	-0.0963			0	450					0	77	0	1.54		0	43314	43314	43440	43038	0	43122	43206	0.084735214	0	0	0	0.009708738	0	0.533980583			FALSE		
MOTORALMOR	CPAI.xlsm	43384	BP-MATRIZ	06.081.0030				HALOGENO 12V 35/35W (CUARZO - CRISTAL TRANSPARENTE - REFORZADO) H4 P43 - MOXAL - CHINA	ELECTRICAS	REPUESTOS	HALOGENOS					MOXAL	H4 P43		0						BF		SGPX	0.76	1.68	0	36526	36526	18	24	12	1	-	SUSP-20	OK		BUF	56.82	7.9	3.9	2.6	0	0	43378		43140	243 - 	243-T24-F12			600	Clasificación		1	=	1				1800	3069	1197	594	A	A	2000			1000000000	876	0.5133	0	800	500	0	0	0	876	0.5133			924	600					0	0	0	1.61		1	43278	43278	43404	43311	43395	43395	43395	0.156742873	0	0	0	0.619469027	0.194690265	0		R	FALSE		
MOTORALMOR	CPAI.xlsm	43384	BP-MATRIZ	06.081.0029				LED FARO SMD 8cm BLANCO SMD50*50mm ANGEL - MOXAL - CHINA	ELECTRICAS	REPUESTOS	HALOGENOS					MOXAL	ANGEL		0						CS		SGPX	1.65	2.91	0	36526	36526	18	24	12	1		SUSP-20				0.73	0	217.1	17.1	0	0	43265		43186	243 - 	243-T24-F12			50	Clasificación		1	=	1				0	40	0	0	G	G	100			1000000000	634	0	0	0	0	0	0	0	634	0			0	0					0	0	0	0		0	43278	43278	43404	36526	36526	36526	36694	0.0011711	0	0	0	0	0	0.814159292			FALSE		
MOTORALMOR	CPAI.xlsm	43384	BP-MATRIZ	06.081.0028				LED SMD (5L) BLANCO ENDURO200 - MOXAL - CHINA	ELECTRICAS	REPUESTOS	HALOGENOS					MOXAL	ENDURO200		0						CS		SGPX	1.14	1.75	0	36526	36526	18	24	12	1	+-	LIBRE-10	OK			6.74	13.4	13	11.1	0	0	43219		43077	243 - 	243-T24-F12			300	Clasificación		1	=	1				360	364	239	119	V	V	500			1000000000	351	0.025	0	0	0	0	0	0	351	0.025			0	120					0	0	0	0.71		0	43248	43258	43384	36526	36526	36526	36694	0.054288606	0	0	0	0	0.428571429	0.512605042			FALSE		
MOTORALMOR	CPAI.xlsm	43384	BP-MATRIZ	06.081.0027				LED SMD (5L) BLANCO ENDURO200 - MOXAL - CHINA	ELECTRICAS	REPUESTOS	HALOGENOS					MOXAL	ENDURO200		0						BM		SGPX	0.39	0.69	0	36526	36526	18	24	12	1		SUSP-20	MAC 			15.89	8.5	9.8	11	0	0	43378		43073	243 - 	243-T24-F12			700	Clasificación		1	=	1				540	859	359	178	L	L	1500			1000000000	620	-0.1481	0	0	0	0	0	0	620	-0.1481			0	180					0	31	0	1.03		0	43278	43278	43404	43067	0	43151	43235	0.089045548	0	0	0	0	0	0.814159292			FALSE		
