COD_EMPRESA	HOJA CB	Numero Fila	BODEGA	CODIGO	Posponer BUF	Posponer RED	Posponer GDB	Proveedor	Perfil	Buff Min	Buff Max	PEDID Min	Redondeo Pedido Mínimo	PEDID Min Grupo	Unidad Empaque	Redondeo Unidad Empaque	Porc Aten	Impacto Faltante	Observaciones	Nuevo Buff Real	Buff Act	Ult Buffer	Buff Ant Estacion	Buff Estacional	Ingresos	Egresos	Calendario Estacional	Inicio Per	Fin Per	DUMMY_FIELD
1.90334E+11	CTJE.xlsm	1	BP-MATRIZ	10.014.0027	43333		43151	243 - 	243-T24-F12			150	Clasificación		1	=	1				250	230						43249	43375	
1.90334E+11	CTJE.xlsm	2	BP-MATRIZ	10.014.0026	43333		43151	243 - 	243-T24-F12			200	Clasificación		1	=	1				175	150						43249	43375	
1.90334E+11	CTJE.xlsm	3	BP-MATRIZ	10.012.0002	43333			243 - 	243-T24-F12			1	Clasificación		1	=	1				0	0						43187	43313	
1.90334E+11	CTJE.xlsm	4	BP-MATRIZ	10.001.0006	43333			243 - 	243-T24-F12			1	Clasificación		1	=	1				0	0						43187	43313	
1.90334E+11	CTJE.xlsm	5	BP-MATRIZ	06.224.0001				243 - 	243-T24-F12			300	clasificación		1	=	1				450	0						43264	43390	
1.90334E+11	CTJE.xlsm	6	BP-MATRIZ	06.222.0001				3552 - RI	3552 - T21-F8			1	clasificación		1	=	1				14	0						43280	43434	
1.90334E+11	CTJE.xlsm	7	BP-MATRIZ	06.220.0001	43333		43333	243 - 	243-T24-F12			500	Clasificación		1	=	1				900	900						43249	43375	
1.90334E+11	CTJE.xlsm	8	BP-MATRIZ	06.218.0004				3552 - RI	3552 - T21-F8			1	clasificación		1	=	1				70	0						43280	43434	
1.90334E+11	CTJE.xlsm	9	BP-MATRIZ	06.218.0003	43305		43305	3552 - RI	3552 - T21-F8			1	Clasificación		1	=	1				300	220						43249	43403	
1.90334E+11	CTJE.xlsm	10	BP-MATRIZ	06.218.0002	43305		43305	3552 - RI	3552 - T21-F8			1	Clasificación		1	=	1				350	170						43249	43403	
1.90334E+11	CTJE.xlsm	11	BP-MATRIZ	06.218.0001	43305		43081	3552 - RI	3552 - T21-F8			1	Clasificación		1	=	1				300	210						43249	43403	
