EMPRESA	ARCHIVO	FECHA	BODEGA	CODIGO	CODIGO FUNCIONAL	CODIGO VINCULADO	CODIGO GENERICO	DESCRIPCION	GRUPO	LINEA	SUBLINEA	FAMILIA	SUBFAMILIA	CATEGORIA	TIPO	MARCA	MODELO	CAT MANAGEMENT	CAT PROPIA 1	CAT PROPIA 2	CAT PROPIA 3	CAT PROPIA 4	CAT PROPIA 5	Estatus	Clasificación	Responsable	CTV	PV	Precio Promoción	Inicio Promoción	Fin Promoción	Proveedor	Perfil	Horizonte	T Suministro	Frec Repos	GDB	Cam	Etapa	Nuevo Buff Ingles	Nuevo Buff Espanol	Nuevo Buff Sug	Comportamiento	Consumo	Buff Calc	Cobertura Buffer	Cobertura Inv Proy	Cobertura Ped Min	Días Desabastecimiento	Ventas Perdidas	Observaciones	Nuevo Buff Real	Posponer BUF	Posponer RED	Posponer GDB	Buff Min	Buff Max	PEDID Min	Redondeo Pedido Mínimo	PEDID Min Grupo	Unidad Empaque	Redondeo Unidad Empaque	Porc Aten	Impacto Faltante	Buff Act	Zona Amar	Zona Roja	Color	Color1	Ult Buffer	Buff Ant Estacion	Buff Estacional	Inv Proveed	Inv Fís Act	Estado Buffer	Tráns Act	Negociación	Producción	Embarcado	Comprom	Backorders	Inv Proy Act	Estado Buffer Proy	Ingresos	Egresos	Pedid Calc Auxiliar	PEDIDCalc	PEDID Prom	PEDID Real	Calendario Estacional	Acción Estacional	Etapa Estacional	T$D	I$D	Rentabilid	Rentabilidad Proy	Vel Efect	Servicio	Ult Cambio	Nuevo Inicio	Inicio Per	Fin Per	Ult Transfer Inicial	Ult Transfer Final	Var	Porcent Lleno	Rojo Acum	Negro	Rojo	Amarillo	Verde	Lila	Err Ped Grupo	Numero Fila	Borrar
AGROTA	Central Sukampo.xlsm	42821	AGROTA SUKAMPO FERIA LIBRE	101020132521105		PTNUFFBOR-250CC	0	AGROTAFOL CALCIO BORO X 250CC	CALCIO 6% BORO 3% SL	NUTRICIONAL	0	0	0	NUTRICIONAL GREENLEAF	0	GREENLEAF	0	0						0	0	0	1.34	2.3	0			Bodega Central Agrota	LOCAL	2	1	1	1		LIBRE-61					0	0	0	0	0	0	0									Default			=	1		0	0	0	G	G	3			1000000000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					0	0	0	0		1	42746	42806	42806	42821			1	0.928571429	0	0.928571429	0	0	0	0		1	
AGROTA	Central Sukampo.xlsm	42821	AGROTA SUKAMPO FERIA LIBRE	101020134034521		PTINCODEP-100G	0	DEPREDADOR X 100G	CARTAP 50% SP	PLAGUICIDAS CONVENCIONALES	0	0	0	INSECTICIDA	0	SUNJOY	0	0						0	0	0	1.67	3.6	0			Bodega Central Agrota	LOCAL	2	1	1	1		LIBRE-61					0	0	0	0	0	0	0									Default			=	1		0	0	0	G	G	5			1000000000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					0	0	0	0		1	42746	42806	42806	42821			1	0.928571429	0	0.928571429	0	0	0	0		2	
AGROTA	Central Sukampo.xlsm	42821	AGROTA SUKAMPO FERIA LIBRE	101020134032518		PTPLINSKE-100CC	0	SKEMATA X 100CC	LAMBDACIHALOTRINA 2.5% EC	PLAGUICIDAS CONVENCIONALES	0	0	0	INSECTICIDA	0	SUNJOY	0	0						0	0	0	0.91	1.9	0			Bodega Central Agrota	LOCAL	2	1	1	1		LIBRE-61					0	0	0	0	0	0	0									Default			=	1		0	0	0	G	G	5			1000000000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					0	0	0	0		1	42746	42806	42806	42821			1	0.928571429	0	0.928571429	0	0	0	0		3	
AGROTA	Central Sukampo.xlsm	42821	AGROTA SUKAMPO FERIA LIBRE	150220093315404		EC-CS-353ES-40LA	0	MOTOSIERRA CS-353ES-40 CON BARRA Y CADENA	MOTOSIERRAS	AGROFORESTAL	0	0	0	MOTOSIERRAS	0	ECHO	0	0						0	0	0	177.27	384.82	0			Bodega Central Agrota	LOCAL	2	1	1	1		LIBRE-61					0	0	0	0	0	0	0									Default			=	1		0	0	0	G	G	1			1000000000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					0	0	0	0		1	42746	42806	42806	42821			1	0.928571429	0	0.928571429	0	0	0	0		4	
AGROTA	Central Sukampo.xlsm	42821	AGROTA SUKAMPO FERIA LIBRE	150224123940963		ARS LPB-20M	0	TIJERA PODADORA GRANDE LPB-20M	HERRAMIENTAS PODA MANUAL	AGROFORESTAL	0	0	0	HERRAMIENTAS PODA MANUAL	0	ARS	0	0						0	0	0	32.88	64.69	0			Bodega Central Agrota	LOCAL	2	1	1	1		LIBRE-61					0	0	0	0	0	0	0									Default			=	1		0	0	0	G	G	2			1000000000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					0	0	0	0		1	42746	42806	42806	42821			1	0.928571429	0	0.928571429	0	0	0	0		5	
AGROTA	Central Sukampo.xlsm	42821	AGROTA SUKAMPO FERIA LIBRE	140217095647032		PA-809984	0	ABRAZADERAS X 5 UNIDADES	AISLADORES	AGROPECUARIA	0	0	0	CERCAS ELECTRICAS	0	PATRIOT	0	0						0	0	0	2.35	8.25	0			Bodega Central Agrota	LOCAL	2	1	1	1		LIBRE-61					0	0	0	0	0	0	0									Default			=	1		0	0	0	G	G	5			1000000000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					0	0	0	0		1	42746	42806	42806	42821			1	0.928571429	0	0.928571429	0	0	0	0		6	
AGROTA	Central Sukampo.xlsm	42821	AGROTA SUKAMPO FERIA LIBRE	110106123430885		EC-65003	0	ACC. CORTASETOS ARTICULADOS M-230	ACCESORIOS	AGROFORESTAL	0	0	0	ACCESORIOS LUBRICANTES	0	SHINDAIWA	0	0						0	0	0	165.18	348.21	0			Bodega Central Agrota	LOCAL	2	1	1	1		LIBRE-61					0	0	0	0	0	0	0									Default			=	1		0	0	0	G	G	1			1000000000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					0	0	0	0		1	42746	42806	42806	42821			1	0.928571429	0	0.928571429	0	0	0	0		7	
AGROTA	Central Sukampo.xlsm	42821	AGROTA SUKAMPO FERIA LIBRE	150427102304506		EC-99944200513	0	ACC. CULTIVADOR PAS-266	CORTADORAS DE CESPED	AGROFORESTAL	0	0	0	UTILITARIOS AGROFORESTALES	0	ECHO	0	0						0	0	0	143.5	315	0			Bodega Central Agrota	LOCAL	2	1	1	1		LIBRE-61					0	0	0	0	0	0	0									Default			=	1		0	0	0	G	G	0			1000000000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					0	0	0	0		1	42746	42806	42806	42821			1	0.928571429	0	0.928571429	0	0	0	0		8	
AGROTA	Central Sukampo.xlsm	42821	AGROTA SUKAMPO FERIA LIBRE	110106121031931		EC-65001	0	ACC. DESMALEZADORA M230 (7102)	ACCESORIOS	AGROFORESTAL	0	0	0	ACCESORIOS LUBRICANTES	0	SHINDAIWA	0	0						0	0	0	63.34	105.53	0			Bodega Central Agrota	LOCAL	2	1	1	1		LIBRE-61					0	0	0	0	0	0	0									Default			=	1		0	0	0	G	G	1			1000000000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					0	0	0	0		1	42746	42806	42806	42821			1	0.928571429	0	0.928571429	0	0	0	0		9	
AGROTA	Central Sukampo.xlsm	42821	AGROTA SUKAMPO FERIA LIBRE	150420100157257		EC-99944200600	0	ACC. DESMALEZADORA PAS-266	CORTADORAS DE CESPED	AGROFORESTAL	0	0	0	UTILITARIOS AGROFORESTALES	0	ECHO	0	0						0	0	0	69.63	159	0			Bodega Central Agrota	LOCAL	2	1	1	1		LIBRE-61					0	0	0	0	0	0	0									Default			=	1		0	0	0	G	G	1			1000000000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					0	0	0	0		1	42746	42806	42806	42821			1	0.928571429	0	0.928571429	0	0	0	0		10	
