EMPRESA	ARCHIVO	FECHA	BODEGA	CODIGO	CODIGO FUNCIONAL	CODIGO VINCULADO	CODIGO GENERICO	DESCRIPCION	GRUPO	LINEA	SUBLINEA	FAMILIA	SUBFAMILIA	CATEGORIA	TIPO	MARCA	MODELO	CAT MANAGEMENT	CAT PROPIA 1	CAT PROPIA 2	CAT PROPIA 3	CAT PROPIA 4	CAT PROPIA 5	Estatus	Clasificación	Responsable	CTV	PV	Precio Promoción	Inicio Promoción	Fin Promoción	Proveedor	Perfil	Horizonte	T Suministro	Frec Repos	GDB	Cam	Etapa	Nuevo Buff Ingles	Nuevo Buff Espanol	Nuevo Buff Sug	Comportamiento	Consumo	Buff Calc	Cobertura Buffer	Cobertura Inv Proy	Cobertura Ped Min	Días Desabastecimiento	Ventas Perdidas	Observaciones	Nuevo Buff Real	Posponer BUF	Posponer RED	Posponer GDB	Buff Min	Buff Max	PEDID Min	Redondeo Pedido Mínimo	PEDID Min Grupo	Unidad Empaque	Redondeo Unidad Empaque	Porc Aten	Impacto Faltante	Buff Act	Zona Amar	Zona Roja	Color	Color1	Ult Buffer	Buff Ant Estacion	Buff Estacional	Inv Proveed	Inv Fís Act	Estado Buffer	Tráns Act	Negociación	Producción	Embarcado	Comprom	Backorders	Inv Proy Act	Estado Buffer Proy	Ingresos	Egresos	Pedid Calc Auxiliar	PEDIDCalc	PEDID Prom	PEDID Real	Calendario Estacional	Acción Estacional	Etapa Estacional	T$D	I$D	Rentabilid	Rentabilidad Proy	Vel Efect	Servicio	Ult Cambio	Nuevo Inicio	Inicio Per	Fin Per	Ult Transfer Inicial	Ult Transfer Final	Var	Porcent Lleno	Rojo Acum	Negro	Rojo	Amarillo	Verde	Lila	Err Ped Grupo	Numero Fila	Borrar
AGROTA	Comercial Coca.xlsm	42821	BODEGA SATELITE COMERCIAL COCA	140729105702983		PTNUFFAGR-LIT	0	AGROMIL X LIT	AGROMIL	NUTRICIONAL	0	0	0	NUTRICIONAL AGROENZYMAS	0	AGROENZYMAS	0	0						0	0	0	20.15	38.5	0			Bodega Central Agrota	LOCAL	2	1	1	1		LIBRE-52					0	0	0	0	0	0	0				42825	42825				Default			=	1		0	0	0	G	G	28			1000000000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					0	0	0	0		1	42755	42806	42806	42821			1	0.928571429	0	0.928571429	0	0	0	0		1	
AGROTA	Comercial Coca.xlsm	42821	BODEGA SATELITE COMERCIAL COCA	140729110043225		PTNUFFAGR-250CC	0	AGROMIL X 250CC	AGROMIL	NUTRICIONAL	0	0	0	NUTRICIONAL AGROENZYMAS	0	AGROENZYMAS	0	0						0	0	0	4.39	10.19	0			Bodega Central Agrota	LOCAL	2	1	1	1		LIBRE-52					0	0	0	0	0	0	0				42825	42825				Default			=	1		0	0	0	G	G	50			1000000000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					0	0	0	0		1	42755	42806	42806	42821			1	0.928571429	0	0.928571429	0	0	0	0		2	
AGROTA	Comercial Coca.xlsm	42821	BODEGA SATELITE COMERCIAL COCA	140729104704048		PTNUFFROO-LIT	0	ROOTING X LIT	ROOTING	NUTRICIONAL	0	0	0	NUTRICIONAL AGROENZYMAS	0	AGROENZYMAS	0	0						0	0	0	17.5	38.9	0			Bodega Central Agrota	LOCAL	2	1	1	1		LIBRE-52					0	0	0	0	0	0	0				42825	42825				Default			=	1		0	0	0	G	G	28			1000000000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					0	0	0	0		1	42755	42806	42806	42821			1	0.928571429	0	0.928571429	0	0	0	0		3	
AGROTA	Comercial Coca.xlsm	42821	BODEGA SATELITE COMERCIAL COCA	140729105125459		PTNUFFROO-250CC	0	ROOTING X 250CC	ROOTING	NUTRICIONAL	0	0	0	NUTRICIONAL AGROENZYMAS	0	AGROENZYMAS	0	0						0	0	0	5.08	10.89	0			Bodega Central Agrota	LOCAL	2	1	1	1		LIBRE-52					0	0	0	0	0	0	0				42825	42825				Default			=	1		0	0	0	G	G	50			1000000000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					0	0	0	0		1	42755	42806	42806	42821			1	0.928571429	0	0.928571429	0	0	0	0		4	
AGROTA	Comercial Coca.xlsm	42821	BODEGA SATELITE COMERCIAL COCA	121017084846897		PTNUCOCRE-KIL	0	PROFESIONAL CRECIMIENTO X KIL	251010 MICROELEMENTOS GR	NUTRICIONAL	0	0	0	NUTRICIONAL GREENLEAF	0	GREENLEAF	0	0						0	0	0	2.41	4.6	0			Bodega Central Agrota	LOCAL	2	1	1	1		LIBRE-52					0	0	0	0	0	0	0				42825	42825				Default			=	1		0	0	0	G	G	35			1000000000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					0	0	0	0		1	42755	42806	42806	42821			1	0.928571429	0	0.928571429	0	0	0	0		5	
AGROTA	Comercial Coca.xlsm	42821	BODEGA SATELITE COMERCIAL COCA	121017085040169		PTNUCOFLO-KIL	0	PROFESIONAL FLORACION X KIL	153015 MICROELEMENTOS GR	NUTRICIONAL	0	0	0	NUTRICIONAL GREENLEAF	0	GREENLEAF	0	0						0	0	0	2.55	4.6	0			Bodega Central Agrota	LOCAL	2	1	1	1		LIBRE-52					0	0	0	0	0	0	0				42825	42653				Default			=	1		0	0	0	G	G	50			1000000000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					0	0	0	0		1	42755	42806	42806	42821			1	0.928571429	0	0.928571429	0	0	0	0		6	
AGROTA	Comercial Coca.xlsm	42821	BODEGA SATELITE COMERCIAL COCA	121017085353407		PTNUCOPRO-KIL	0	PROFESIONAL PRODUCCION X KIL	13640 MICROELEMENTOS GR	NUTRICIONAL	0	0	0	NUTRICIONAL GREENLEAF	0	GREENLEAF	0	0						0	0	0	2.37	4.6	0			Bodega Central Agrota	LOCAL	2	1	1	1		LIBRE-52					0	0	0	0	0	0	0				42825	42825				Default			=	1		0	0	0	G	G	35			1000000000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					0	0	0	0		1	42755	42806	42806	42821			1	0.928571429	0	0.928571429	0	0	0	0		7	
AGROTA	Comercial Coca.xlsm	42821	BODEGA SATELITE COMERCIAL COCA	110427131731649		PTNUCORFT-500CC	0	RAIZ FORTE X 500CC	ORTOFOSFATO 20% SL	NUTRICIONAL	0	0	0	NUTRICIONAL GREENLEAF	0	GREENLEAF	0	0						0	0	0	2.22	3.6	0			Bodega Central Agrota	LOCAL	2	1	1	1		LIBRE-52					0	0	0	0	0	0	0				42825	42825				Default			=	1		0	0	0	G	G	35			1000000000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					0	0	0	0		1	42755	42806	42806	42821			1	0.928571429	0	0.928571429	0	0	0	0		8	
AGROTA	Comercial Coca.xlsm	42821	BODEGA SATELITE COMERCIAL COCA	10102013243133		PTNUCORFT-LIT	0	RAIZ FORTE X LIT	ORTOFOSFATO 20% SL	NUTRICIONAL	0	0	0	NUTRICIONAL GREENLEAF	0	GREENLEAF	0	0						0	0	0	3.75	7.2	0			Bodega Central Agrota	LOCAL	2	1	1	1		LIBRE-52					0	0	0	0	0	0	0				42825	42653				Default			=	1		0	0	0	G	G	20			1000000000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					0	0	0	0		1	42755	42806	42806	42821			1	0.928571429	0	0.928571429	0	0	0	0		9	
AGROTA	Comercial Coca.xlsm	42821	BODEGA SATELITE COMERCIAL COCA	110106153245461		PTNUCOCIT-250CC	0	CITOQMAX X 250CC	CITOQUININAS 110 PPM SL	NUTRICIONAL	0	0	0	NUTRICIONAL GREENLEAF	0	GREENLEAF	0	0						0	0	0	1.65	6.2	0			Bodega Central Agrota	LOCAL	2	1	1	1		LIBRE-52					0	0	0	0	0	0	0				42825	42653				Default			=	1		0	0	0	G	G	72			1000000000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					0	0	0	0		1	42755	42806	42806	42821			1	0.928571429	0	0.928571429	0	0	0	0		10	
