EMPRESA	ARCHIVO	FECHA	BODEGA	CODIGO	CODIGO FUNCIONAL	CODIGO VINCULADO	CODIGO GENERICO	DESCRIPCION	GRUPO	LINEA	SUBLINEA	FAMILIA	SUBFAMILIA	CATEGORIA	TIPO	MARCA	MODELO	CAT MANAGEMENT	NUEVO	CAT PROPIA 1	CAT PROPIA 2	CAT PROPIA 3	CAT PROPIA 4	CAT PROPIA 5	Estatus	Clasificación	Responsable	CTV	PV	Precio Promoción	Inicio Promoción	Fin Promoción	Horizonte	T Suministro	Frec Repos	GDB	Cam	Etapa	Estado Reposiciones	Nuevo Buff Sug	Comportamiento	Consumo	Cobertura Buffer	Cobertura Inv Proy	Cobertura Ped Min	Días Desabastecimiento	Ventas Perdidas	Posponer BUF	Posponer RED	Posponer GDB	Proveedor	Perfil	Buff Min	Buff Max	PEDID Min	Redondeo Pedido Mínimo	PEDID Min Grupo	Unidad Empaque	Redondeo Unidad Empaque	Porc Aten	Impacto Faltante	Observaciones	Nuevo Buff Real	Buff Act	Buff Calc	Zona Amar	Zona Roja	Color	Color1	Ult Buffer	Buff Ant Estacion	Buff Estacional	Inv Proveed	Inv Fís Act	Estado Buffer	Tráns Act	Negociación	Producción	Embarcado	Comprom	Backorders	Inv Proy Act	Estado Buffer Proy	Ingresos	Egresos	PEDIDCalc	PEDID Prom	PEDID Real	Calendario Estacional	Acción Estacional	Etapa Estacional	T$D	I$D	Rentabilid	Rentabilidad Proy	Vel Efect	Servicio	Ult Cambio	Inicio Per	Fin Per	Ult Transfer Inicial	Ult Transfer Final	Fecha Nuevo Pedido	Fecha Esperada Arribo	Var	Rojo Acum	Negro	Rojo	Amarillo	Verde	Lila	Err Ped Grupo	Color Repos Frec	Omisiones GDB	Numero Fila	Borrar
AGROTA	Compra Local Maquinaria.xlsm	43313	Bodega Central Agrota	130703172552668		OT-A52		BANDA  A52	REPUESTOS PICADORA 	AGROPECUARIA				REPUESTOS	Accesorios de Armado	LOCAL			0									2.62	9.2	0			2	1	1	1		LIBRE-58	MAC 		BUF	7.14	0.4	0.4	0	0	0				Compra Local Maquinas	LOCAL			1	Default		1	=	1				10	22	7	3	L	L	0			1000000000	12	-0.2	0	0	0	0	0	0	12	-0.2			0	5					0	5	0	60.27		0	43241	43299	43313	36526	36526	36526	36533	0.410136631	0	0	0.133333333	0.266666667	0.266666667	0.333333333			FALSE		
AGROTA	Compra Local Maquinaria.xlsm	43313	Bodega Central Agrota	150915165021640		OT-A88		BANDA A88	REPUESTOS PICADORA 	AGROPECUARIA				REPUESTOS	Accesorios de Armado	LOCAL			0									4.52	10.44	0			2	1	1	1		LIBRE-720	MAC 			1.01	1	1.5	0.2	0	0				Compra Local Maquinas	LOCAL			1	Default		1	=	1				4	4	3	1	L	L	6			1000000000	6	-0.5	0	0	0	0	0	0	6	-0.5			0	2					0	9	0	31.43		0	42579	43299	43313	36526	36526	36526	36533	0.122743875	0	0	0	0	0.133333333	0.866666667			FALSE		
AGROTA	Compra Local Maquinaria.xlsm	43313	Bodega Central Agrota	140218170711149		OT-B88		BANDA B88	REPUESTOS PICADORA 	AGROPECUARIA				REPUESTOS	Accesorios de Armado	LOCAL			0									7.53	11.63	0			2	1	1	1	-	LIBRE-427	MAC MFR-6787		BUF	6.59	0.3	0.2	0	1	0				Compra Local Maquinas	LOCAL			1	Default		1	=	1				8	20	5	3	V	V	10			1000000000	6	0.25	0	0	0	0	0	0	6	0.25			2	4					0	0	0	13.07		0	42872	43299	43313	36526	36526	36526	36533	0.556515787	0	0.066666667	0.333333333	0.066666667	0.533333333	0		N	FALSE		
AGROTA	Compra Local Maquinaria.xlsm	43313	Bodega Central Agrota	110125191051374		IMP-271		BASE PLOMA	ACCERORIO PICADORA	AGROPECUARIA				ACCESORIOS	Accesorios	LOCAL			0									100	135	0			2	1	1	1	-	LIBRE-720	MAC MFR-6787			4.85	1	0.9	0.1	0	0				Compra Local Maquinas	LOCAL			1	Default		1	=	1				20	15	13	7	V	V	25			1000000000	18	0.1	0	0	0	0	0	0	18	0.1			2	10					0	0	0	8.4		0	42579	43299	43313	36526	36526	36526	36533	0.480248019	0	0	0.466666667	0.2	0.333333333	0		N	FALSE		
AGROTA	Compra Local Maquinaria.xlsm	43313	Bodega Central Agrota	10000000904		OT-584		BUJIA 6A	REPUESTOS 2T	AGROFORESTAL				REPUESTOS	Repuestos	LOCAL			0									1.49	3.46	0			2	1	1	1	-	LIBRE-720	MAC 			15.74	1.6	1.5	1.3	0	0				Compra Local Maquinas	LOCAL			80	Default		1	=	1				100	48	67	33	V	V	128			1000000000	97	0.03	0	0	0	0	0	0	97	0.03			0	50					0	0	0	31.73		0	42579	43299	43313	36526	36526	36526	36533	0.055096148	0	0	0	0	0.4	0.6			FALSE		
AGROTA	Compra Local Maquinaria.xlsm	43313	Bodega Central Agrota	110919111638084		JA-001		JARRITA DOSIFICADORA MAQUINARIA X 250 cc	ACCESORIOS EQUIPOS 2T	AGROFORESTAL				ACCESORIOS	Accesorios	VALDIS			0									0.65	1.22	0			2	1	1	1		LIBRE-720	MAC 			437.52	0.6	2.6	0	0	0				Compra Local Maquinas	LOCAL			1	Default		1	=	1				1000	1313	665	330	L	L	1500			1000000000	4594	-3.594	0	0	0	0	0	0	4594	-3.594			0	500					0	2336	0	21.05		0	42579	43299	43313	36526	36526	36526	36533	0.017305132	0	0	0	0	0	1			FALSE		
AGROTA	Compra Local Maquinaria.xlsm	43313	Bodega Central Agrota	110106121059170		OT-701		MOTOR 10HP WEG 3600RPM 220/440V (Altas)	MOTORES ELECTRICOS	INDUSTRIAL				MOTORES ELECTRICOS	Maquinas	WEG			0									613.2	1029.51	0			2	1	1	1	-	LIBRE-1204	MAC MFR-6787	2	BUF	0.27	2.8	1.9	0.9	0	0				Compra Local Maquinas	LOCAL			1	Default		1	=	1				3	1	2	1	A	A	3			1000000000	2	0.3333	0	0	0	0	0	0	2	0.3333			1	2					0	0	0	16.29		0	42095	43299	43313	36526	36526	36526	36533	0.182981264	0	0	0	0.333333333	0.666666667	0		N	FALSE		
AGROTA	Compra Local Maquinaria.xlsm	43313	Bodega Central Agrota	10000001160		PR-002		MOTOR 2HP WEG 1800 RPM 110/220V	MOTORES ELECTRICOS	INDUSTRIAL				MOTORES ELECTRICOS	Maquinas	WEG			0									157.14	221.1	0			2	1	1	1	-	LIBRE-1204	MAC 			0.27	1.9	1.9	0.9	1	0				Compra Local Maquinas	LOCAL			1	Default		1	=	1				2	1	2	1	A	A	2			1000000000	2	0	0	0	0	0	0	0	2	0			0	1					0	0	0	9.77		0	42095	43299	43313	36526	36526	36526	36533	0.276641668	0	0.066666667	0	0.933333333	0	0			FALSE		
AGROTA	Compra Local Maquinaria.xlsm	43313	Bodega Central Agrota	10000001161		MOT-003A		MOTOR 3HP MONOFASICO 3600 RPM ABIERTO	MOTORES ELECTRICOS	INDUSTRIAL				MOTORES ELECTRICOS	Maquinas	WEG			0									168.46	307.6	0			2	1	1	1	-	LIBRE-408	MAC 	2		0.59	1.3	1.3	0.4	0	0				Compra Local Maquinas	LOCAL			1	Default		1	=	1				3	2	2	1	V	V	4			1000000000	3	0	0	0	0	0	0	0	3	0			0	2					0	0	0	19.82		0	42891	43299	43313	36526	36526	36526	36533	0.122743875	0	0	0	0.133333333	0.866666667	0			FALSE		
AGROTA	Compra Local Maquinaria.xlsm	43313	Bodega Central Agrota	10000001162		MOT-003B		MOTOR 3HP WEG 1800 RPM 110/220V	MOTORES ELECTRICOS	INDUSTRIAL				MOTORES ELECTRICOS	Maquinas	WEG			0									358.45	420	0			2	1	1	1	-	LIBRE-1204	MAC MFR-6787		RED 	0.05	10	5	5	7	0				Compra Local Maquinas	LOCAL			1	Default		1	=	1				2	1	2	1	R	R	2			1000000000	1	0.5	0	0	0	0	0	0	1	0.5			1	1					0	0	0	4.12		0	42095	43299	43313	36526	36526	36526	36533	0	0	0	1	0	0	0		N	FALSE		
