EMPRESA	ARCHIVO	FECHA	BODEGA	CODIGO	CODIGO FUNCIONAL	CODIGO VINCULADO	CODIGO GENERICO	DESCRIPCION	GRUPO	LINEA	SUBLINEA	FAMILIA	SUBFAMILIA	CATEGORIA	TIPO	MARCA	MODELO	CAT MANAGEMENT	NUEVO	CAT PROPIA 1	CAT PROPIA 2	CAT PROPIA 3	CAT PROPIA 4	CAT PROPIA 5	Estatus	Clasificación	Responsable	CTV	PV	Precio Promoción	Inicio Promoción	Fin Promoción	Horizonte	T Suministro	Frec Repos	GDB	Cam	Etapa	Estado Reposiciones	Nuevo Buff Sug	Comportamiento	Consumo	Cobertura Buffer	Cobertura Inv Proy	Cobertura Ped Min	Días Desabastecimiento	Ventas Perdidas	Posponer BUF	Posponer RED	Posponer GDB	Proveedor	Perfil	Buff Min	Buff Max	PEDID Min	Redondeo Pedido Mínimo	PEDID Min Grupo	Unidad Empaque	Redondeo Unidad Empaque	Porc Aten	Impacto Faltante	Observaciones	Nuevo Buff Real	Buff Act	Buff Calc	Zona Amar	Zona Roja	Color	Color1	Ult Buffer	Buff Ant Estacion	Buff Estacional	Inv Proveed	Inv Fís Act	Estado Buffer	Tráns Act	Negociación	Producción	Embarcado	Comprom	Backorders	Inv Proy Act	Estado Buffer Proy	Ingresos	Egresos	PEDIDCalc	PEDID Prom	PEDID Real	Calendario Estacional	Acción Estacional	Etapa Estacional	T$D	I$D	Rentabilid	Rentabilidad Proy	Vel Efect	Servicio	Ult Cambio	Inicio Per	Fin Per	Ult Transfer Inicial	Ult Transfer Final	Fecha Nuevo Pedido	Fecha Esperada Arribo	Var	Rojo Acum	Negro	Rojo	Amarillo	Verde	Lila	Err Ped Grupo	Color Repos Frec	Omisiones GDB	Numero Fila	Borrar
AGROTA	Compra Local Quimicos.xlsm	43313	BODEGA CENTRAL MATERIA PRIMA	151113104528853		MPTERMOBOR-250CC		ETIQUETA AGROTAFOL CALCIO BORO X 250 CC (Termoencogible.)	ETIQUETAS	PRODUCCION				ETIQUETAS 	MATERIA PRIMA	SUPRAPLAST			0									0.12	0	0			6	3	3	1		LIBRE-182				101.57	0	0.5	2.5	0	0		42648	42551	Compra Local Quimicos	SUPRAPLAST			1000	Default		1	=	1				0	915	0	0	G	G	1000			1000000000	190	0	0	0	0	0	0	0	190	0			0	0					0	0	0	0		0	43089	43271	43313	36526	36526	36526	36547	0	0	0	0	0	0	0.902439024			FALSE		
AGROTA	Compra Local Quimicos.xlsm	43313	BODEGA CENTRAL MATERIA PRIMA	151115192102872		MPTERMOESP500CC		ETIQUETA AGROTAFOL ESPIGARROZ X 500 CC (Termoencogible.)	ETIQUETAS	PRODUCCION				ETIQUETAS 	MATERIA PRIMA	SUPRAPLAST			0									0.13	0	0			6	3	3	1		LIBRE-231				62.31	0	0	2	0	0		42648	42878	Compra Local Quimicos	SUPRAPLAST			500	Default		1	=	1				0	561	0	0	G	G	560			1000000000	0	0	0	0	0	0	0	0	0	0			0	0					0	0	0	0		0	43040	43271	43313	36526	36526	36526	36547	1.411968531	0	0.390243902	0	0	0	0.512195122			FALSE		
AGROTA	Compra Local Quimicos.xlsm	43313	BODEGA CENTRAL MATERIA PRIMA	151212130045227		MPTERMOAFOS-1LT		ETIQUETA AGROTAFOL FOSFITO X LIT (Termoencogible)	ETIQUETAS	PRODUCCION				ETIQUETAS 	MATERIA PRIMA	SUPRAPLAST			0									0.23	0	0			6	3	3	1		LIBRE-231				93.24	0	0.3	2.7	0	0		42648		Compra Local Quimicos	SUPRAPLAST			1000	Default		1	=	1				0	840	0	0	G	G	1000			1000000000	97	0	0	0	0	0	0	0	97	0			0	0					0	0	0	0		0	43040	43271	43313	36526	36526	36526	36547	0.596948063	0	0	0	0	0	0.902439024			FALSE		
AGROTA	Compra Local Quimicos.xlsm	43313	BODEGA CENTRAL MATERIA PRIMA	151113111405059		MPTERMOFOS-250CC		ETIQUETA AGROTAFOL FOSFITO X 250 CC (Termoencogible)	ETIQUETAS	PRODUCCION				ETIQUETAS 	MATERIA PRIMA	SUPRAPLAST			0									0.11	0	0			6	3	3	1		LIBRE-231				41.45	0	0	6	0	0		42648		Compra Local Quimicos	SUPRAPLAST			1000	Default		1	=	1				0	374	0	0	G	G	1000			1000000000	0	0	0	0	0	0	0	0	0	0			0	0					0	0	0	0		0	43040	43271	43313	36526	36526	36526	36547	1	0	0.902439024	0	0	0	0			FALSE		
AGROTA	Compra Local Quimicos.xlsm	43313	BODEGA CENTRAL MATERIA PRIMA	151115195328696		MPTERMOFOS-500CC		ETIQUETA AGROTAFOL FOSFITO X 500 CC (Termoencogible)	ETIQUETAS	PRODUCCION				ETIQUETAS 	MATERIA PRIMA	SUPRAPLAST			0									0.14	0	0			6	3	3	1		LIBRE-231				46.85	0	5.1	5.3	0	0		42648	43042	Compra Local Quimicos	SUPRAPLAST			1000	Default		1	=	1				0	422	0	0	G	G	700			1000000000	954	0	0	0	0	0	0	0	954	0			0	0					0	0	0	0		0	43040	43271	43313	36526	36526	36526	36547	0.05263352	0	0	0	0	0	0.902439024			FALSE		
AGROTA	Compra Local Quimicos.xlsm	43313	BODEGA CENTRAL MATERIA PRIMA	151115200107893		MPTERMOKPLU-500CC		ETIQUETA AGROTAFOL KPLUS X 500 CC (Termoencogible)	ETIQUETAS	PRODUCCION				ETIQUETAS 	MATERIA PRIMA	SUPRAPLAST			0									0.13	0	0			6	3	3	1		LIBRE-182				31.2	0	0	4	0	0		42648	42874	Compra Local Quimicos	SUPRAPLAST			500	Default		1	=	1				0	281	0	0	G	G	1000			1000000000	0	0	0	0	0	0	0	0	0	0			0	0					0	0	0	0		0	43089	43271	43313	36526	36526	36526	36547	1	0	0.902439024	0	0	0	0			FALSE		
AGROTA	Compra Local Quimicos.xlsm	43313	BODEGA CENTRAL MATERIA PRIMA	151123163411386		MPTERMOSIL-1LT		ETIQUETA AGROTAFOL SILICA X 1LIT (Termoencogible)	ETIQUETAS	PRODUCCION				ETIQUETAS 	MATERIA PRIMA	SUPRAPLAST			0									0.17	0	0			6	3	3	1		LIBRE-485				39.44	0	10.8	0	0	0		42648		Compra Local Quimicos	SUPRAPLAST			0	Default		1	=	1				0	355	0	0	G	G	1500			1000000000	1697	0	0	0	0	0	0	0	1697	0			0	0					0	0	0	0		0	42786	43271	43313	36526	36526	36526	36547	0.033191302	0	0	0	0	0	0.902439024			FALSE		
AGROTA	Compra Local Quimicos.xlsm	43313	BODEGA CENTRAL MATERIA PRIMA	151115201509085		MPTERMOZINC-500CC		ETIQUETA AGROTAFOL ZINC X 500 CC (Termoencogible)	ETIQUETAS	PRODUCCION				ETIQUETAS 	MATERIA PRIMA	SUPRAPLAST			0									0.15	0	0			6	3	3	1		LIBRE-182				46.21	0	4.7	5.4	0	0		42648	42702	Compra Local Quimicos	SUPRAPLAST			1000	Default		1	=	1				0	416	0	0	G	G	1000			1000000000	874	0	0	0	0	0	0	0	874	0			0	0					0	0	0	0		0	43089	43271	43313	36526	36526	36526	36547	0.018340569	0	0	0	0	0	0.902439024			FALSE		
AGROTA	Compra Local Quimicos.xlsm	43313	BODEGA CENTRAL MATERIA PRIMA	151123165650247		MPTERMOCITOQ-1LT		ETIQUETA CITOQMAX X LIT (Termoencogible)	ETIQUETAS	PRODUCCION				ETIQUETAS 	AA (No Aplica)	SUPRAPLAST			0									0.2	0	0			6	3	3	1		LIBRE-182				88.12	0	0	2.8	0	0		42648	42696	Compra Local Quimicos	SUPRAPLAST			1000	Default		1	=	1				0	794	0	0	G	G	1330			1000000000	0	0	0	0	0	0	0	0	0	0			0	0					0	0	0	0		0	43089	43271	43313	36526	36526	36526	36547	1.930205804	0	0.707317073	0	0	0	0.195121951			FALSE		
AGROTA	Compra Local Quimicos.xlsm	43313	BODEGA CENTRAL MATERIA PRIMA	151115184357204		MPTERMORAIZ-500CC		ETIQUETA RAIZ FORTE X 500CC (Termoencogible)	ETIQUETAS	PRODUCCION				ETIQUETAS 	AA (No Aplica)	SUPRAPLAST			0									0.13	0	0			6	3	3	1		LIBRE-182				100.01	0	0	2.5	0	0		42648	42766	Compra Local Quimicos	SUPRAPLAST			1000	Default		1	=	1				0	901	0	0	G	G	1000			1000000000	0	0	0	0	0	0	0	0	0	0			0	0					0	0	0	0		0	43089	43271	43313	36526	36526	36526	36547	2.979635757	0	0.658536585	0	0	0	0.243902439			FALSE		
