EMPRESA	ARCHIVO	FECHA	BODEGA	CODIGO	CODIGO FUNCIONAL	CODIGO VINCULADO	CODIGO GENERICO	DESCRIPCION	GRUPO	LINEA	SUBLINEA	FAMILIA	SUBFAMILIA	CATEGORIA	TIPO	MARCA	MODELO	CAT MANAGEMENT	NUEVO	CAT PROPIA 1	CAT PROPIA 2	CAT PROPIA 3	CAT PROPIA 4	CAT PROPIA 5	Estatus	Clasificación	Responsable	CTV	PV	Precio Promoción	Inicio Promoción	Fin Promoción	Horizonte	T Suministro	Frec Repos	GDB	Cam	Etapa	Estado Reposiciones	Nuevo Buff Sug	Comportamiento	Consumo	Cobertura Buffer	Cobertura Inv Proy	Cobertura Ped Min	Días Desabastecimiento	Ventas Perdidas	Posponer BUF	Posponer RED	Posponer GDB	Proveedor	Perfil	Buff Min	Buff Max	PEDID Min	Redondeo Pedido Mínimo	PEDID Min Grupo	Unidad Empaque	Redondeo Unidad Empaque	Porc Aten	Impacto Faltante	Observaciones	Nuevo Buff Real	Buff Act	Buff Calc	Zona Amar	Zona Roja	Color	Color1	Ult Buffer	Buff Ant Estacion	Buff Estacional	Inv Proveed	Inv Fís Act	Estado Buffer	Tráns Act	Negociación	Producción	Embarcado	Comprom	Backorders	Inv Proy Act	Estado Buffer Proy	Ingresos	Egresos	PEDIDCalc	PEDID Prom	PEDID Real	Calendario Estacional	Acción Estacional	Etapa Estacional	T$D	I$D	Rentabilid	Rentabilidad Proy	Vel Efect	Servicio	Ult Cambio	Inicio Per	Fin Per	Ult Transfer Inicial	Ult Transfer Final	Fecha Nuevo Pedido	Fecha Esperada Arribo	Var	Rojo Acum	Negro	Rojo	Amarillo	Verde	Lila	Err Ped Grupo	Color Repos Frec	Omisiones GDB	Numero Fila	Borrar
AGROTA	Ferretera.xlsm	43313	Bodega Central Agrota	150224124717429		ARS-LPB-30L		TIJERA PODADORA GRANDE LPB-30L	TIJERAS	AGROFORESTAL				HERRAMIENTAS PODA MANUAL	Accesorios	ARS			0									31.53	69.67	0			37	20	17	1		SUSP-78	OK			1.37	9.1	13.9	0.2	0	0			42849	Chatani	JAPON CHATANI			1	Default		1	=	1				50	77	33	17	L	L	100			1000000000	76	-0.52	0	0	0	0	0	0	76	-0.52			0	23					0	820	0	1.57		1.2	43132	43132	43391	43206	43249	43325	43346	0.065622088	0	0	0	0	0	0.751072961			FALSE		
AGROTA	Ferretera.xlsm	43313	Bodega Central Agrota	150224171155684		ARS-EXP-3.3		PERTIGA PARA SIERRA DE MASTIL	TIJERAS	AGROFORESTAL				HERRAMIENTAS PODA MANUAL	Accesorios	ARS			0									54.43	120.37	0			37	20	17	1		SUSP-78	SAC 			0.05	25	85	5	0	0			42849	Chatani	JAPON CHATANI			1	Default		1	=	1				5	3	3	2	L	L	15			1000000000	17	-2.4	0	0	0	0	0	0	17	-2.4			0	2					0	653	0	1.57		4	43132	43132	43391	43007	43122	43126	43147	0.016911672	0	0	0	0	0	0.751072961			FALSE		
AGROTA	Ferretera.xlsm	43313	Bodega Central Agrota	150224123940963		ARS-LPB-20M		TIJERA PODADORA GRANDE LPB-20M	TIJERAS	AGROFORESTAL				HERRAMIENTAS PODA MANUAL	Accesorios	ARS			0									30.09	64.69	0			37	20	17	1		SUSP-78	SAC 			0.46	10.9	14.7	0.5	0	0			42849	Chatani	JAPON CHATANI			1	Default		1	=	1				20	26	13	7	L	L	30			1000000000	27	-0.35	0	0	0	0	0	0	27	-0.35			0	9					0	211	0	1.49		2.5	43132	43132	43391	43007	43122	43126	43147	0.097748783	0	0	0	0	0	0.751072961			FALSE		
AGROTA	Ferretera.xlsm	43313	Bodega Central Agrota	150618082627588		ARS-SE-45		TIJERA DE COSECHA SE-45	TIJERAS	AGROFORESTAL				HERRAMIENTAS PODA MANUAL	Accesorios	ARS			0									5.8	11.93	0			37	20	17	1		SUSP-204	SAC 		BUF	0.78	160.3	188.8	0.3	0	0			42849	Chatani	JAPON CHATANI			1	Default		1	=	1				500	44	333	165	L	L	600			1000000000	589	-0.178	0	0	0	0	0	0	589	-0.178			0	230					0	516	0	1.37		2.2	43258	43258	43517	43206	43249	43325	43346	0.003086701	0	0	0	0	0	0.277227723			FALSE		
AGROTA	Ferretera.xlsm	43313	Bodega Central Agrota	170330123845705		ARS-LP-40		PODADORA LP-40	PODADORA ELECTRICA	AGROFORESTAL				PODADORA 	Maquinas	ARS			0									49.45	0	0			37	20	17	1	-	SUSP-93	SAC 			0.09	13.9	13.9	2.8	0	0				Chatani	JAPON CHATANI			1	Default		1	=	1				5	5	3	2	V	V	0			1000000000	5	0	0	0	0	0	0	0	5	0			0	2					0	0	0	-1.3		2	43147	43147	43406	43007	43122	43126	43147	0.064853751	0	0	0	0	0.698689956	0			FALSE		
AGROTA	Ferretera.xlsm	43313	Bodega Central Agrota	131120084234866		SANYO-3961		"DISCO VIDEA SANYO KT 10"" X 40D"	ACCESORIOS EQUIPOS 4T	AGROFORESTAL				ACCESORIOS	Accesorios	SANYO			0									10.88	20.36	0			37	20	17	1	-	SUSP-141	SAC 			62.18	12.1	14.8	0	0	0				Chatani	JAPON CHATANI			1	Default		1	=	1				3000	3451	1995	990	R	L	1500			1000000000	676	0.7747	3000	0	0	0	0	0	3676	-0.2253			0	1378					2977	0	0	1.13		2	43195	43195	43454	43287	43249	43406	43427	0.859501235	0	0.207373272	0.31797235	0	0	0			FALSE		
AGROTA	Ferretera.xlsm	43313	Bodega Central Agrota	170322111236563		ASAB-250H		PISTOLA SUPER SHUTTLE 250H	ACCESORIOS EQUIPOS 2T	AGROFORESTAL				ACCESORIOS	Accesorios	ASABA			0									20.3	38	0			37	20	17	1		SUSP-195	OK			0.41	24.4	27.4	0.6	0	0				Chatani	JAPON CHATANI			1	Default		1	=	1				40	23	27	13	L	L	60			1000000000	45	-0.125	0	0	0	0	0	0	45	-0.125			0	18					0	102	0	1.13		1	43249	43249	43508	43132	43195	43251	43272	0.023988245	0	0	0	0	0	0.318627451			FALSE		
AGROTA	Ferretera.xlsm	43313	Bodega Central Agrota	140602154941409		SANYO-0438		"CUCHILLA CORBATIN SANYO 12"""	ACCESORIOS EQUIPOS 4T	AGROFORESTAL				ACCESORIOS	Accesorios	SANYO			0									3.42	7.79	0			37	20	17	1		LIBRE-160	SAC 			17.29	14.5	30.3	0	0	0				Chatani	JAPON CHATANI			1	Default		1	=	1				1000	960	665	330	L	L	400			1000000000	2098	-1.098	0	0	0	0	0	0	2098	-1.098			0	459					0	3755	0	1.66		2	42894	43054	43313	43206	43249	43325	43346	0.483869094	0	0	0	0.216535433	0	0.767716535			FALSE		
AGROTA	Ferretera.xlsm	43313	Bodega Central Agrota	150210122527290		ARS-GR-18L		SIERRA PLEGABLE GR18R	TIJERAS	AGROFORESTAL				HERRAMIENTAS PODA MANUAL	Maquinas	ARS			0									13.26	24.7	0			37	20	17	1		SUSP-204	OK			0.5	25	41	0.5	0	0			42849	Chatani	JAPON CHATANI			1	Default		1	=	1				50	28	33	17	L	L	80			1000000000	72	-0.44	10	0	0	0	0	0	82	-0.64			0	23					0	292	0	1.12		1.2	43258	43258	43517	43287	43249	43406	43427	0.019306639	0	0	0	0	0	0.277227723			FALSE		
AGROTA	Ferretera.xlsm	43313	Bodega Central Agrota	150210122152596		ARS-GR-17		SIERRA PLEGABLE GR17	TIJERAS	AGROFORESTAL				HERRAMIENTAS PODA MANUAL	Accesorios	ARS			0									13.27	29.38	0			37	20	17	1		SUSP-204	SAC 			0.5	35	48	0.5	0	0			42849	Chatani	JAPON CHATANI			1	Default		1	=	1				70	28	47	23	L	L	100			1000000000	96	-0.3714	0	0	0	0	0	0	96	-0.3714			0	32					0	345	0	1.57		2.43	43258	43258	43517	43206	43249	43325	43346	0.01447078	0	0	0	0	0	0.277227723			FALSE		
