EMPRESA	ARCHIVO	FECHA	BODEGA	CODIGO	CODIGO FUNCIONAL	CODIGO VINCULADO	CODIGO GENERICO	DESCRIPCION	GRUPO	LINEA	SUBLINEA	FAMILIA	SUBFAMILIA	CATEGORIA	TIPO	MARCA	MODELO	CAT MANAGEMENT	NUEVO	CAT PROPIA 1	CAT PROPIA 2	CAT PROPIA 3	CAT PROPIA 4	CAT PROPIA 5	Estatus	Clasificación	Responsable	CTV	PV	Precio Promoción	Inicio Promoción	Fin Promoción	Horizonte	T Suministro	Frec Repos	GDB	Cam	Etapa	Estado Reposiciones	Nuevo Buff Sug	Comportamiento	Consumo	Cobertura Buffer	Cobertura Inv Proy	Cobertura Ped Min	Días Desabastecimiento	Ventas Perdidas	Posponer BUF	Posponer RED	Posponer GDB	Proveedor	Perfil	Buff Min	Buff Max	PEDID Min	Redondeo Pedido Mínimo	PEDID Min Grupo	Unidad Empaque	Redondeo Unidad Empaque	Porc Aten	Impacto Faltante	Observaciones	Nuevo Buff Real	Buff Act	Buff Calc	Zona Amar	Zona Roja	Color	Color1	Ult Buffer	Buff Ant Estacion	Buff Estacional	Inv Proveed	Inv Fís Act	Estado Buffer	Tráns Act	Negociación	Producción	Embarcado	Comprom	Backorders	Inv Proy Act	Estado Buffer Proy	Ingresos	Egresos	PEDIDCalc	PEDID Prom	PEDID Real	Calendario Estacional	Acción Estacional	Etapa Estacional	T$D	I$D	Rentabilid	Rentabilidad Proy	Vel Efect	Servicio	Ult Cambio	Inicio Per	Fin Per	Ult Transfer Inicial	Ult Transfer Final	Fecha Nuevo Pedido	Fecha Esperada Arribo	Var	Rojo Acum	Negro	Rojo	Amarillo	Verde	Lila	Err Ped Grupo	Color Repos Frec	Omisiones GDB	Numero Fila	Borrar
AGROTA	Guayaquil Sukampo.xlsm	43313	AGROTA SUKAMPO GUAYAQUIL	130423084040994		OT-PROM-99909-55133		ACEITE SHINDAIWA LA X LT PROMOCION	ACEITE	AGROFORESTAL				LUBRICANTE	Lubricantes	SHINDAIWA			0									3.58	6.7	0			2	1	1	1	-	LIBRE-343	MAC 	35		6.45	1.9	1.9	0	0	0				Bodega Central Agrota	LOCAL			1	Default		1	=	1				50	20	33	17	V	V	60			561	50	0	0	0	0	0	0	0	50	0			0	25					0	0	0	20.92		0	42956	43299	43313	36526	36526	36526	36533	0.16424257	0	0	0	0.2	0.8	0			FALSE		
AGROTA	Guayaquil Sukampo.xlsm	43313	AGROTA SUKAMPO GUAYAQUIL	110330112405247		EC-6450061		ACEITE ECHO POWER BLEND 2T x LT (12)	ACEITE	AGROFORESTAL				LUBRICANTE	Lubricantes	ECHO			0									4.46	7.5	0			2	1	1	1	-	LIBRE-35	MAC MFR-6787			5.58	0.7	0.4	0	0	0				Bodega Central Agrota	LOCAL			1	Default		1	=	1				16	17	11	5	A	A	20			1652	10	0.375	0	0	0	0	0	0	10	0.375			6	8					0	0	0	16.36		0	43264	43299	43313	36526	36526	36526	36533	0.666585677	0	0	0	0.066666667	0.666666667	0.266666667		N	FALSE		
AGROTA	Guayaquil Sukampo.xlsm	43313	AGROTA SUKAMPO GUAYAQUIL	110919123956230		EC-99909-55113		ACEITE SHINDAIWA PREMIUM 2-TIEMPOS 100ML	ACCESORIOS EQUIPOS 2T	AGROFORESTAL				ACCESORIOS	Gris Accesorio	SHINDAIWA			0									0	1.37	0			2	1	1	1		LIBRE-387				0	0	0	0	0	0				Bodega Central Agrota	LOCAL			1	Default		1	=	1				0	0	0	0	G	G	12			1000000000	0	0	0	0	0	0	0	0	0	0			0	0					0	0	0	0		0	42912	43299	43313	36526	36526	36526	36533	1	0	1	0	0	0	0			FALSE		
AGROTA	Guayaquil Sukampo.xlsm	43313	AGROTA SUKAMPO GUAYAQUIL	120210160328392		EC-6450060		ACEITE ECHO 100ML (6450102) (48)	ACEITE	AGROFORESTAL				LUBRICANTE	Lubricantes	ECHO			0									0.81	1.4	0			2	1	1	1		LIBRE-91	MAC 		BUF	0.32	3.9	5.5	0.8	0	0				Bodega Central Agrota	LOCAL			1	Default		1	=	1				5	1	3	2	L	L	8			349	7	-0.4	0	0	0	0	0	0	7	-0.4			0	3					0	2	0	17.48		0	43208	43299	43313	36526	36526	36526	36533	0	0	0	0	0	0	1			FALSE		
AGROTA	Guayaquil Sukampo.xlsm	43313	AGROTA SUKAMPO GUAYAQUIL	110330113333686		EC-83003		ACEITE LIMPIADOR RED ARMOR FD 2T (7104)	ACEITE	AGROFORESTAL				LUBRICANTE	Lubricantes	SHINDAIWA			0									3.67	5.63	0			2	1	1	1	-	LIBRE-246	MAC 	5	RED BUF	0.41	4.9	4.9	0.6	0	0				Bodega Central Agrota	LOCAL			1	Default		1	=	1				8	2	5	3	V	V	12			337	8	0	0	0	0	0	0	0	8	0			0	4					0	0	0	12.82		0	43053	43299	43313	36526	36526	36526	36533	0	0	0	0	0	1	0			FALSE		
AGROTA	Guayaquil Sukampo.xlsm	43313	AGROTA SUKAMPO GUAYAQUIL	120328131554850		EC-99909-55123		ACEITE SHINDAIWA PREMIUM 2T X 200ML	ACCESORIOS EQUIPOS 2T	AGROFORESTAL				ACCESORIOS	Gris Accesorio	SHINDAIWA			0									1.05	2	0			2	1	1	1		LIBRE-393				0	0	0	0	0	0				Bodega Central Agrota	LOCAL			1	Default		1	=	1				0	0	0	0	G	G	12			10	0	0	0	0	0	0	0	0	0	0			0	0					0	0	0	0		0	42906	43299	43313	36526	36526	36526	36533	1	0	1	0	0	0	0			FALSE		
AGROTA	Guayaquil Sukampo.xlsm	43313	AGROTA SUKAMPO GUAYAQUIL	121114171333702		EC-99909-55130		ACEITE SHINDAIWA PREMIUM x LITRO BARRA Y CADENA 	ACEITE	AGROFORESTAL				LUBRICANTE	Lubricantes	SHINDAIWA			0									2.34	4.02	0			2	1	1	1	-	LIBRE-91	MAC MFR-6787	10	RED 	2.52	1.5	1.2	0.1	0	0				Bodega Central Agrota	LOCAL			1	Default		1	=	1				15	8	10	5	V	V	8			110	12	0.2	0	0	0	0	0	0	12	0.2			3	8					0	0	0	17.23		0	43208	43299	43313	36526	36526	36526	36533	0.052337613	0	0	0	0	1	0		N	FALSE		
AGROTA	Guayaquil Sukampo.xlsm	43313	AGROTA SUKAMPO GUAYAQUIL	130503180836626		EC-80578		ACEITE SHINDAIWA ONE X LT	ACEITE	AGROFORESTAL				LUBRICANTE	Lubricantes	SHINDAIWA			0									4.37	7.9	0			2	1	1	1		LIBRE-387				0	0	0	0	0	0				Bodega Central Agrota	LOCAL			1	Default		1	=	1				0	0	0	0	G	G	12			1000000000	0	0	0	0	0	0	0	0	0	0			0	0					0	0	0	0		0	42912	43299	43313	36526	36526	36526	36533	1	0	1	0	0	0	0			FALSE		
AGROTA	Guayaquil Sukampo.xlsm	43313	AGROTA SUKAMPO GUAYAQUIL	110106171538622		EC-80786		CABEZAL METALICO PLATEADO SIN EMPAQUE (7111)	ACCESORIOS EQUIPOS 2T	AGROFORESTAL				ACCESORIOS	Accesorios	SHINDAIWA			0									8.52	14.93	0			2	1	1	1	-	LIBRE-246	MAC MFR-6787		BUF	0.82	3	0	0.3	30	0				Bodega Central Agrota	LOCAL			1	Default		1	=	1				10	3	7	3	N	N	15			1000000000	0	1	0	0	0	0	0	0	0	1			10	5					19	0	0	18.06		0	43053	43299	43313	36526	36526	36526	36533	1	0	1	0	0	0	0		N	FALSE		
AGROTA	Guayaquil Sukampo.xlsm	43313	AGROTA SUKAMPO GUAYAQUIL	131120081947635		SANYO-0439		"CUCHILLA CORBATIN SANYO 14"" (7117)"	ACCESORIOS EQUIPOS 4T	AGROFORESTAL				ACCESORIOS	Accesorios	SANYO			0									4.72	9.64	0			2	1	1	1	-	LIBRE-91	MAC MFR-6787			2.61	1	0.2	0.1	0	0				Bodega Central Agrota	LOCAL			1	Default		1	=	1				10	8	7	3	R	R	7			4	2	0.8	0	0	0	0	0	0	2	0.8			8	5					5	0	0	25.02		0	43208	43299	43313	36526	36526	36526	36533	0.56343617	0	0	0.6	0.4	0	0		N	FALSE		
