EMPRESA	ARCHIVO	FECHA	BODEGA	CODIGO	CODIGO FUNCIONAL	CODIGO VINCULADO	CODIGO GENERICO	DESCRIPCION	GRUPO	LINEA	SUBLINEA	FAMILIA	SUBFAMILIA	CATEGORIA	TIPO	MARCA	MODELO	CAT MANAGEMENT	NUEVO	CAT PROPIA 1	CAT PROPIA 2	CAT PROPIA 3	CAT PROPIA 4	CAT PROPIA 5	Estatus	Clasificación	Responsable	CTV	PV	Precio Promoción	Inicio Promoción	Fin Promoción	Horizonte	T Suministro	Frec Repos	GDB	Cam	Etapa	Estado Reposiciones	Nuevo Buff Sug	Comportamiento	Consumo	Cobertura Buffer	Cobertura Inv Proy	Cobertura Ped Min	Días Desabastecimiento	Ventas Perdidas	Posponer BUF	Posponer RED	Posponer GDB	Proveedor	Perfil	Buff Min	Buff Max	PEDID Min	Redondeo Pedido Mínimo	PEDID Min Grupo	Unidad Empaque	Redondeo Unidad Empaque	Porc Aten	Impacto Faltante	Observaciones	Nuevo Buff Real	Buff Act	Buff Calc	Zona Amar	Zona Roja	Color	Color1	Ult Buffer	Buff Ant Estacion	Buff Estacional	Inv Proveed	Inv Fís Act	Estado Buffer	Tráns Act	Negociación	Producción	Embarcado	Comprom	Backorders	Inv Proy Act	Estado Buffer Proy	Ingresos	Egresos	PEDIDCalc	PEDID Prom	PEDID Real	Calendario Estacional	Acción Estacional	Etapa Estacional	T$D	I$D	Rentabilid	Rentabilidad Proy	Vel Efect	Servicio	Ult Cambio	Inicio Per	Fin Per	Ult Transfer Inicial	Ult Transfer Final	Fecha Nuevo Pedido	Fecha Esperada Arribo	Var	Rojo Acum	Negro	Rojo	Amarillo	Verde	Lila	Err Ped Grupo	Color Repos Frec	Omisiones GDB	Numero Fila	Borrar
AGROTA	Importacion Quimicos.xlsm	43313	MATERIA PRIMA	110708162418082		MPACCOABM-100CC		ABAMECTIN 2.0% Ec x 100CC 	ABAMECTIN 2.0% Ec 	PLAGUICIDAS CONVENCIONALES				INSECTICIDA	MATERIA PRIMA	SUNJOY			0									1.08	0	0			20	16	4	1		LIBRE-6647				0	0	0	0	0	0			42958	Sinochem	CHINA SUNJOY			4000	Default		1	=	1				0	0	0	0	G	G				1000000000	0	0	0	0	0	0	0	0	0	0			0	0					0	0	0	0		0	36526	43173	43313	42810	42894	42838	42922	1	0	0.985294118	0	0	0	0			FALSE		
AGROTA	Importacion Quimicos.xlsm	43313	MATERIA PRIMA	140729114317835		MPNUAGABC-200LIT		AGREX ABC X 200LIT	Dioctil Sulfosuccinato + indicador	NUTRICIONAL				COADYUVANTES	MATERIA PRIMA	AGROENZYMAS			0									1251.61	2390	0			13	8	5	1	+-	LIBRE-6696	SAC MFR-13		BUF	0	0	0	0	5	0			42802	Agroenzimas	MEXICO			1	Default		1	=	1				3	0	2	1	N	R				1000000000	0	1	1	0	0	0	0	0	1	0.6667			2	1					1138	0	0	3.36		1.33	36526	43222	43313	43265	43230	43300	43321	0.520827036	1	0.054945055	0.186813187	0.406593407	0.340659341	0		N	FALSE		
AGROTA	Importacion Quimicos.xlsm	43313	MATERIA PRIMA	140729115433975		MPNUAGAGF-200LIT		AGREX F X 200LIT	Dioctil sulfosuccinato	NUTRICIONAL				COADYUVANTES	MATERIA PRIMA	AGROENZYMAS			0									704.02	1350	0			13	8	5	1	+-	LIBRE-6696	SAC MFR-83	26	BUF	0	0	0	0	0	0			42802	Agroenzimas	MEXICO			1	Default		1	=	1				19	0	13	6	A	A				1000000000	10.71	0.4363	0	0	0	0	0	0	10.71	0.4363			8	7					0	0	0	3.39		1.47	36526	43222	43313	43195	43230	43230	43251	0.51912681	79.83	0	0.395604396	0.252747253	0.340659341	0		N	TRUE		
AGROTA	Importacion Quimicos.xlsm	43313	MATERIA PRIMA	140729115009631		MPNUAGARP-200LIT		AGREX RP X 200LIT	Agente Tensoactivo	NUTRICIONAL				COADYUVANTES	MATERIA PRIMA	AGROENZYMAS			0									735.87	1590	0			13	8	5	1	+-	LIBRE-6696	SAC 		BUF	0	0	0	0	12	0			42958	Agroenzimas	MEXICO			1	Default		1	=	1				3	0	2	1	N	V				1000000000	0	1	3	0	0	0	0	0	3	0			0	1					854	0	0	4.29		1.67	36526	43222	43313	43265	43300	43300	43321	0.52110662	1	0.131868132	0.307692308	0.549450549	0	0			FALSE		
AGROTA	Importacion Quimicos.xlsm	43313	MATERIA PRIMA	101020132632203		MPFUCOBEN-250G		BENALAXYL 8%+MANCOZEB 65% WP x 250G 	BENALAXYL 8%+MANCOZEB 65% WP	PLAGUICIDAS CONVENCIONALES				FUNGICIDA	MATERIA PRIMA	SUNJOY			0									2.31	0	0			20	16	4	1	+-	LIBRE-6647	SAC MFR-267		BUF	0	0	0	0	0	0			43049	Sinochem	CHINA SUNJOY			1	Default		1	=	1				6000	0	3990	1980	A	A				1000000000	3775	0.3708	0	0	0	0	0	0	3775	0.3708			2225	1200					0	0	0	-2.4		3	36526	43173	43313	43018	43080	43046	43130	0.220424954	0	0	0	0.044117647	0.301470588	0.639705882		N	FALSE		
AGROTA	Importacion Quimicos.xlsm	43313	MATERIA PRIMA	101020132631202		MPFUCOBEN-500G		BENALAXYL 8%+MANCOZEB 65% WP x 500G 	BENALAXYL 8%+MANCOZEB 65% WP	PLAGUICIDAS CONVENCIONALES				FUNGICIDA	MATERIA PRIMA	SUNJOY			0									4.63	0	0			20	16	4	1		LIBRE-6647	SAC 		BUF	0	0	0	0	0	0			42814	Sinochem	CHINA SUNJOY			1	Default		1	=	1				9000	0	5985	2970	L	L				1000000000	10316	-0.1462	0	0	0	0	0	0	10316	-0.1462			0	1800					0	6093	0	-2.4		1.67	36526	43173	43313	43147	43263	43175	43259	0.15034219	0	0	0	0	0.176470588	0.808823529			FALSE		
AGROTA	Importacion Quimicos.xlsm	43313	MATERIA PRIMA	101020132617183		MPHECOBIS-200LIT		BISPIRIBAC SODIO 40% SC x 200LIT 	BISPIRIBAC SODIUM 48%	PLAGUICIDAS CONVENCIONALES				HERBICIDA	MATERIA PRIMA	SUNJOY			0									9198.44	0	0			20	16	4	1	-	LIBRE-6647	MAC 		BUF	0	0	0	0	0	0			42791	Sinochem	CHINA SUNJOY			1	Default		1	=	1				2	0	2	1	A	A				1000000000	1.72	0.14	0	0	0	0	0	0	1.72	0.14			0	0					0	0	0	-2.4		0	36526	43173	43313	36526	36526	36526	36638	0.061176339	0	0	0	0.308823529	0	0.676470588			FALSE		
AGROTA	Importacion Quimicos.xlsm	43313	MATERIA PRIMA	101020133126212		MPFUCOCBZ-200LIT		CARBENDAZIM 50% SC x 200LIT	CARBENDAZIM 50% SC	PLAGUICIDAS CONVENCIONALES				FUNGICIDA	MATERIA PRIMA	SUNJOY			0									935.66	0	0			20	16	4	1		LIBRE-6647	SAC 		BUF	0	0	0	0	0	0			43078	Sinochem	CHINA SUNJOY			1	Default		1	=	1				5	0	3	2	L	L				1000000000	10.52	-1.104	0	0	0	0	0	0	10.52	-1.104			0	1					0	5165	0	-2.4		4	36526	43173	43313	43047	43126	43075	43159	0.122628932	0	0	0	0	0	0.985294118			FALSE		
AGROTA	Importacion Quimicos.xlsm	43313	MATERIA PRIMA	101028110630363		MPFUCOCBZ-200G		CARBENDAZIM 50% WP x 200G 	CARBENDAZIM 50% WP	PLAGUICIDAS CONVENCIONALES				FUNGICIDA	MATERIA PRIMA	SUNJOY			0									1.05	0	0			20	16	4	1		LIBRE-6647	SAC 		BUF	0	0	0	0	0	0			42791	Sinochem	CHINA SUNJOY			1	Default		1	=	1				10000	0	6650	3300	L	L				1000000000	15290	-0.529	0	0	0	0	0	0	15290	-0.529			0	2000					0	5555	0	-2.4		1.41	36526	43173	43313	42783	42867	42811	42895	0.92489678	0	0.441176471	0	0	0	0.544117647			FALSE		
AGROTA	Importacion Quimicos.xlsm	43313	MATERIA PRIMA	110110124515070		MPFUCOCBZ-25KIL		CARBENDAZIM 50% WP x 25KIL	CARBENDAZIM 50% WP	PLAGUICIDAS CONVENCIONALES				FUNGICIDA	MATERIA PRIMA	SUNJOY			0									106.89	0	0			20	16	4	1		LIBRE-6647	SAC 		BUF	0	0	0	0	0	0			42791	Sinochem	CHINA SUNJOY			1	Default		1	=	1				70	0	47	23	L	L				1000000000	194.62	-1.7803	0	0	0	0	0	0	194.62	-1.7803			0	14					0	13321	0	-2.4		12.43	36526	43173	43313	43047	43126	43075	43159	0.210693394	0	0	0	0	0	0.985294118			FALSE		
