EMPRESA	ARCHIVO	FECHA	BODEGA	CODIGO	CODIGO FUNCIONAL	CODIGO VINCULADO	CODIGO GENERICO	DESCRIPCION	GRUPO	LINEA	SUBLINEA	FAMILIA	SUBFAMILIA	CATEGORIA	TIPO	MARCA	MODELO	CAT MANAGEMENT	NUEVO	CAT PROPIA 1	CAT PROPIA 2	CAT PROPIA 3	CAT PROPIA 4	CAT PROPIA 5	Estatus	Clasificación	Responsable	CTV	PV	Precio Promoción	Inicio Promoción	Fin Promoción	Horizonte	T Suministro	Frec Repos	GDB	Cam	Etapa	Estado Reposiciones	Nuevo Buff Sug	Comportamiento	Consumo	Cobertura Buffer	Cobertura Inv Proy	Cobertura Ped Min	Días Desabastecimiento	Ventas Perdidas	Posponer BUF	Posponer RED	Posponer GDB	Proveedor	Perfil	Buff Min	Buff Max	PEDID Min	Redondeo Pedido Mínimo	PEDID Min Grupo	Unidad Empaque	Redondeo Unidad Empaque	Porc Aten	Impacto Faltante	Observaciones	Nuevo Buff Real	Buff Act	Buff Calc	Zona Amar	Zona Roja	Color	Color1	Ult Buffer	Buff Ant Estacion	Buff Estacional	Inv Proveed	Inv Fís Act	Estado Buffer	Tráns Act	Negociación	Producción	Embarcado	Comprom	Backorders	Inv Proy Act	Estado Buffer Proy	Ingresos	Egresos	PEDIDCalc	PEDID Prom	PEDID Real	Calendario Estacional	Acción Estacional	Etapa Estacional	T$D	I$D	Rentabilid	Rentabilidad Proy	Vel Efect	Servicio	Ult Cambio	Inicio Per	Fin Per	Ult Transfer Inicial	Ult Transfer Final	Fecha Nuevo Pedido	Fecha Esperada Arribo	Var	Rojo Acum	Negro	Rojo	Amarillo	Verde	Lila	Err Ped Grupo	Color Repos Frec	Omisiones GDB	Numero Fila	Borrar
AGROTA	Jaher.xlsm	43313	JAHER REGIONAL CDR. CUENCA	160609130526020		EC-ECXLT-VTA (AGCC0002)		ACEITE ECHO POWER BLEND X LT	ACCESORIOS EQUIPOS 2T	AGROFORESTAL				ACCESORIOS	Lubricantes	ECHO			0									4.54	7.5	0			2	0.3	1	1	-	LIBRE-343	MAC MFR-6787	57	RED BUF	2.7	6.7	3.2	0.1	0	0				Bodega Central Agrota	Jaher			1	Default		1	=	1				72	6	48	24	A	A	0			1000000000	35	0.5139	0	0	0	0	0	0	35	0.5139			37	55					0	0	0	24.07		0	42956	43299	43313	36526	36526	36526	36528	0	0	0	0	1	0	0		N	FALSE		
AGROTA	Jaher.xlsm	43313	JAHER REGIONAL CDR. CUENCA	160609125632878		OT-SHXLT-VTA (AGCC0001)		ACEITE SHINDAIWA LA X LT	ACCESORIOS EQUIPOS 2T	AGROFORESTAL				ACCESORIOS	Lubricantes	SHINDAIWA			0									3.55	6.69	0			2	0.3	1	1	-	LIBRE-343	MAC MFR-6787		RED BUF	3.89	4.6	1.2	0.1	0	0				Bodega Central Agrota	Jaher			1	Default		1	=	1				72	8	48	24	R	R	0			1000000000	18	0.75	0	0	0	0	0	0	18	0.75			54	55					19	0	0	32.66		0	42956	43299	43313	36526	36526	36526	36528	0	0	0	1	0	0	0		N	FALSE		
AGROTA	Jaher.xlsm	43313	JAHER REGIONAL CDR. CUENCA	160609154551109		SHP-800 PLUS (AGMA0011)		BOMBA DE FUMIGAR ECHO SHP-800	FUMIGACION MANUAL	AGROFORESTAL				FUMIGACION	Maquinas	ECHO			0									297.38	702.38	0			2	0.3	1	1	-	LIBRE-343	MAC MFR-6787		BUF	0.59	4.7	0	0.4	20	0				Bodega Central Agrota	Jaher			1	Default		1	=	1				11	2	7	4	N	N	0			1000000000	0	1	0	0	0	0	0	0	0	1			11	8					1620	0	0	50.29		0	42956	43299	43313	36526	36526	36526	36528	1	0	1	0	0	0	0		N	FALSE		
AGROTA	Jaher.xlsm	43313	JAHER REGIONAL CDR. CUENCA	160609155511561		EC-SP53BPE (AGMA0012)		BOMBA DE FUMIGAR SHINDAIWA SP53BPE MANUAL	FUMIGACION MANUAL	AGROFORESTAL				FUMIGACION	Maquinas	SHINDAIWA			0									48.8	98	0			2	0.3	1	1	-	LIBRE-343	MAC MFR-6787		RED BUF	0.46	7.1	0.5	0.5	0	0				Bodega Central Agrota	Jaher			1	Default		1	=	1				13	1	9	4	R	R	0			1000000000	1	0.9231	0	0	0	0	0	0	1	0.9231			12	10					148	0	0	37.23		0	42956	43299	43313	36526	36526	36526	36528	0	0	0	1	0	0	0		N	FALSE		
AGROTA	Jaher.xlsm	43313	JAHER REGIONAL CDR. CUENCA	160610084539450		SRM-4300R PLUS (AGMA0025)		DESMALEZADORA SRM 4300R ECHO + COMBO + 2 AÑOS GARANTIA	DESMALEZADORAS 2T	AGROFORESTAL				DESMALEZADORAS	Maquinas	ECHO			0									267.77	760.79	0			2	0.3	1	1	-	LIBRE-343	MAC MFR-6787		BUF	0.59	4.7	0	0.4	20	0				Bodega Central Agrota	Jaher			1	Default		1	=	1				11	2	7	4	N	N	0			1000000000	0	1	0	0	0	0	0	0	0	1			11	8					1972	0	0	67.98		0	42956	43299	43313	36526	36526	36526	36528	1	0	1	0	0	0	0		N	FALSE		
AGROTA	Jaher.xlsm	43313	JAHER REGIONAL CDR. CUENCA	160609121919351		B-450R COMBO (AGMA0001)		DESMALEZADORA B-450R SHINDAIWA + COMBO + 2 AÑOS GARANTIA	DESMALEZADORAS 2T	AGROFORESTAL				DESMALEZADORAS	Maquinas	SHINDAIWA			0									342.32	848.63	0			2	0.3	1	1	-	LIBRE-343	MAC MFR-6787		BUF	0.55	5	0.9	0.5	7	0				Bodega Central Agrota	Jaher			1	Default		1	=	1				11	2	7	4	R	R	0			1000000000	2	0.8182	0	0	0	0	0	0	2	0.8182			9	8					1013	0	0	54.61		0	42956	43299	43313	36526	36526	36526	36528	0.534522484	0	0.133333333	0.866666667	0	0	0		N	FALSE		
AGROTA	Jaher.xlsm	43313	JAHER REGIONAL CDR. CUENCA	160610175157361		C-230 COMBO (AGMA0007)		DESMALEZADORA C230	DESMALEZADORAS 2T	AGROFORESTAL				DESMALEZADORAS	Maquinas	SHINDAIWA			0									228.74	496.8	0			2	0.3	1	1	-	LIBRE-343	MAC MFR-6787			0.18	2.8	0	1.4	30	0				Bodega Central Agrota	Jaher			1	Default		1	=	1				2	1	2	1	N	N	0			1000000000	0	1	0	0	0	0	0	0	0	1			2	2					268	0	0	43.27		0	42956	43299	43313	36526	36526	36526	36528	1	0	1	0	0	0	0		N	FALSE		
AGROTA	Jaher.xlsm	43313	JAHER REGIONAL CDR. CUENCA	170314155024511		EC-C270EMC (AGMA0030)		DESMALEZADORA C270 COMBO	DESMALEZADORAS 2T	AGROFORESTAL				DESMALEZADORAS	Maquinas	SHINDAIWA			0									266.42	509.51	0			2	0.3	1	1	-	LIBRE-343	MAC MFR-6787		RED BUF	0.46	8.2	0.5	0.5	0	0				Bodega Central Agrota	Jaher			1	Default		1	=	1				15	1	10	5	R	R	0			1000000000	1	0.9333	0	0	0	0	0	0	1	0.9333			14	12					972	0	0	33.69		0	42956	43299	43313	36526	36526	36526	36528	0	0	0	1	0	0	0		N	FALSE		
AGROTA	Jaher.xlsm	43313	JAHER REGIONAL CDR. CUENCA	160412124209348		SHIVA-EHOS10012		EXCAVADORA DE HOYOS CON MANGO DE ACERO	ACCESORIOS EQUIPOS MANUALES	AGROFORESTAL				ACCESORIOS	Accesorios	SHIVA			0									11.73	27.24	0			2	0.3	1	1	-	LIBRE-343	MAC MFR-6787		BUF	0.59	6.4	0	0.4	30	0				Bodega Central Agrota	Jaher			1	Default		1	=	1				15	2	10	5	N	N	0			4	0	1	0	0	0	0	0	0	0	1			15	12					78	0	0	48.82		0	42956	43299	43313	36526	36526	36526	36528	1	0	1	0	0	0	0		N	FALSE		
AGROTA	Jaher.xlsm	43313	JAHER REGIONAL CDR. CUENCA	170323161443127		DPW861800S (AGMA0037)		HIDROLIMPIADORA DUCATI DPW1800S 	HIDROLAVADORAS ELECTRICAS	INDUSTRIAL				HIDROLAVADORAS	Maquinas	DUCATI			0									102.47	189	0			2	0.3	1	1	-	LIBRE-343	MAC MFR-6787		RED BUF	0.46	8.2	0.5	0.5	0	0				Bodega Central Agrota	Jaher			1	Default		1	=	1				15	1	10	5	R	R	0			1000000000	1	0.9333	0	0	0	0	0	0	1	0.9333			14	12					346	0	0	31.18		0	42956	43299	43313	36526	36526	36526	36528	0	0	0	1	0	0	0		N	FALSE		
