EMPRESA	ARCHIVO	FECHA	BODEGA	CODIGO	CODIGO FUNCIONAL	CODIGO VINCULADO	CODIGO GENERICO	DESCRIPCION	GRUPO	LINEA	SUBLINEA	FAMILIA	SUBFAMILIA	CATEGORIA	TIPO	MARCA	MODELO	CAT MANAGEMENT	CAT PROPIA 1	CAT PROPIA 2	CAT PROPIA 3	CAT PROPIA 4	CAT PROPIA 5	Estatus	Clasificación	Responsable	CTV	PV	Precio Promoción	Inicio Promoción	Fin Promoción	Proveedor	Perfil	Horizonte	T Suministro	Frec Repos	GDB	Cam	Etapa	Nuevo Buff Ingles	Nuevo Buff Espanol	Nuevo Buff Sug	Comportamiento	Consumo	Buff Calc	Cobertura Buffer	Cobertura Inv Proy	Cobertura Ped Min	Días Desabastecimiento	Ventas Perdidas	Observaciones	Nuevo Buff Real	Posponer BUF	Posponer RED	Posponer GDB	Buff Min	Buff Max	PEDID Min	Redondeo Pedido Mínimo	PEDID Min Grupo	Unidad Empaque	Redondeo Unidad Empaque	Porc Aten	Impacto Faltante	Buff Act	Zona Amar	Zona Roja	Color	Color1	Ult Buffer	Buff Ant Estacion	Buff Estacional	Inv Proveed	Inv Fís Act	Estado Buffer	Tráns Act	Negociación	Producción	Embarcado	Comprom	Backorders	Inv Proy Act	Estado Buffer Proy	Ingresos	Egresos	Pedid Calc Auxiliar	PEDIDCalc	PEDID Prom	PEDID Real	Calendario Estacional	Acción Estacional	Etapa Estacional	T$D	I$D	Rentabilid	Rentabilidad Proy	Vel Efect	Servicio	Ult Cambio	Nuevo Inicio	Inicio Per	Fin Per	Ult Transfer Inicial	Ult Transfer Final	Var	Porcent Lleno	Rojo Acum	Negro	Rojo	Amarillo	Verde	Lila	Err Ped Grupo	Numero Fila	Borrar
Clínica Kennedy	Kennedy.xlsm	42782	Clínica Central	10-602		0	0	OPA TEST STRIPS TIRAS REACTIVAS ENVASE X	0	0	0	0	TIRAS REACTIVAS	0	0	METREX	0	0						0	0	0	0	0	0			Bodega ECU	Clientes	3	1	2	1		NUEVO					0	0	0	0	0	0	0									Default			=	1		0	0	0	G	G	0			1000000000	2	0	0	0	0	0	0	0	2	0	0	0	0	0	0					0	0	0	0		1	0	42761	42761	42782			1.712697677	0.55	0	0.4	0	0	0	0.15		1	
Clínica Kennedy	Kennedy.xlsm	42782	Clínica Central	10101R		0	0	Sistema de drenaje toracico DRENTECH ANE	0	0	0	0	CAMPANA DE TRES CAMARAS HUMEDO	0	0	REDAX	0	0						0	0	0	36.66	0	0			Bodega ECU	Clientes	3	1	2	1		NUEVO					0	0	0	0	0	0	0									Default			=	1		0	0	0	G	G	0			1000000000	8	0	0	0	0	0	0	0	8	0	0	0	0	0	0					0	0	0	0		1	0	42761	42761	42782			1.712697677	0.55	0	0.4	0	0	0	0.15		2	
Clínica Kennedy	Kennedy.xlsm	42782	Clínica Central	10105		0	0	COMPACT - Chest drain three chambers Rec	0	0	0	0	CAMPANA DE TRES CAMARAS HUMEDO	0	0	REDAX	0	0						0	0	0	25.14	58.87	0			Bodega ECU	Clientes	3	1	2	1		NUEVO					0	0	0	0	0	0	0									Default			=	1		0	0	0	G	G	0			1000000000	2	0	0	0	0	0	0	0	2	0	0	0	0	0	0					0	0	0	0		1	0	42761	42761	42782			1.712697677	0.55	0	0.4	0	0	0	0.15		3	
Clínica Kennedy	Kennedy.xlsm	42782	Clínica Central	10110		0	0	VARIANT - Chest drain three chambers Rec	0	0	0	0	CAMPANA DE TRES CAMARAS SECO	0	0	REDAX	0	0						0	0	0	36.84	76.91	0			Bodega ECU	Clientes	3	1	2	1		NUEVO					0	0	0	0	0	0	0									Default			=	1		0	0	0	G	G	0			1000000000	100	0	0	0	0	0	0	0	100	0	0	0	0	0	0					0	0	0	0		1	0	42761	42761	42782			1.712697677	0.55	0	0.4	0	0	0	0.15		4	
Clínica Kennedy	Kennedy.xlsm	42782	Clínica Central	10803		0	0	"""UNICO - Centesis Set, de-connectable ver"""	0	0	0	0	UNICO	0	0	REDAX	0	0						0	0	0	56.6	120.35	0			Bodega ECU	Clientes	3	1	2	1		NUEVO					0	0	0	0	0	0	0									Default			=	1		0	0	0	G	G	0			1000000000	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0					0	0	0	0		1	0	42761	42761	42782			1.712697677	0.55	0	0.4	0	0	0	0.15		5	
Clínica Kennedy	Kennedy.xlsm	42782	Clínica Central	1497770																							0	0	0			Bodega ECU	Clientes	3	1	2	1		NUEVO					0	0	0	0	0	0	0									Default			=	1		0	0	0	G	G	0			1000000000	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0					0	0	0	0		1	0	42761	42761	42782			1.712697677	0.55	0	0.4	0	0	0	0.15		6	
Clínica Kennedy	Kennedy.xlsm	42782	Clínica Central	30196056																							0	0	0			Bodega ECU	Clientes	3	1	2	1		NUEVO					0	0	0	0	0	0	0									Default			=	1		0	0	0	G	G	0			1000000000	6	0	0	0	0	0	0	0	6	0	0	0	0	0	0					0	0	0	0		1	0	42761	42761	42782			1.712697677	0.55	0	0.4	0	0	0	0.15		7	
Clínica Kennedy	Kennedy.xlsm	42782	Clínica Central	30196241																							0	0	0			Bodega ECU	Clientes	3	1	2	1		NUEVO					0	0	0	0	0	0	0									Default			=	1		0	0	0	G	G	0			1000000000	9	0	0	0	0	0	0	0	9	0	0	0	0	0	0					0	0	0	0		1	0	42761	42761	42782			1.712697677	0.55	0	0.4	0	0	0	0.15		8	
Clínica Kennedy	Kennedy.xlsm	42782	Clínica Central	30196250																							0	0	0			Bodega ECU	Clientes	3	1	2	1		NUEVO					0	0	0	0	0	0	0									Default			=	1		0	0	0	G	G	0			1000000000	4	0	0	0	0	0	0	0	4	0	0	0	0	0	0					0	0	0	0		1	0	42761	42761	42782			1.712697677	0.55	0	0.4	0	0	0	0.15		9	
Clínica Kennedy	Kennedy.xlsm	42782	Clínica Central	30197082																							0	0	0			Bodega ECU	Clientes	3	1	2	1		NUEVO					0	0	0	0	0	0	0									Default			=	1		0	0	0	G	G	0			1000000000	6	0	0	0	0	0	0	0	6	0	0	0	0	0	0					0	0	0	0		1	0	42761	42761	42782			1.712697677	0.55	0	0.4	0	0	0	0.15		10	
