EMPRESA	ARCHIVO	FECHA	BODEGA	CODIGO	CODIGO FUNCIONAL	CODIGO VINCULADO	CODIGO GENERICO	DESCRIPCION	GRUPO	LINEA	SUBLINEA	FAMILIA	SUBFAMILIA	CATEGORIA	TIPO	MARCA	MODELO	CAT MANAGEMENT	CAT PROPIA 1	CAT PROPIA 2	CAT PROPIA 3	CAT PROPIA 4	CAT PROPIA 5	Estatus	Clasificación	Responsable	CTV	PV	Precio Promoción	Inicio Promoción	Fin Promoción	Proveedor	Perfil	Horizonte	T Suministro	Frec Repos	GDB	Cam	Etapa	Nuevo Buff Ingles	Nuevo Buff Espanol	Nuevo Buff Sug	Comportamiento	Consumo	Buff Calc	Cobertura Buffer	Cobertura Inv Proy	Cobertura Ped Min	Días Desabastecimiento	Ventas Perdidas	Observaciones	Nuevo Buff Real	Posponer BUF	Posponer RED	Posponer GDB	Buff Min	Buff Max	PEDID Min	Redondeo Pedido Mínimo	PEDID Min Grupo	Unidad Empaque	Redondeo Unidad Empaque	Porc Aten	Impacto Faltante	Buff Act	Zona Amar	Zona Roja	Color	Color1	Ult Buffer	Buff Ant Estacion	Buff Estacional	Inv Proveed	Inv Fís Act	Estado Buffer	Tráns Act	Negociación	Producción	Embarcado	Comprom	Backorders	Inv Proy Act	Estado Buffer Proy	Ingresos	Egresos	Pedid Calc Auxiliar	PEDIDCalc	PEDID Prom	PEDID Real	Calendario Estacional	Acción Estacional	Etapa Estacional	T$D	I$D	Rentabilid	Rentabilidad Proy	Vel Efect	Servicio	Ult Cambio	Nuevo Inicio	Inicio Per	Fin Per	Ult Transfer Inicial	Ult Transfer Final	Var	Porcent Lleno	Rojo Acum	Negro	Rojo	Amarillo	Verde	Lila	Err Ped Grupo	Numero Fila	Borrar
Luis Vern	Luis Vernaza.xlsm	42786	Luis Vernaza Central	83AS0724N-00		0	0	"""Aortenstent E-XL, Endoprotesis Aortica,"""	0	0	0	0	Exl	0	0	JOTEC	0	0						0	0	0	5075.71	2	0			Bodega ECU	Clientes	3	1	2	1		NUEVO					0	0	0	0	0	0	0									Default			=	1		0	0	0	G	G	0			1000000000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					0	0	0	0		1	0	42765	42765	42786			1	0.444444444	0	0.444444444	0	0	0	0		1	
Luis Vern	Luis Vernaza.xlsm	42786	Luis Vernaza Central	74XX3024N35		0	0	E asy Plus introductor 30 x 24  6 7	0	0	0	0	Easy Plus	0	0	JOTEC	0	0						0	0	0	1	2	0			Bodega ECU	Clientes	3	1	2	1		NUEVO					0	0	0	0	0	0	0									Default			=	1		0	0	0	G	G	0			1000000000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					0	0	0	0		1	0	42765	42765	42786			1	0.444444444	0	0.444444444	0	0	0	0		2	
Luis Vern	Luis Vernaza.xlsm	42786	Luis Vernaza Central	74XX3020N35		0	0	E asy Plus introductor 30 x 20  6 7	0	0	0	0	Easy Plus	0	0	JOTEC	0	0						0	0	0	1	2	0			Bodega ECU	Clientes	3	1	2	1		NUEVO					0	0	0	0	0	0	0									Default			=	1		0	0	0	G	G	0			1000000000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					0	0	0	0		1	0	42765	42765	42786			1	0.444444444	0	0.444444444	0	0	0	0		3	
Luis Vern	Luis Vernaza.xlsm	42786	Luis Vernaza Central	74XX3022N35		0	0	E asy Plus introductor 30x22  7 3	0	0	0	0	Easy Plus	0	0	JOTEC	0	0						0	0	0	1	2	0			Bodega ECU	Clientes	3	1	2	1		NUEVO					0	0	0	0	0	0	0									Default			=	1		0	0	0	G	G	0			1000000000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					0	0	0	0		1	0	42765	42765	42786			1	0.444444444	0	0.444444444	0	0	0	0		4	
Luis Vern	Luis Vernaza.xlsm	42786	Luis Vernaza Central	81PL3005		0	0	E njoy stent periferico130x5x30	0	0	0	0	Enjoy	0	0	JOTEC	0	0						0	0	0	0	2783.33	0			Bodega ECU	Clientes	3	1	2	1		NUEVO					0	0	0	0	0	0	0									Default			=	1		0	0	0	G	G	0			1000000000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					0	0	0	0		1	0	42765	42765	42786			1	0.444444444	0	0.444444444	0	0	0	0		5	
Luis Vern	Luis Vernaza.xlsm	42786	Luis Vernaza Central	81PL4005		0	0	E njoy stent periferico 130x5x40	0	0	0	0	Enjoy	0	0	JOTEC	0	0						0	0	0	0	2783.33	0			Bodega ECU	Clientes	3	1	2	1		NUEVO					0	0	0	0	0	0	0									Default			=	1		0	0	0	G	G	0			1000000000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					0	0	0	0		1	0	42765	42765	42786			1	0.444444444	0	0.444444444	0	0	0	0		6	
Luis Vern	Luis Vernaza.xlsm	42786	Luis Vernaza Central	81PL4006		0	0	E njoy stent periferico 130x6x40	0	0	0	0	Enjoy	0	0	JOTEC	0	0						0	0	0	496.53	2783.33	0			Bodega ECU	Clientes	3	1	2	1		NUEVO					0	0	0	0	0	0	0									Default			=	1		0	0	0	G	G	0			1000000000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					0	0	0	0		1	0	42765	42765	42786			1	0.444444444	0	0.444444444	0	0	0	0		7	
Luis Vern	Luis Vernaza.xlsm	42786	Luis Vernaza Central	81PL4007		0	0	E njoy stent periferico 130x7x40	0	0	0	0	Enjoy	0	0	JOTEC	0	0						0	0	0	0	2783.33	0			Bodega ECU	Clientes	3	1	2	1		NUEVO					0	0	0	0	0	0	0									Default			=	1		0	0	0	G	G	0			1000000000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					0	0	0	0		1	0	42765	42765	42786			1	0.444444444	0	0.444444444	0	0	0	0		8	
Luis Vern	Luis Vernaza.xlsm	42786	Luis Vernaza Central	81PL4008		0	0	E njoy stent periferico 130x8x40	0	0	0	0	Enjoy	0	0	JOTEC	0	0						0	0	0	0	2783.33	0			Bodega ECU	Clientes	3	1	2	1		NUEVO					0	0	0	0	0	0	0									Default			=	1		0	0	0	G	G	0			1000000000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					0	0	0	0		1	0	42765	42765	42786			1	0.444444444	0	0.444444444	0	0	0	0		9	
Luis Vern	Luis Vernaza.xlsm	42786	Luis Vernaza Central	81PS6010		0	0	E njoy stent periferico 80x10x60	0	0	0	0	Enjoy	0	0	JOTEC	0	0						0	0	0	0	2783.33	0			Bodega ECU	Clientes	3	1	2	1		NUEVO					0	0	0	0	0	0	0									Default			=	1		0	0	0	G	G	0			1000000000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					0	0	0	0		1	0	42765	42765	42786			1	0.444444444	0	0.444444444	0	0	0	0		10	
Luis Vern	Luis Vernaza.xlsm	42786	Luis Vernaza Central	81PS3005		0	0	E njoy stent periferico 80x5x30	0	0	0	0	Enjoy	0	0	JOTEC	0	0						0	0	0	0	2783.33	0			Bodega ECU	Clientes	3	1	2	1		NUEVO					0	0	0	0	0	0	0									Default			=	1		0	0	0	G	G	0			1000000000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					0	0	0	0		1	0	42765	42765	42786			1	0.444444444	0	0.444444444	0	0	0	0		11	
Luis Vern	Luis Vernaza.xlsm	42786	Luis Vernaza Central	81PS4006		0	0	E njoy stent periferico 80x6x40	0	0	0	0	Enjoy	0	0	JOTEC	0	0						0	0	0	588.17	2783.33	0			Bodega ECU	Clientes	3	1	2	1		NUEVO					0	0	0	0	0	0	0									Default			=	1		0	0	0	G	G	0			1000000000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					0	0	0	0		1	0	42765	42765	42786			1	0.444444444	0	0.444444444	0	0	0	0		12	
Luis Vern	Luis Vernaza.xlsm	42786	Luis Vernaza Central	81PS4007		0	0	E njoy stent periferico 80x7x40	0	0	0	0	Enjoy	0	0	JOTEC	0	0						0	0	0	523.55	2783.33	0			Bodega ECU	Clientes	3	1	2	1		NUEVO					0	0	0	0	0	0	0									Default			=	1		0	0	0	G	G	0			1000000000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					0	0	0	0		1	0	42765	42765	42786			1	0.444444444	0	0.444444444	0	0	0	0		13	
Luis Vern	Luis Vernaza.xlsm	42786	Luis Vernaza Central	81PS4009		0	0	E njoy stent periferico 80x8x40	0	0	0	0	Enjoy	0	0	JOTEC	0	0						0	0	0	570.2	2783.33	0			Bodega ECU	Clientes	3	1	2	1		NUEVO					0	0	0	0	0	0	0									Default			=	1		0	0	0	G	G	0			1000000000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					0	0	0	0		1	0	42765	42765	42786			1	0.444444444	0	0.444444444	0	0	0	0		14	
Luis Vern	Luis Vernaza.xlsm	42786	Luis Vernaza Central	81PS6008		0	0	E njoy stent periferico 80x8x60	0	0	0	0	Enjoy	0	0	JOTEC	0	0						0	0	0	606.14	2783.33	0			Bodega ECU	Clientes	3	1	2	1		NUEVO					0	0	0	0	0	0	0									Default			=	1		0	0	0	G	G	0			1000000000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					0	0	0	0		1	0	42765	42765	42786			1	0.444444444	0	0.444444444	0	0	0	0		15	
Luis Vern	Luis Vernaza.xlsm	42786	Luis Vernaza Central	81PS4005		0	0	E njoy stent periferico 85x5x40	0	0	0	0	Enjoy	0	0	JOTEC	0	0						0	0	0	476.9	2783.33	0			Bodega ECU	Clientes	3	1	2	1		NUEVO					0	0	0	0	0	0	0									Default			=	1		0	0	0	G	G	0			1000000000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					0	0	0	0		1	0	42765	42765	42786			1	0.444444444	0	0.444444444	0	0	0	0		16	
Luis Vern	Luis Vernaza.xlsm	42786	Luis Vernaza Central	81PL6010		0	0	E njoy stent periferico 130x10x60	0	0	0	0	Enjoy	0	0	JOTEC	0	0						0	0	0	490.41	2	0			Bodega ECU	Clientes	3	1	2	1		NUEVO					0	0	0	0	0	0	0									Default			=	1		0	0	0	G	G	0			1000000000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					0	0	0	0		1	0	42765	42765	42786			1	0.444444444	0	0.444444444	0	0	0	0		17	
Luis Vern	Luis Vernaza.xlsm	42786	Luis Vernaza Central	73AE2626L05		0	0	E vita Abdominal AE 26mm 26mm 50mm	0	0	0	0	Evita Abdominal	0	0	JOTEC	0	0						0	0	0	3938.5	2	0			Bodega ECU	Clientes	3	1	2	1		NUEVO					0	0	0	0	0	0	0									Default			=	1		0	0	0	G	G	0			1000000000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					0	0	0	0		1	0	42765	42765	42786			1	0.444444444	0	0.444444444	0	0	0	0		18	
Luis Vern	Luis Vernaza.xlsm	42786	Luis Vernaza Central	73AE2828L05		0	0	E vita Abdominal AE 28mm 28mm 50mm	0	0	0	0	Evita Abdominal	0	0	JOTEC	0	0						0	0	0	2642.44	2	0			Bodega ECU	Clientes	3	1	2	1		NUEVO					0	0	0	0	0	0	0									Default			=	1		0	0	0	G	G	0			1000000000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					0	0	0	0		1	0	42765	42765	42786			1	0.444444444	0	0.444444444	0	0	0	0		19	
Luis Vern	Luis Vernaza.xlsm	42786	Luis Vernaza Central	73AE3030L05		0	0	E vita Abdominal AE 30mm 30mm 50mm	0	0	0	0	Evita Abdominal	0	0	JOTEC	0	0						0	0	0	2436.54	2	0			Bodega ECU	Clientes	3	1	2	1		NUEVO					0	0	0	0	0	0	0									Default			=	1		0	0	0	G	G	0			1000000000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					0	0	0	0		1	0	42765	42765	42786			1	0.444444444	0	0.444444444	0	0	0	0		20	
Luis Vern	Luis Vernaza.xlsm	42786	Luis Vernaza Central	75CL1612L10		0	0	E VITA ABDOMINAL CL 16MM 12MM 10MM	0	0	0	0	Evita Abdominal	0	0	JOTEC	0	0						0	0	0	3171	2	0			Bodega ECU	Clientes	3	1	2	1		NUEVO					0	0	0	0	0	0	0									Default			=	1		0	0	0	G	G	0			1000000000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					0	0	0	0		1	0	42765	42765	42786			1	0.444444444	0	0.444444444	0	0	0	0		21	
Luis Vern	Luis Vernaza.xlsm	42786	Luis Vernaza Central	75CL1612L05		0	0	E vita Abdominal CL 16mm 12mm 50mm	0	0	0	0	Evita Abdominal	0	0	JOTEC	0	0						0	0	0	2858.02	2	0			Bodega ECU	Clientes	3	1	2	1		NUEVO					0	0	0	0	0	0	0									Default			=	1		0	0	0	G	G	0			1000000000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					0	0	0	0		1	0	42765	42765	42786			1	0.444444444	0	0.444444444	0	0	0	0		22	
Luis Vern	Luis Vernaza.xlsm	42786	Luis Vernaza Central	75CL1612L07		0	0	E vita Abdominal CL 16mm 12mm 70mm	0	0	0	0	Evita Abdominal	0	0	JOTEC	0	0						0	0	0	2452.15	2	0			Bodega ECU	Clientes	3	1	2	1		NUEVO					0	0	0	0	0	0	0									Default			=	1		0	0	0	G	G	0			1000000000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					0	0	0	0		1	0	42765	42765	42786			1	0.444444444	0	0.444444444	0	0	0	0		23	
Luis Vern	Luis Vernaza.xlsm	42786	Luis Vernaza Central	75CL1614L10		0	0	E vita Abdominal CL 16mm 14mm 100mm	0	0	0	0	Evita Abdominal	0	0	JOTEC	0	0						0	0	0	2673.25	2	0			Bodega ECU	Clientes	3	1	2	1		NUEVO					0	0	0	0	0	0	0									Default			=	1		0	0	0	G	G	0			1000000000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					0	0	0	0		1	0	42765	42765	42786			1	0.444444444	0	0.444444444	0	0	0	0		24	
Luis Vern	Luis Vernaza.xlsm	42786	Luis Vernaza Central	75CL1614L05		0	0	E vita Abdominal CL 16mm 14mm 50mm	0	0	0	0	Evita Abdominal	0	0	JOTEC	0	0						0	0	0	2452.15	2	0			Bodega ECU	Clientes	3	1	2	1		NUEVO					0	0	0	0	0	0	0									Default			=	1		0	0	0	G	G	0			1000000000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					0	0	0	0		1	0	42765	42765	42786			1	0.444444444	0	0.444444444	0	0	0	0		25	
