EMPRESA	ARCHIVO	FECHA	BODEGA	CODIGO	CODIGO FUNCIONAL	CODIGO VINCULADO	CODIGO GENERICO	DESCRIPCION	GRUPO	LINEA	SUBLINEA	FAMILIA	SUBFAMILIA	CATEGORIA	TIPO	MARCA	MODELO	CAT MANAGEMENT	NUEVO	CAT PROPIA 1	CAT PROPIA 2	CAT PROPIA 3	CAT PROPIA 4	CAT PROPIA 5	Estatus	Clasificación	Responsable	CTV	PV	Precio Promoción	Inicio Promoción	Fin Promoción	Horizonte	T Suministro	Frec Repos	GDB	Cam	Etapa	Estado Reposiciones	Nuevo Buff Sug	Comportamiento	Consumo	Cobertura Buffer	Cobertura Inv Proy	Cobertura Ped Min	Días Desabastecimiento	Ventas Perdidas	Posponer BUF	Posponer RED	Posponer GDB	Proveedor	Perfil	Buff Min	Buff Max	PEDID Min	Redondeo Pedido Mínimo	PEDID Min Grupo	Unidad Empaque	Redondeo Unidad Empaque	Porc Aten	Impacto Faltante	Observaciones	Nuevo Buff Real	Buff Act	Buff Calc	Zona Amar	Zona Roja	Color	Color1	Ult Buffer	Buff Ant Estacion	Buff Estacional	Inv Proveed	Inv Fís Act	Estado Buffer	Tráns Act	Negociación	Producción	Embarcado	Comprom	Backorders	Inv Proy Act	Estado Buffer Proy	Ingresos	Egresos	PEDIDCalc	PEDID Prom	PEDID Real	Calendario Estacional	Acción Estacional	Etapa Estacional	T$D	I$D	Rentabilid	Rentabilidad Proy	Vel Efect	Servicio	Ult Cambio	Inicio Per	Fin Per	Ult Transfer Inicial	Ult Transfer Final	Fecha Nuevo Pedido	Fecha Esperada Arribo	Var	Rojo Acum	Negro	Rojo	Amarillo	Verde	Lila	Err Ped Grupo	Color Repos Frec	Omisiones GDB	Numero Fila	Borrar
AGROTA	Maquinas ECHO - SHINDAIWA.xlsm	43251	Bodega Central Agrota	150220102453393		EC-CS-620P-60LA	0	MOTOSIERRA CS-620P-60 CON BARRA Y CADENA	MOTOSIERRAS 2T	AGROFORESTAL	0	0	0	MOTOSIERRAS	0	ECHO	0	0	0						0	0	0	371.02	793	0	0	0	10	8	2	1	-	SUSP-30	MFR-69			5.45	3.211009174	1.28440367	0.04587156	0	0				Echo	USA ECHO			1	Default		1	=	1				70	82	47	23	A	A	90			1000000000	28	0.6	0	0	0	0	0	0	28	0.6			42	14	0				0	0	0	5.459285214		1	43211	43211	43283	43168	43179	43182	43224	0.112946165	0	0	0	0.64516129	0	0		N	FALSE		
AGROTA	Maquinas ECHO - SHINDAIWA.xlsm	43251	Bodega Central Agrota	100913130112920		EC-ES726	0	BOMBA DE FUMIGACION A MOTOR ES726	PULVERIZADORA 2T	AGROFORESTAL	0	0	0	FUMIGACION	0	SHINDAIWA	0	0	0						0	0	0	367.53	762.61	0	0	0	10	8	2	1	-	LIBRE-94	MAC MFR-42			8.59	3.492433062	0.378346915	0.029103609	0	0				Echo	USA ECHO			1	Default		1	=	1				120	129	80	40	R	R	100			1000000000	9	0.93	4	0	0	0	0	0	13	0.89			107	24	0				12247.48	0	0	5.159807363		0.13	43087	43181	43251	43195	43179	43209	43251	0.523972592	0	0	0.415384615	0.323076923	0.230769231	0		N	FALSE		
AGROTA	Maquinas ECHO - SHINDAIWA.xlsm	43251	Bodega Central Agrota	10000000973		EC-B530INTL	0	DESMALEZADORA B530	DESMALEZADORAS 2T	AGROFORESTAL	0	0	0	DESMALEZADORAS	0	SHINDAIWA	0	0	0						0	0	0	356.56	864.54	0	0	0	10	8	2	1	-	LIBRE-1086	MAC MFR-42		BUF	0	0	0	0	8	0				Echo	USA ECHO			1	Default		1	=	1				100	0	67	33	N	A	138			1000000000	0	1	34	0	0	0	0	4	38	0.62			62	20	20				16763.34	0	0	6.838411488		0.5	42095	43181	43251	43195	43179	43209	43251	1.079918986	0	0.123076923	0.753846154	0.092307692	0	0		N	FALSE		
AGROTA	Maquinas ECHO - SHINDAIWA.xlsm	43251	Bodega Central Agrota	150420094049352		EC-HCA-266LA	0	CORTASETOS ARTICULADO HCA-266LA	CORTASETOS 2T	AGROFORESTAL	0	0	0	CORTASETOS	0	ECHO	0	0	0						0	0	0	350.96	759	0	0	0	10	8	2	1		LIBRE-286				0	0	0	0	0	0				Echo	USA ECHO			1	Default		1	=	1				0	0	0	0	G	G	2			1000000000	0	0	2	0	0	0	0	0	2	0			0	0	0				0	0	0	0		0	42895	43181	43251	43180	43168	43194	43236	2.581822312	0	0.830769231	0	0	0	0.138461538			FALSE		
AGROTA	Maquinas ECHO - SHINDAIWA.xlsm	43251	Bodega Central Agrota	141017160806951		EC-PPT-266LA	0	PODADORA DE EXTENSION PPT-266	PODADORAS DE ALTURA 2T 	AGROFORESTAL	0	0	0	PODADORAS DE ALTURA 	0	ECHO	0	0	0						0	0	0	342.65	709	0	0	0	10	8	2	1	-	LIBRE-545	MAC MFR-42			1.93	3.886010363	1.424870466	0.129533679	0	0				Echo	USA ECHO			1	Default		1	=	1				30	29	20	10	R	A	23			1000000000	3	0.9	8	0	0	0	0	0	11	0.63			19	6	0				2564.45	0	0	5.132000584		0.5	42636	43181	43251	43195	43179	43209	43251	0.539234978	0	0	0.646153846	0.323076923	0	0		N	FALSE		
AGROTA	Maquinas ECHO - SHINDAIWA.xlsm	43251	Bodega Central Agrota	100702152835923		EC-SHP-800-2	0	BOMBA DE FUMIGACION SHP-800-2	PULVERIZADORA 2T	AGROFORESTAL	0	0	0	FUMIGACION	0	ECHO	0	0	0						0	0	0	340.13	699	0	0	0	10	8	2	1		LIBRE-56				0	0	0	0	0	0				Echo	USA ECHO			2	Default		1	=	1				0	0	0	0	G	G	5			1000000000	0	0	0	0	0	0	0	0	0	0			0	0	0				0	0	0	0		0	43125	43181	43251	43020	43069	43034	43076	0.292454803	0	0.046153846	0	0	0	0.923076923			FALSE		
AGROTA	Maquinas ECHO - SHINDAIWA.xlsm	43251	Bodega Central Agrota	10000000972		EC-B450R	0	DESMALEZADORA B450R (B450EMC)	DESMALEZADORAS 2T	AGROFORESTAL	0	0	0	DESMALEZADORAS	0	SHINDAIWA	0	0	0						0	0	0	305.43	802.88	0	0	0	10	8	2	1	-	LIBRE-211	MAC MFR-42			40.96	3.967285156	1.104736328	0.006103516	0	0				Echo	USA ECHO			1	Default		2	=	1				650	615	432	215	R	R	500			1000000000	10	0.98	171	0	0	0	0	0	181	0.72			470	130	60				101977.25	0	0	7.817699637		0.4	42970	43181	43251	43195	43179	43209	43251	0.548455166	0	0	0.769230769	0.2	0	0		N	FALSE		
AGROTA	Maquinas ECHO - SHINDAIWA.xlsm	43251	Bodega Central Agrota	10000000975		EC-BP35INTL	0	DESMALEZADORA BP35	DESMALEZADORA BATERIA	AGROFORESTAL	0	0	0	DESMALEZADORAS	0	SHINDAIWA	0	0	0						0	0	0	350.4	640.62	0	0	0	10	8	2	1		LIBRE-189				0	0	0	0	0	0				Echo	USA ECHO			1	Default		1	=	1				0	0	0	0	G	G	7			1000000000	0	0	0	0	0	0	0	0	0	0			0	0	0				0	0	0	0		0	42992	43181	43251	42865	42915	42879	42921	1	0	0.969230769	0	0	0	0			FALSE		
AGROTA	Maquinas ECHO - SHINDAIWA.xlsm	43251	Bodega Central Agrota	10000001186		EC-DM-6110-13EUSTD	0	"NEBULIZADORA, PULVERIZADORA 13LITROS"	NEBULIZADORA 2T	AGROFORESTAL	0	0	0	FUMIGACION	0	ECHO	0	0	0						0	0	0	377.58	614	0	0	0	10	8	2	1		LIBRE-545				0	0	0	0	0	0				Echo	USA ECHO			1	Default		1	=	1				0	0	0	0	G	G	6			1000000000	0	0	0	0	0	0	0	0	0	0			0	0	0				0	0	0	0		0	42636	43181	43251	0	0			1.127014326	0	0.538461538	0	0	0	0.430769231			FALSE		
AGROTA	Maquinas ECHO - SHINDAIWA.xlsm	43251	Bodega Central Agrota	140311175512493		EC-PB-755/LA	0	SOPLADORA PB755	SOPLADORAS 2T	AGROFORESTAL	0	0	0	SOPLADORAS	0	ECHO	0	0	0						0	0	0	319.6	626.01	0	0	0	10	8	2	1	-	LIBRE-350	MAC		BUF	0	0	0	0	13	0				Echo	USA ECHO			1	Default		1	=	1				3	0	2	1	N	V	5			1000000000	0	1	3	0	0	0	0	0	3	0			0	1	2				306.41	0	0	4.601902378		0	42831	43181	43251	43180	43026	43194	43236	1.543110155	0	0.630769231	0.215384615	0.107692308	0.015384615	0			FALSE		
