EMPRESA	ARCHIVO	FECHA	BODEGA	CODIGO	CODIGO FUNCIONAL	CODIGO VINCULADO	CODIGO GENERICO	DESCRIPCION	GRUPO	LINEA	SUBLINEA	FAMILIA	SUBFAMILIA	CATEGORIA	TIPO	MARCA	MODELO	CAT MANAGEMENT	NUEVO	CAT PROPIA 1	CAT PROPIA 2	CAT PROPIA 3	CAT PROPIA 4	CAT PROPIA 5	Estatus	Clasificación	Responsable	CTV	PV	Precio Promoción	Inicio Promoción	Fin Promoción	Horizonte	T Suministro	Frec Repos	GDB	Cam	Etapa	Estado Reposiciones	Nuevo Buff Sug	Comportamiento	Consumo	Cobertura Buffer	Cobertura Inv Proy	Cobertura Ped Min	Días Desabastecimiento	Ventas Perdidas	Posponer BUF	Posponer RED	Posponer GDB	Proveedor	Perfil	Buff Min	Buff Max	PEDID Min	Redondeo Pedido Mínimo	PEDID Min Grupo	Unidad Empaque	Redondeo Unidad Empaque	Porc Aten	Impacto Faltante	Observaciones	Nuevo Buff Real	Buff Act	Buff Calc	Zona Amar	Zona Roja	Color	Color1	Ult Buffer	Buff Ant Estacion	Buff Estacional	Inv Proveed	Inv Fís Act	Estado Buffer	Tráns Act	Negociación	Producción	Embarcado	Comprom	Backorders	Inv Proy Act	Estado Buffer Proy	Ingresos	Egresos	PEDIDCalc	PEDID Prom	PEDID Real	Calendario Estacional	Acción Estacional	Etapa Estacional	T$D	I$D	Rentabilid	Rentabilidad Proy	Vel Efect	Servicio	Ult Cambio	Inicio Per	Fin Per	Ult Transfer Inicial	Ult Transfer Final	Fecha Nuevo Pedido	Fecha Esperada Arribo	Var	Rojo Acum	Negro	Rojo	Amarillo	Verde	Lila	Err Ped Grupo	Color Repos Frec	Omisiones GDB	Numero Fila	Borrar
MOTORALMOR	ORJF.xlsm	43384	BP-MATRIZ	01.044.0001				BAUL POSTERIOR CON REFLECTIVO ROJO 28 LITROS B-01 - MOXAL - CHINA	ACCESORIOS DE MOTOCICLETA	ACCESORIOS	BAUL TRASERO					MOXAL	B-01		0						AF		ORJF	14.79	24.5	0	36526	36526	12	17	8	1	+-	LIBRE-996	OK	745		23.02	6.1	0.9	0	0	0		42334	43352	1738 - 	1738 - T17 F8			1	Clasificación		1	=	1				560	864	372	185	R	R	700			1000000000	80	0.8571	0	0	0	0	0	0	80	0.8571			480	179					1020	0	0	1.26		1	42304	43300	43384	43319	43342	43375	43438	1.229847997	10267	0.546666667	0.386666667	0	0	0		N	FALSE		
MOTORALMOR	ORJF.xlsm	43384	BP-MATRIZ	01.044.0002				BAUL POSTERIOR CON REFLECTIVO ROJO 48 LITROS B-02 - MOXAL - CHINA	ACCESORIOS DE MOTOCICLETA	ACCESORIOS	BAUL TRASERO					MOXAL	B-02		0						BF		ORJF	17.72	33	0	36526	36526	12	17	8	1	+-	LIBRE-391	OK	354		6.79	9.8	1.6	0	0	0	43280		43352	1738 - 	1738 - T17 F8			1	Clasificación		1	=	1				266	255	177	88	R	R	200			1000000000	44	0.8346	0	0	0	0	0	0	44	0.8346			222	85					672	0	0	1.66		1	42909	43300	43384	43319	43342	43375	43438	1.330489435	4256	0.546666667	0.266666667	0.12	0	0		N	FALSE		
MOTORALMOR	ORJF.xlsm	43384	BP-MATRIZ	01.044.0003				BAUL POSTERIOR CON REFLECTIVO BLANCO 48LT B-02 - MOXAL - CHINA	ACCESORIOS DE MOTOCICLETA	ACCESORIOS	BAUL TRASERO					MOXAL	B-02		0						CM		ORJF	19.46	29.7	0	36526	36526	12	17	8	1		SUSP-19				0.04	0	0	6.3	0	0			43352	1738 - 	1738 - T17 F8			1	Clasificación		1	=	1				0	2	0	0	G	G	20			1000000000	0	0	0	0	0	0	0	0	0	0			0	0					0	0	0	0		0	43319	43319	43403	43319	43342	43375	43438	1	0	0.75	0	0	0	0			FALSE		
MOTORALMOR	ORJF.xlsm	43384	BP-MATRIZ	01.044.0005				BAUL POSTERIOR CON REFLECTIVO ROJO 24LT B-03  B-03 - CR1 - CHINA	ACCESORIOS DE MOTOCICLETA	ACCESORIOS	BAUL TRASERO					CR1	B-03		0						BM		ORJF	11.07	18.75	0	36526	36526	12	17	8	1	-	SUSP-21	OK			8.07	12.4	10.9	0	0	0				1738 - 	1738 - T17 F8			1	Clasificación		1	=	1				400	303	266	132	V	V	200			1000000000	351	0.1225	0	0	0	0	0	0	351	0.1225			49	128					0	0	0	1.33		0	43321	43321	43405	36526	36526	36526	36645	0.920628145	0	0.328767123	0	0	0.397260274	0		N	FALSE		
MOTORALMOR	ORJF.xlsm	43384	BP-MATRIZ	01.044.0006				REPUESTO PLASTICO COLOR ROJO PARA BAUL B-01 SIN DEFINIR - MOXAL - CHINA	ACCESORIOS DE MOTOCICLETA	ACCESORIOS	BAUL TRASERO					MOXAL	SIN DEFINIR		0						CS		ORJF	1.03	1.6	0	36526	36526	12	17	8	1		SUSP-19				0.04	0	587.5	6.3	0	0				1738 - 	1738 - T17 F8			1	Clasificación		1	=	1				0	2	0	0	G	G	100			1000000000	94	0	0	0	0	0	0	0	94	0			0	0					0	0	0	0		0	43319	43319	43403	43319	43342	43375	43438	0	0	0	0	0	0	0.75			FALSE		
MOTORALMOR	ORJF.xlsm	43384	BP-MATRIZ	01.044.0007				REPUESTO PLASTICO COLOR ROJO PARA BAUL B-02 SIN DEFINIR - MOXAL - CHINA	ACCESORIOS DE MOTOCICLETA	ACCESORIOS	BAUL TRASERO					MOXAL	SIN DEFINIR		0						CS		ORJF	2.2	3.43	0	36526	36526	12	17	8	1		SUSP-19				0	0	0	0	0	0				1738 - 	1738 - T17 F8			1	Clasificación		1	=	1				0	0	0	0	G	G	70			1000000000	70	0	0	0	0	0	0	0	70	0			0	0					0	0	0	0		0	43319	43319	43403	36526	36526	36526	36645	0	0	0	0	0	0	0.75			FALSE		
MOTORALMOR	ORJF.xlsm	43384	BP-MATRIZ	01.044.0008				REPUESTO PLASTICO COLOR BLANCO PARA BAUL B-02 SIN DEFINIR - MOXAL - CHINA	ACCESORIOS DE MOTOCICLETA	ACCESORIOS	BAUL TRASERO					MOXAL	SIN DEFINIR		0						CS		ORJF	1.23	1.6	0	36526	36526	12	17	8	1		SUSP-19				0.09	0	480.6	2.8	0	0				1738 - 	1738 - T17 F8			1	Clasificación		1	=	1				0	4	0	0	G	G	175			1000000000	173	0	0	0	0	0	0	0	173	0			0	0					0	0	0	0		0	43319	43319	43403	43319	43342	43375	43438	0	0	0	0	0	0	0.75			FALSE		
MOTORALMOR	ORJF.xlsm	43384	BP-MATRIZ	01.044.0009				BAUL POSTERIOR SHAD 42LT NEGRO SH42 - SHAD - ESPANA	ACCESORIOS DE MOTOCICLETA	ACCESORIOS	BAUL TRASERO					SHAD	SH42		0						CS		ORJF	87.51	148.76	0	36526	36526	12	13.5	24	1		SUSP-21				0.09	0	63.9	2.8	0	0				3753 - 	3753 - 			1	Clasificación		1	+	1				0	6	0	0	G	G	6			1000000000	23	0	0	0	0	0	0	0	23	0			0	0					0	0	0	0		0	43321	43321	43405	36526	36526	36526	36621	0.019991739	0	0	0	0	0	0.726027397			FALSE		
MOTORALMOR	ORJF.xlsm	43384	BP-MATRIZ	01.044.0010				BAUL POSTERIOR SHAD 40LT NEGRO REFLECTIVO BLANCO SH40 - SHAD - ESPANA	ACCESORIOS DE MOTOCICLETA	ACCESORIOS	BAUL TRASERO					SHAD	SH40		0						BM		ORJF	101.16	169	0	36526	36526	12	13.5	24	1		SUSP-21				0.21	0	23.8	1.2	0	0				3753 - 	3753 - 			1	Clasificación		1	+	1				0	12	0	0	G	G	13			1000000000	20	0	0	0	0	0	0	0	20	0			0	0					0	0	0	0		0	43321	43321	43405	36526	36526	36526	36621	0.099128879	0	0	0	0	0	0.726027397			FALSE		
MOTORALMOR	ORJF.xlsm	43384	BP-MATRIZ	03.002.0089				CASCO CONVERTIBLE 3100DOT DOBLE VISOR 50%P/BRILLANTE/MEDIUM/NEGRO/SOLIDO  3100DV - CR1 HELMETS - CHINA	CASCOS	CASCOS	CASCO CONVERTIB 3100 CR1					CR1 HELMETS	3100DV		0						AF		ORJF	19.49	33.38	0	36526	36526	12	17	8	1	+-	LIBRE-58	OK	515		16.45	5.9	1	0	0	0	43163		42909	1738 - 	1738 - T17 F8			1	Clasificación		1	=	1				387	617	257	128	R	R	39			1000000000	64	0.8346	0	0	0	0	0	0	64	0.8346			323	124					889	0	0	1.37		1	43242	43300	43384	43319	43342	43375	43438	1.198709365	7065	0.546666667	0.386666667	0	0	0		N	FALSE		
