EMPRESA	ARCHIVO	FECHA	BODEGA	CODIGO	CODIGO FUNCIONAL	CODIGO VINCULADO	CODIGO GENERICO	DESCRIPCION	GRUPO	LINEA	SUBLINEA	FAMILIA	SUBFAMILIA	CATEGORIA	TIPO	MARCA	MODELO	CAT MANAGEMENT	NUEVO	CAT PROPIA 1	CAT PROPIA 2	CAT PROPIA 3	CAT PROPIA 4	CAT PROPIA 5	Estatus	Clasificación	Responsable	CTV	PV	Precio Promoción	Inicio Promoción	Fin Promoción	Horizonte	T Suministro	Frec Repos	GDB	Cam	Etapa	Estado Reposiciones	Nuevo Buff Sug	Comportamiento	Consumo	Cobertura Buffer	Cobertura Inv Proy	Cobertura Ped Min	Días Desabastecimiento	Ventas Perdidas	Posponer BUF	Posponer RED	Posponer GDB	Proveedor	Perfil	Buff Min	Buff Max	PEDID Min	Redondeo Pedido Mínimo	PEDID Min Grupo	Unidad Empaque	Redondeo Unidad Empaque	Porc Aten	Impacto Faltante	Observaciones	Nuevo Buff Real	Buff Act	Buff Calc	Zona Amar	Zona Roja	Color	Color1	Ult Buffer	Buff Ant Estacion	Buff Estacional	Inv Proveed	Inv Fís Act	Estado Buffer	Tráns Act	Negociación	Producción	Embarcado	Comprom	Backorders	Inv Proy Act	Estado Buffer Proy	Ingresos	Egresos	PEDIDCalc	PEDID Prom	PEDID Real	Calendario Estacional	Acción Estacional	Etapa Estacional	T$D	I$D	Rentabilid	Rentabilidad Proy	Vel Efect	Servicio	Ult Cambio	Inicio Per	Fin Per	Ult Transfer Inicial	Ult Transfer Final	Fecha Nuevo Pedido	Fecha Esperada Arribo	Var	Rojo Acum	Negro	Rojo	Amarillo	Verde	Lila	Err Ped Grupo	Color Repos Frec	Omisiones GDB	Numero Fila	Borrar
AGROTA	Producto Terminado.xlsm	43313	PRODUCTO TERMINADO	110110155708080		PTFUCOSKK-500G		SKEKURA X 500G 	CARBENDAZIM 50% WP	PLAGUICIDAS CONVENCIONALES				FUNGICIDA	TERMINADO	SUNJOY			0									3.04	7.4	0			3	0.5	1	1		LIBRE-84	MAC 		BUF	978.22	1.4	1.5	0	0	0		42646	42814	MATERIA PRIMA	PRODUCCION	1000		1	Default		1	=	1				5600	2201	3724	1848	L	L	6020			1000000000	5951	-0.0627	0	0	0	0	0	0	5951	-0.0627			0	3733					0	1067	0	45.89		0	43208	43292	43313	36526	36526	36526	36530	0.099945192	0	0	0	0	0.363636364	0.636363636			FALSE		
AGROTA	Producto Terminado.xlsm	43313	PRODUCTO TERMINADO	101020132525110		PTACCOYOG-100CC		YOGA X 100CC 	ABAMECTIN 2.0% Ec 	PLAGUICIDAS CONVENCIONALES				INSECTICIDA	TERMINADO	SUNJOY			0									1.44	6	0			3	0.5	1	1	-	LIBRE-125	MAC MFR-6787		RED 	851.76	0.9	0	0	0	0		42646	42874	MATERIA PRIMA	PRODUCCION	200		1	Default		1	=	1				3200	1917	2128	1056	R	R	2400			1000000000	30	0.9906	0	0	0	0	0	0	30	0.9906			3170	2133					4679	0	0	101.33		0	43167	43292	43313	36526	36526	36526	36530	0.75394333	0	0	1	0	0	0		N	FALSE		
AGROTA	Producto Terminado.xlsm	43313	PRODUCTO TERMINADO	101020132544136		PTFUCOSKK-200G		SKEKURA X 200G 	CARBENDAZIM 50% WP	PLAGUICIDAS CONVENCIONALES				FUNGICIDA	TERMINADO	SUNJOY			0									1.27	3.2	0			3	0.5	1	1	-	LIBRE-125	MAC MFR-6787			897.6	0.8	0.4	0	0	0		42924		MATERIA PRIMA	PRODUCCION	5000		1	Default		1	=	1				2720	2020	1809	898	A	A	2500			1000000000	1574	0.4213	0	0	0	0	0	0	1574	0.4213			1146	1813					0	0	0	48.63		0	43167	43292	43313	36526	36526	36526	36530	0.089997161	0	0	0	0.045454545	0.954545455	0		N	FALSE		
AGROTA	Producto Terminado.xlsm	43313	PRODUCTO TERMINADO	140206174501054		PTPLINKSHI-150G		KENSHI X 150G	IMIDACLOPRID 42%+LAMBDA-CYHALOTHRIN 6%WP	PLAGUICIDAS CONVENCIONALES				INSECTICIDA	TERMINADO	SUNJOY			0									4.8	16	0			3	0.5	1	1	-	LIBRE-125	MAC MFR-6787			241.71	0.9	0.6	0	0	0		42646	42814	MATERIA PRIMA	PRODUCCION	500		1	Default		1	=	1				900	544	599	297	A	A	700			1000000000	550	0.3889	0	0	0	0	0	0	550	0.3889			350	600					0	0	0	74.67		0	43167	43292	43313	36526	36526	36526	36530	0.288737085	0	0	0	0.045454545	0.272727273	0.681818182		N	FALSE		
AGROTA	Producto Terminado.xlsm	43313	PRODUCTO TERMINADO	101020134024507		PTPLFULET-250CC		LETAL X 250CC 	MYCLOBUTANIL 12.5% EC	PLAGUICIDAS CONVENCIONALES				FUNGICIDA	TERMINADO	SUNJOY			0									4.26	9.45	0			3	0.5	1	1		LIBRE-125	MAC 			300.36	1	1.2	0	0	0		42646	43195	MATERIA PRIMA	PRODUCCION	576		1	Default		1	=	1				1200	676	798	396	L	L	1300			1000000000	1442	-0.2017	0	0	0	0	0	0	1442	-0.2017			0	800					0	1031	0	38.99		0	43167	43292	43313	36526	36526	36526	36530	0.219618112	0	0	0	0.227272727	0.090909091	0.681818182			FALSE		
AGROTA	Producto Terminado.xlsm	43313	PRODUCTO TERMINADO	101020134025508		PTINCOFUL-50G		FULMINANTE X 50G 	CYROMAZINA 75% WP	PLAGUICIDAS CONVENCIONALES				INSECTICIDA	TERMINADO	SUNJOY			0									2.69	7.75	0			3	0.5	1	1		LIBRE-447	MAC 			366.47	1	1.4	0	0	0		42646	42733	MATERIA PRIMA	PRODUCCION	450		1	Default		1	=	1				1500	825	998	495	L	L	1200			1000000000	2098	-0.3987	0	0	0	0	0	0	2098	-0.3987			0	1000					0	1609	0	60.19		0	42845	43292	43313	36526	36526	36526	36530	0.263860213	0	0	0	0.045454545	0.318181818	0.636363636			FALSE		
AGROTA	Producto Terminado.xlsm	43313	PRODUCTO TERMINADO	101020134033519		PTPLFULET-100CC		LETAL X 100CC 	MYCLOBUTANIL 12.5% EC	PLAGUICIDAS CONVENCIONALES				FUNGICIDA	TERMINADO	SUNJOY			0									1.92	4.2	0			3	0.5	1	1		LIBRE-733	MAC 			229.35	1	1.1	0	0	0		42646	42814	MATERIA PRIMA	PRODUCCION	800		1	Default		1	=	1				950	517	632	314	L	L	1300			1000000000	1008	-0.0611	0	0	0	0	0	0	1008	-0.0611			0	633					0	111	0	38		0	42559	43292	43313	36526	36526	36526	36530	0.048879387	0	0	0	0	0.136363636	0.863636364			FALSE		
AGROTA	Producto Terminado.xlsm	43313	PRODUCTO TERMINADO	110914174411637		PTNUCOTHI-KIL		PROFESIONAL THICKER X KIL	02050 GR 	NUTRICIONAL				FERTILIZANTE FOLIAR	TERMINADO	GREENLEAF			0									3.11	6.3	0			3	0.5	1	1		LIBRE-133	MAC 			310.88	0.8	0.9	0	0	0		42646	43059	MATERIA PRIMA	PRODUCCION	200		1	Default		1	=	1				1000	700	665	330	L	L	700			1000000000	1063	-0.063	0	0	0	0	0	0	1063	-0.063			0	667					0	196	0	32.82		0	43159	43292	43313	36526	36526	36526	36530	0.376322449	0	0	0	0.727272727	0	0.272727273			FALSE		
AGROTA	Producto Terminado.xlsm	43313	PRODUCTO TERMINADO	101020134034521		PTINCODEP-100G		DEPREDADOR X 100G 	CARTAP 50% SP	PLAGUICIDAS CONVENCIONALES				INSECTICIDA	TERMINADO	SUNJOY			0									1.27	3.6	0			3	0.5	1	1		LIBRE-733	MAC 			269.71	1.3	1.6	0	0	0		42936		MATERIA PRIMA	PRODUCCION	1200		1	Default		1	=	1				1400	607	931	462	L	L	2000			1000000000	1756	-0.2543	0	0	0	0	0	0	1756	-0.2543			0	933					0	452	0	58.71		0	42559	43292	43313	36526	36526	36526	36530	0.175037323	0	0	0	0	0.272727273	0.727272727			FALSE		
AGROTA	Producto Terminado.xlsm	43313	PRODUCTO TERMINADO	101020134026510		PTFUCOSTY-KIL		SINOTYL X KIL 	FOSETYL ALUMINIO 80% WP	PLAGUICIDAS CONVENCIONALES				FUNGICIDA	TERMINADO	SUNJOY			0									6.38	15	0			3	0.5	1	1	-	LIBRE-828	MAC MFR-6787			161.78	0.8	0.7	0	0	0		42646	43083	MATERIA PRIMA	PRODUCCION	250		1	Default		1	=	1				500	365	333	165	V	V	662			1000000000	464	0.072	0	0	0	0	0	0	464	0.072			36	333					0	0	0	43.24		0	42464	43292	43313	36526	36526	36526	36530	0.116280161	0	0	0	0	0.363636364	0.636363636		N	FALSE		
