EMPRESA	ARCHIVO	FECHA	BODEGA	CODIGO	CODIGO FUNCIONAL	CODIGO VINCULADO	CODIGO GENERICO	DESCRIPCION	GRUPO	LINEA	SUBLINEA	FAMILIA	SUBFAMILIA	CATEGORIA	TIPO	MARCA	MODELO	CAT MANAGEMENT	NUEVO	CAT PROPIA 1	CAT PROPIA 2	CAT PROPIA 3	CAT PROPIA 4	CAT PROPIA 5	Estatus	Clasificación	Responsable	CTV	PV	Precio Promoción	Inicio Promoción	Fin Promoción	Horizonte	T Suministro	Frec Repos	GDB	Cam	Etapa	Estado Reposiciones	Nuevo Buff Sug	Comportamiento	Consumo	Cobertura Buffer	Cobertura Inv Proy	Cobertura Ped Min	Días Desabastecimiento	Ventas Perdidas	Posponer BUF	Posponer RED	Posponer GDB	Proveedor	Perfil	Buff Min	Buff Max	PEDID Min	Redondeo Pedido Mínimo	PEDID Min Grupo	Unidad Empaque	Redondeo Unidad Empaque	Porc Aten	Impacto Faltante	Observaciones	Nuevo Buff Real	Buff Act	Buff Calc	Zona Amar	Zona Roja	Color	Color1	Ult Buffer	Buff Ant Estacion	Buff Estacional	Inv Proveed	Inv Fís Act	Estado Buffer	Tráns Act	Negociación	Producción	Embarcado	Comprom	Backorders	Inv Proy Act	Estado Buffer Proy	Ingresos	Egresos	PEDIDCalc	PEDID Prom	PEDID Real	Calendario Estacional	Acción Estacional	Etapa Estacional	T$D	I$D	Rentabilid	Rentabilidad Proy	Vel Efect	Servicio	Ult Cambio	Inicio Per	Fin Per	Ult Transfer Inicial	Ult Transfer Final	Fecha Nuevo Pedido	Fecha Esperada Arribo	Var	Rojo Acum	Negro	Rojo	Amarillo	Verde	Lila	Err Ped Grupo	Color Repos Frec	Omisiones GDB	Numero Fila	Borrar
AGROTA	Quevedo.xlsm	43313	AGROTA TALLER SUKAMPO QUEVEDO	10000000689		EC-70604060762		MANGUERA LANZA SHP800 ES726	REPUESTOS 2T	AGROFORESTAL				REPUESTOS	Repuestos	ECHO			0									14.29	30	0			2	1	1	1	-	LIBRE-294	MAC 	1	RED 	0.05	10	10	5	0	0				Bodega Central Agrota	LOCAL			1	Default	1	1	=	1				2	1	2	1	A	A	0			72	2	0	0	0	0	0	0	0	2	0			0	1					0	0	0	26.38		0	43005	43299	43313	36526	36526	36526	36533	0	0	0	0	1	0	0			FALSE		
AGROTA	Quevedo.xlsm	43313	AGROTA TALLER SUKAMPO QUEVEDO	110112172405771		EC-V420002390		AMORTIGUADOR B450-C350 (20010-86130)	REPUESTOS 2T	AGROFORESTAL				REPUESTOS	Repuestos	SHINDAIWA			0									0.41	1.33	0			2	1	1	1		LIBRE-217	MAC 		BUF	0	0	0	0	0	0				Bodega Central Agrota	LOCAL			1	Default	1	1	=	1				3	0	2	1	L	L	5			228	5	-0.6667	0	0	0	0	0	0	5	-0.6667			0	2					0	1	0	53.85		0	43082	43299	43313	36526	36526	36526	36533	0	0	0	0	0	0	1			FALSE		
AGROTA	Quevedo.xlsm	43313	AGROTA TALLER SUKAMPO QUEVEDO	120919131900783		EC-20091006210		AMORTIGUADOR SUPERIOR DM6110 6120 MB580	REPUESTOS 2T	AGROFORESTAL				REPUESTOS	Repuestos	ECHO			0									3.87	13.47	0			2	1	1	1	-	LIBRE-294	MAC 	1	RED BUF	0	0	0	0	0	0				Bodega Central Agrota	LOCAL			1	Default	1	1	=	1				2	0	2	1	A	A	0			36	2	0	0	0	0	0	0	0	2	0			0	1					0	0	0	59.53		0	43005	43299	43313	36526	36526	36526	36533	0	0	0	0	1	0	0			FALSE		
AGROTA	Quevedo.xlsm	43313	AGROTA TALLER SUKAMPO QUEVEDO	110105190415202		EC-A101000360		ANILLO PISTON B450	REPUESTOS 2T	AGROFORESTAL				REPUESTOS	Repuestos	SHINDAIWA			0									1.55	8.71	0			2	1	1	1		LIBRE-217	MAC 		BUF	0	0	0	0	0	0				Bodega Central Agrota	LOCAL			1	Default	1	1	=	1				3	0	2	1	L	L	6			437	6	-1	0	0	0	0	0	0	6	-1			0	2					0	5	0	110.86		0	43082	43299	43313	36526	36526	36526	36533	0	0	0	0	0	0	1			FALSE		
AGROTA	Quevedo.xlsm	43313	AGROTA TALLER SUKAMPO QUEVEDO	110105191826671		EC-A101000370		ANILLO PISTON B530 (62035-41120)	REPUESTOS 2T	AGROFORESTAL				REPUESTOS	Repuestos	SHINDAIWA			0									1.7	7.84	0			2	1	1	1	-	LIBRE-294	MAC 	2	RED BUF	0	0	0	0	0	0				Bodega Central Agrota	LOCAL			1	Default	1	1	=	1				4	0	3	1	V	V	0			479	4	0	0	0	0	0	0	0	4	0			0	2					0	0	0	86.68		0	43005	43299	43313	36526	36526	36526	36533	0	0	0	0	0	1	0			FALSE		
AGROTA	Quevedo.xlsm	43313	AGROTA TALLER SUKAMPO QUEVEDO	10000000062		EC-10001108360		ANILLO PISTON DM6110 DM6120 MB580	REPUESTOS 2T	AGROFORESTAL				REPUESTOS	Repuestos	ECHO			0									2.87	8.14	0			2	1	1	1	-	LIBRE-294	MAC 	1	RED BUF	0	0	0	0	0	0				Bodega Central Agrota	LOCAL			1	Default	1	1	=	1				2	0	2	1	A	A	0			30	2	0	0	0	0	0	0	0	2	0			0	1					0	0	0	44.07		0	43005	43299	43313	36526	36526	36526	36533	0	0	0	0	1	0	0			FALSE		
AGROTA	Quevedo.xlsm	43313	AGROTA TALLER SUKAMPO QUEVEDO	10000000819		EC-A101000000		ANILLO PISTON SHP800 EDR210 GT22 SRM22	REPUESTOS 2T	AGROFORESTAL				REPUESTOS	Repuestos	ECHO			0									2.15	7.41	0			2	1	1	1	-	LIBRE-294	MAC 	2	RED BUF	0	0	0	0	0	0				Bodega Central Agrota	LOCAL			1	Default	1	1	=	1				4	0	3	1	V	V	0			67	4	0	0	0	0	0	0	0	4	0			0	2					0	0	0	58.72		0	43005	43299	43313	36526	36526	36526	36533	0	0	0	0	0	1	0			FALSE		
AGROTA	Quevedo.xlsm	43313	AGROTA TALLER SUKAMPO QUEVEDO	10000000063		EC-10001110530		ANILLO PISTON SRM4300 EA410	REPUESTOS 2T	AGROFORESTAL				REPUESTOS	Repuestos	ECHO			0									2.1	9.99	0			2	1	1	1	-	LIBRE-294	MAC 	1	RED BUF	0	0	0	0	0	0				Bodega Central Agrota	LOCAL			1	Default	1	1	=	1				2	0	2	1	A	A	0			125	2	0	0	0	0	0	0	0	2	0			0	1					0	0	0	90.17		0	43005	43299	43313	36526	36526	36526	36533	0	0	0	0	1	0	0			FALSE		
AGROTA	Quevedo.xlsm	43313	AGROTA TALLER SUKAMPO QUEVEDO	110106143748628		EC-A050000240		ARRANCADOR B45 B450 BP35	REPUESTOS 2T	AGROFORESTAL				REPUESTOS	Repuestos	SHINDAIWA			0									9.79	31.13	0			2	1	1	1	-	LIBRE-294	MAC 	2	RED BUF	0	0	0	0	0	0				Bodega Central Agrota	LOCAL			1	Default	1	1	=	1				3	0	2	1	V	V	0			105	3	0	0	0	0	0	0	0	3	0			0	2					0	0	0	52.31		0	43005	43299	43313	36526	36526	36526	36533	0	0	0	0	0	1	0			FALSE		
AGROTA	Quevedo.xlsm	43313	AGROTA TALLER SUKAMPO QUEVEDO	110106144125648		EC-A051002890		ARRANCADOR B530 (A050000200)	REPUESTOS 2T	AGROFORESTAL				REPUESTOS	Repuestos	SHINDAIWA			0									14.42	39.51	0			2	1	1	1	-	LIBRE-294	MAC 	1	RED BUF	0	0	0	0	0	0				Bodega Central Agrota	LOCAL			1	Default	1	1	=	1				2	0	2	1	A	A	0			16	2	0	0	0	0	0	0	0	2	0			0	1					0	0	0	41.76		0	43005	43299	43313	36526	36526	36526	36533	0	0	0	0	1	0	0			FALSE		
AGROTA	Quevedo.xlsm	43313	AGROTA TALLER SUKAMPO QUEVEDO	10000000649		EC-P021035720		ARRANCADOR C350 B450AUS (70131-75100)	REPUESTOS 2T	AGROFORESTAL				REPUESTOS	Repuestos	SHINDAIWA			0									9.51	26.95	0			2	1	1	1	-	LIBRE-294	MAC 	1	RED BUF	0	0	0	0	0	0				Bodega Central Agrota	LOCAL			1	Default	1	1	=	1				2	0	2	1	A	A	0			71	2	0	0	0	0	0	0	0	2	0			0	1					0	0	0	44.01		0	43005	43299	43313	36526	36526	36526	36533	0	0	0	0	1	0	0			FALSE		
