EMPRESA	ARCHIVO	FECHA	BODEGA	CODIGO	CODIGO FUNCIONAL	CODIGO VINCULADO	CODIGO GENERICO	DESCRIPCION	GRUPO	LINEA	SUBLINEA	FAMILIA	SUBFAMILIA	CATEGORIA	TIPO	MARCA	MODELO	CAT MANAGEMENT	NUEVO	CAT PROPIA 1	CAT PROPIA 2	CAT PROPIA 3	CAT PROPIA 4	CAT PROPIA 5	Estatus	Clasificación	Responsable	CTV	PV	Precio Promoción	Inicio Promoción	Fin Promoción	Horizonte	T Suministro	Frec Repos	GDB	Cam	Etapa	Estado Reposiciones	Nuevo Buff Sug	Comportamiento	Consumo	Cobertura Buffer	Cobertura Inv Proy	Cobertura Ped Min	Días Desabastecimiento	Ventas Perdidas	Posponer BUF	Posponer RED	Posponer GDB	Proveedor	Perfil	Buff Min	Buff Max	PEDID Min	Redondeo Pedido Mínimo	PEDID Min Grupo	Unidad Empaque	Redondeo Unidad Empaque	Porc Aten	Impacto Faltante	Observaciones	Nuevo Buff Real	Buff Act	Buff Calc	Zona Amar	Zona Roja	Color	Color1	Ult Buffer	Buff Ant Estacion	Buff Estacional	Inv Proveed	Inv Fís Act	Estado Buffer	Tráns Act	Negociación	Producción	Embarcado	Comprom	Backorders	Inv Proy Act	Estado Buffer Proy	Ingresos	Egresos	PEDIDCalc	PEDID Prom	PEDID Real	Calendario Estacional	Acción Estacional	Etapa Estacional	T$D	I$D	Rentabilid	Rentabilidad Proy	Vel Efect	Servicio	Ult Cambio	Inicio Per	Fin Per	Ult Transfer Inicial	Ult Transfer Final	Fecha Nuevo Pedido	Fecha Esperada Arribo	Var	Rojo Acum	Negro	Rojo	Amarillo	Verde	Lila	Err Ped Grupo	Color Repos Frec	Omisiones GDB	Numero Fila	Borrar
MOTORALMOR	RRFA.xlsm	43390	BP-MATRIZ	06.223.0001				ROTOR DE BOMBA DE AGUA P200NS - BAJAJ - INDIA	CHASIS	REPUESTOS	ROTOR BOMBA DE AGUA					BAJAJ	P200NS		1								RRFA	0	0	0	36526	36526	22	21	8	1		NUEVO				0	0	0	0	22	0				3552 - RI	3552 - T21-F8			20	Clasificación		1	=	1				15	0	10	5	N	N	0			1000000000	0	1	0	0	0	0	0	0	0	1			20	4					0	0	0	0		0	43278	43278	43432	36526	36526	36526	36673	1	0	0.729323308	0	0	0	0		N	FALSE		
MOTORALMOR	RRFA.xlsm	43390	BP-MATRIZ	06.221.0001				MALLA DE BOMBA DE ACEITE P125SSP - BAJAJ - INDIA P200NS - BAJAJ - INDIA	CHASIS	REPUESTOS	MALLA DE BOMBA DE ACEITE					BAJAJ	P200NS		0								RRFA	0.81	1.65	0	36526	36526	12	19	8	1	+-	LIBRE-28	OK	48		1.24	7.3	0	4	22	0				1253 - 	2961 - T19 F8 			20	Clasificación		1	=	1				36	51	24	12	N	N	0			1000000000	0	1	0	0	50	0	0	0	0	1			36	11					10	0	0	1.84		0	43278	43306	43390	36526	36526	36526	36659	1	828	0.92	0	0	0	0		N	FALSE		
MOTORALMOR	RRFA.xlsm	43390	BP-MATRIZ	06.219.0001				GUARDAPOLVO DE EJE DE RUEDA  RE205 4S (14) - VARROC - INDIA	TRACCION	REPUESTOS	GUARDAPOLVO DE EJE					VARROC	RE205 4S (14)		0						CS		RRFA	0.92	1.89	0	36526	36526	21	20	8	1	-	SUSP-142	OK			5.22	9.6	8.3	4.8	0	0				1193 - 	3557 - T20-F8			100	Clasificación		1	=	1				200	220	133	66	V	V	140			1000000000	174	0.13	0	0	0	0	0	0	174	0.13			0	57					0	0	0	1.81		0	43385	43385	43532	36526	36526	36526	36666	0	0	0	0	0	0.037383178	0			FALSE		
MOTORALMOR	RRFA.xlsm	43390	BP-MATRIZ	06.216.0001				CABLE DE AHOGADOR (ARRANQUE) FZ16 - MOXAL - CHINA	CHASIS	REPUESTOS	CABLE ARRAQUE					MOXAL	FZ16		1						CS		RRFA	0.72	1.2	0	36526	36526	18	24	12	1		NUEVO				0.91	37.1	21.4	27.5	0	0			43076	3552 - RI	243-T24-F12			100	Clasificación		1	=	1				135	50	90	45	A	A	90			1000000000	78	0.4222	0	0	0	0	0	0	78	0.4222			100	45					0	0	0	0.89		0	43175	43264	43390	42849	0	42933	43017	1.557093349	0	0.666666667	0	0.213675214	0.068376068	0		N	FALSE		
MOTORALMOR	RRFA.xlsm	43390	BP-MATRIZ	06.210.0014				KIT DE TRACCION P180UG4 - BAJAJ - INDIA P180UG4 - BAJAJ - INDIA	TRACCION	REPUESTOS	KIT ARRASTRE					BAJAJ	P180UG4		0								RRFA	17.83	33	0	36526	36526	22	21	8	1	-	SUSP-42	OK			0.7	12.9	4.6	7.1	0	0				3106 - 	3552 - T21-F8			20	Clasificación		1	=	1				36	31	24	12	A	A	0			1000000000	13	0.6389	0	0	0	0	0	0	13	0.6389			23	10					0	0	0	1.41		0	43278	43278	43432	36526	36526	36526	36673	0.931029693	0	0.308270677	0	0.390977444	0.030075188	0		N	FALSE		
MOTORALMOR	RRFA.xlsm	43390	BP-MATRIZ	06.210.0013				KIT DE TRACCION (P14/C39/108E) P200NS - BAJAJ - INDIA	TRACCION	REPUESTOS	KIT ARRASTRE					BAJAJ	P200NS		0						AF		RRFA	18.8	35.6	0	36526	36526	22	21	8	1	-	SUSP-42	OK		BUF	16.65	6.5	0	0.3	16	0				3106 - 	3552 - T21-F8			20	Clasificación		1	=	1				435	725	289	144	N	N	0			1000000000	0	1	0	0	350	0	0	0	0	1			435	120					2419	0	0	1.48		0	43278	43278	43432	36526	36526	36526	36673	0.692173064	0	0.120300752	0.563909774	0.045112782	0	0		N	FALSE		
MOTORALMOR	RRFA.xlsm	43390	BP-MATRIZ	06.210.0012				KIT DE TRACCION (P14/C43/130E) P135LS - BAJAJ - INDIA	TRACCION	REPUESTOS	KIT ARRASTRE					BAJAJ	P135LS		0						BM		RRFA	12.47	20.41	0	36526	36526	22	21	8	1	-	SUSP-42	OK			7.87	9.2	0	0.6	22	0				3106 - 	3552 - T21-F8			20	Clasificación		1	=	1				290	343	193	96	N	N	0			1000000000	0	1	0	0	200	0	0	0	0	1			290	80					762	0	0	1.05		0	43278	43278	43432	36526	36526	36526	36673	1	0	0.729323308	0	0	0	0		N	FALSE		
MOTORALMOR	RRFA.xlsm	43390	BP-MATRIZ	06.210.0009				KIT DE TRACCION 520 (P14/C36/104E HO) P220F BAJAJ	TRACCION	REPUESTOS	KIT ARRASTRE					BAJAJ	P220F		0						CS		RRFA	17.92	35	0	36526	36526	22	21	8	1	-	SUSP-42	OK			5.14	3.6	0	1	19	0	43402		43336	3106 - 	3552 - T21-F8			20	Clasificación		1	=	1				73	224	49	24	N	N	0			1000000000	0	1	0	0	30	0	0	0	0	1			73	20					410	0	0	1.58		0	43278	43278	43432	36526	36526	36526	36673	0.624122373	0	0.142857143	0.157894737	0.30075188	0.127819549	0		N	FALSE		
MOTORALMOR	RRFA.xlsm	43390	BP-MATRIZ	06.210.0008				KIT DE ARRASTRE 428H 6 HUECOS PIÑON 16 DIENTES - CATALINA 49 DIENTES DT175K - NSR - JAPON	TRACCION	REPUESTOS	KIT ARRASTRE					NSR	DT175K		0						CS		RRFA	9.07	9.14	0	36526	36526	23	23	12	1		LIBRE-1140				0.04	0	0	312.5	0	0				3106 - 	1554 - 			50	Clasificación		1	=	1				0	3	0	0	G	G	70			1000000000	0	0	0	0	0	0	0	0	0	0			0	0					0	0	0	0		0	42089	43229	43390	36526	36526	36526	36687	1	0	0.953947368	0	0	0	0			FALSE		
MOTORALMOR	RRFA.xlsm	43390	BP-MATRIZ	06.210.0007				KIT DE ARRASTRE 428H PIÑON 16 DIENTES - CATALINA 4 HUECOS 49 DIENTES DT175K - NSR - JAPON	TRACCION	REPUESTOS	KIT ARRASTRE					NSR	DT175K		0						CS		RRFA	9.22	9.29	0	36526	36526	23	23	12	1		LIBRE-1140				0.04	0	0	312.5	0	0	41942			3106 - 	1554 - 			50	Clasificación		1	=	1				0	3	0	0	G	G	70			1000000000	0	0	0	0	0	0	0	0	0	0			0	0					0	0	0	0		0	42089	43229	43390	36526	36526	36526	36687	1	0	0.953947368	0	0	0	0			FALSE		
