EMPRESA	ARCHIVO	FECHA	BODEGA	CODIGO	CODIGO FUNCIONAL	CODIGO VINCULADO	CODIGO GENERICO	DESCRIPCION	GRUPO	LINEA	SUBLINEA	FAMILIA	SUBFAMILIA	CATEGORIA	TIPO	MARCA	MODELO	CAT MANAGEMENT	NUEVO	CAT PROPIA 1	CAT PROPIA 2	CAT PROPIA 3	CAT PROPIA 4	CAT PROPIA 5	Estatus	Clasificación	Responsable	CTV	PV	Precio Promoción	Inicio Promoción	Fin Promoción	Horizonte	T Suministro	Frec Repos	GDB	Cam	Etapa	Estado Reposiciones	Nuevo Buff Sug	Comportamiento	Consumo	Cobertura Buffer	Cobertura Inv Proy	Cobertura Ped Min	Días Desabastecimiento	Ventas Perdidas	Posponer BUF	Posponer RED	Posponer GDB	Proveedor	Perfil	Buff Min	Buff Max	PEDID Min	Redondeo Pedido Mínimo	PEDID Min Grupo	Unidad Empaque	Redondeo Unidad Empaque	Porc Aten	Impacto Faltante	Observaciones	Nuevo Buff Real	Buff Act	Buff Calc	Zona Amar	Zona Roja	Color	Color1	Ult Buffer	Buff Ant Estacion	Buff Estacional	Inv Proveed	Inv Fís Act	Estado Buffer	Tráns Act	Negociación	Producción	Embarcado	Comprom	Backorders	Inv Proy Act	Estado Buffer Proy	Ingresos	Egresos	PEDIDCalc	PEDID Prom	PEDID Real	Calendario Estacional	Acción Estacional	Etapa Estacional	T$D	I$D	Rentabilid	Rentabilidad Proy	Vel Efect	Servicio	Ult Cambio	Inicio Per	Fin Per	Ult Transfer Inicial	Ult Transfer Final	Fecha Nuevo Pedido	Fecha Esperada Arribo	Var	Rojo Acum	Negro	Rojo	Amarillo	Verde	Lila	Err Ped Grupo	Color Repos Frec	Omisiones GDB	Numero Fila	Borrar
AGROTA	Repuestos ECHO.xlsm	43313	Bodega Central Agrota	180125165006254		EC-10090535430		AMORTIGUADOR DERECHO MANUBRIO CS3500 (1009053543)	REPUESTOS 2T	AGROFORESTAL				REPUESTOS	Repuestos	ECHO			0									0	0	0			10	8	2	1	-	LIBRE-113	 MFR-131		BUF	0	0	0	0	30	0				Echo	USA ECHO			1	Default		1	=	1				2	0	2	1	N	N	0			1000000000	0	1	0	0	0	0	0	0	0	1			2	0					0	0	0	0		1	43130	43243	43313	43168	43179	43182	43224	1	0	0.985714286	0	0	0	0		N	FALSE		
AGROTA	Repuestos ECHO.xlsm	43313	Bodega Central Agrota	180125170016331		EC-61001347730		EJE FLEXIBLE SRM22 GESU	REPUESTOS 2T	AGROFORESTAL				REPUESTOS	Repuestos	ECHO			0									0	0	0			10	8	2	1	-	LIBRE-113	 MFR-131		BUF	0	0	0	0	30	0				Echo	USA ECHO			1	Default		1	=	1				2	0	2	1	N	N	0			1000000000	0	1	0	0	0	0	0	0	0	1			2	0					0	0	0	0		1	43130	43243	43313	43168	43179	43182	43224	1	0	0.985714286	0	0	0	0		N	FALSE		
AGROTA	Repuestos ECHO.xlsm	43313	Bodega Central Agrota	140522131248911		EC-89541039131		LLAVE DE BUJIA 10x19 PPT 266 CS3500 (89541003930)	REPUESTOS 2T	AGROFORESTAL				REPUESTOS	Repuestos	ECHO			0									1.01	2.79	0			10	8	2	1	-	SUSP-36	 MFR-131		BUF	0	0	0	0	30	0			42946	Echo	USA ECHO			1	Default		2	=	1				26	0	17	9	N	N	19			1000000000	0	1	0	0	0	0	0	0	0	1			26	5					16	0	0	8.46		1	43279	43279	43349	43168	43179	43182	43224	1	0	0.573770492	0	0	0	0		N	FALSE		
AGROTA	Repuestos ECHO.xlsm	43313	Bodega Central Agrota	130220102520351		EC-14561047530		SILENCIADOR SRM4605	REPUESTOS 2T	AGROFORESTAL				REPUESTOS	Repuestos	ECHO			0									7.34	19.37	0			10	8	2	1	-	SUSP-7	SAC 			0.18	6.9	6.9	1.4	28	0			42996	Echo	USA ECHO			1	Default		1	=	1				5	3	3	2	V	V	3			1000000000	5	0	0	0	0	0	0	0	5	0			0	1					0	0	0	7.87		2	43250	43250	43320	43292	43312	43306	43348	5.567040101	0	0.897058824	0	0	0.029411765	0			FALSE		
AGROTA	Repuestos ECHO.xlsm	43313	Bodega Central Agrota	110107093002578		EC-43301903933		TUERCA BARRA CS303T CS3500 PPT266 PPT2400 	REPUESTOS 2T	AGROFORESTAL				REPUESTOS	Repuestos	ECHO			0									0.43	0.98	0			10	8	2	1		LIBRE-6	SAC 			1.88	4.7	5.3	0.1	28	0				Echo	USA ECHO			1	Default		5	=	1				35	29	23	12	L	L	27			1000000000	40	-0.1429	0	0	0	0	0	0	40	-0.1429			0	7					0	2	0	6.14		2.14	43237	43243	43313	43292	43312	43306	43348	5.442342748	0	0.942857143	0.014285714	0	0	0.028571429			FALSE		
AGROTA	Repuestos ECHO.xlsm	43313	Bodega Central Agrota	130627094455782		EC-C510000220		CONECTOR BP35	REPUESTOS 2T	AGROFORESTAL				REPUESTOS	Repuestos	SHINDAIWA			0									11.66	30.99	0			10	8	2	1	+-	LIBRE-901	SAC 	2		0.05	5	5	5	30	0			43209	Echo	USA ECHO	1		1	Default		1	=	1				1	1	1	1	N	R	2			1000000000	0	1	1	0	0	0	0	0	1	0			0	0					19	0	0	7.96		2	42342	43243	43313	43292	43276	43306	43348	1	1	0.985714286	0	0	0	0			TRUE		
AGROTA	Repuestos ECHO.xlsm	43313	Bodega Central Agrota	10000000908		EC-C400000211		MANUBRIO SRM270	REPUESTOS 2T	AGROFORESTAL				REPUESTOS	Repuestos	ECHO			0									16.23	29.12	0			10	8	2	1	-	SUSP-22	SAC MFR-7			1.01	2.5	1.7	0.2	28	0			42849	Echo	USA ECHO	1		1	Default		1	=	1				10	16	7	3	A	A	7			1000000000	7	0.3	0	0	0	0	0	0	7	0.3			3	2					0	0	0	3.81		2	43265	43265	43335	43292	43312	43306	43348	4.897916224	0	0.723076923	0	0.030769231	0	0		N	FALSE		
AGROTA	Repuestos ECHO.xlsm	43313	Bodega Central Agrota	10000000056		EC-X605000090		LLAVE EXAGONAL 3MM B450 HERRAM (09026-03001)	ACCESORIOS EQUIPOS 2T	AGROFORESTAL				ACCESORIOS	Repuestos	SHINDAIWA			0									0.36	1.54	0			10	8	2	1	-	SUSP-36	SAC MFR-7			1.1	4.3	0.9	0.2	28	0			43108	Echo	USA ECHO			1	Default		1	=	1				19	17	13	6	R	R	14			1000000000	4	0.7895	0	0	0	0	0	0	4	0.7895			15	4					2	0	0	15.73		1.47	43279	43279	43349	43292	43312	43306	43348	4.748198451	0	0.540983607	0.016393443	0	0.016393443	0		N	FALSE		
AGROTA	Repuestos ECHO.xlsm	43313	Bodega Central Agrota	120611175609126		EC-17511412530		PIÑON FLOTANTE CS420 CS510	REPUESTOS 2T	AGROFORESTAL				REPUESTOS	Repuestos	ECHO			0									6.11	12.21	0			10	8	2	1	-	SUSP-14	SAC MFR-7			1.74	3.6	3.4	0.1	28	0			42849	Echo	USA ECHO			1	Default		2	=	1				25	27	17	8	V	V	20			1000000000	24	0.04	0	0	0	0	0	0	24	0.04			2	5					0	0	0	4.79		2	43257	43257	43327	43292	43312	43306	43348	5.244309576	0	0.818181818	0	0	0.03030303	0		N	FALSE		
AGROTA	Repuestos ECHO.xlsm	43313	Bodega Central Agrota	10000001222		EC-P021015290		PISTON KIT CS680S	REPUESTOS 2T	AGROFORESTAL				REPUESTOS	Repuestos	ECHO			0									13.2	44.86	0			10	8	2	1	+-	LIBRE-75	SAC 	54	BUF	0.82	12.2	22	0.3	30	0			42932	Echo	USA ECHO			1	Default		5	=	1				40	13	27	13	N	L	30			1000000000	0	1	72	0	0	0	0	0	72	-0.8			0	8					412	0	0	11.51		2.8	43168	43243	43313	43292	43276	43306	43348	1	897	0.985714286	0	0	0	0			TRUE		
