EMPRESA	ARCHIVO	FECHA	BODEGA	CODIGO	CODIGO FUNCIONAL	CODIGO VINCULADO	CODIGO GENERICO	DESCRIPCION	GRUPO	LINEA	SUBLINEA	FAMILIA	SUBFAMILIA	CATEGORIA	TIPO	MARCA	MODELO	CAT MANAGEMENT	NUEVO	CAT PROPIA 1	CAT PROPIA 2	CAT PROPIA 3	CAT PROPIA 4	CAT PROPIA 5	Estatus	Clasificación	Responsable	CTV	PV	Precio Promoción	Inicio Promoción	Fin Promoción	Horizonte	T Suministro	Frec Repos	GDB	Cam	Etapa	Estado Reposiciones	Nuevo Buff Sug	Comportamiento	Consumo	Cobertura Buffer	Cobertura Inv Proy	Cobertura Ped Min	Días Desabastecimiento	Ventas Perdidas	Posponer BUF	Posponer RED	Posponer GDB	Proveedor	Perfil	Buff Min	Buff Max	PEDID Min	Redondeo Pedido Mínimo	PEDID Min Grupo	Unidad Empaque	Redondeo Unidad Empaque	Porc Aten	Impacto Faltante	Observaciones	Nuevo Buff Real	Buff Act	Buff Calc	Zona Amar	Zona Roja	Color	Color1	Ult Buffer	Buff Ant Estacion	Buff Estacional	Inv Proveed	Inv Fís Act	Estado Buffer	Tráns Act	Negociación	Producción	Embarcado	Comprom	Backorders	Inv Proy Act	Estado Buffer Proy	Ingresos	Egresos	PEDIDCalc	PEDID Prom	PEDID Real	Calendario Estacional	Acción Estacional	Etapa Estacional	T$D	I$D	Rentabilid	Rentabilidad Proy	Vel Efect	Servicio	Ult Cambio	Inicio Per	Fin Per	Ult Transfer Inicial	Ult Transfer Final	Fecha Nuevo Pedido	Fecha Esperada Arribo	Var	Rojo Acum	Negro	Rojo	Amarillo	Verde	Lila	Err Ped Grupo	Color Repos Frec	Omisiones GDB	Numero Fila	Borrar
AGROTA	Repuestos Ferreteria.xlsm	43313	Bodega Central Agrota	131119100140738		SU-277-32902-H3		AISLADOR INSULADOR CARBURADOR EX17(SU-20A-32902-01)	REPUESTOS 4T	INDUSTRIAL				REPUESTOS	Repuestos	Subaru			0									2.07	4.15	0			37	20	17	1		LIBRE-16				0.05	0	0	5	0	0				Chatani	JAPON CHATANI			1	Default		1	=	1				0	3	0	0	G	G	1			1000000000	0	0	0	0	0	0	0	0	0	0			0	0					0	0	0	0		0	43038	43054	43313	36526	36526	36526	36666	0.909885411	0	0.43373494	0	0	0	0.526104418			FALSE		
AGROTA	Repuestos Ferreteria.xlsm	43313	Bodega Central Agrota	160229125633998		ARS-SP-151		AMORTIGUADOR PLASTICO  VS9R Y 9Z	REPUESTOS 2T	AGROFORESTAL				REPUESTOS	Repuestos	ARS			0									0.59	1.5	0			37	20	17	1	-	LIBRE-218	MAC 	17	BUF	0	0	0	0	0	0				Chatani	JAPON CHATANI			1	Default		1	=	1				25	0	17	8	V	V	0			1000000000	25	0	0	0	0	0	0	0	25	0			0	11					0	0	0	2		0	42836	43054	43313	36526	36526	36526	36666	0	0	0	0	0	0.959839357	0			FALSE		
AGROTA	Repuestos Ferreteria.xlsm	43313	Bodega Central Agrota	140606090533960		SU-252-23502-17		ANILLO PISTON SET 0.25 EH12	REPUESTOS 4T	INDUSTRIAL				REPUESTOS	Repuestos	Subaru			0									10.66	28.5	0			37	20	17	1		SUSP-175				1.14	0	5.9	0.2	0	0				Chatani	JAPON CHATANI			1	Default		1	=	1				0	64	0	0	G	G	5			1000000000	27	0	0	0	0	0	0	0	27	0			0	0					0	0	0	0		0	43229	43229	43488	43028	43122	43147	43168	0.271204239	0	0	0	0	0	0.394230769			FALSE		
AGROTA	Repuestos Ferreteria.xlsm	43313	Bodega Central Agrota	140604164329357		SU-277-23532-07		ANILLO PISTON SET 0.25 EX17 EX21	REPUESTOS 4T	INDUSTRIAL				REPUESTOS	Repuestos	Subaru			0									10.82	25.1	0			37	20	17	1		SUSP-175				0.32	0	2.3	0.8	0	0				Chatani	JAPON CHATANI			1	Default		1	=	1				0	18	0	0	G	G	5			1000000000	3	0	0	0	0	0	0	0	3	0			0	0					0	0	0	0		0	43229	43229	43488	43007	43122	43126	43147	0.435833524	0	0	0	0	0	0.394230769			FALSE		
AGROTA	Repuestos Ferreteria.xlsm	43313	Bodega Central Agrota	140603170653952		SU-279-23512-17		ANILLO PISTON SET 0.25 EX27	REPUESTOS 4T	INDUSTRIAL				REPUESTOS	Repuestos	Subaru			0									11.51	31.5	0			37	20	17	1		SUSP-175				0.46	0	8.7	0.5	0	0				Chatani	JAPON CHATANI			1	Default		1	=	1				0	26	0	0	G	G	10			1000000000	16	0	0	0	0	0	0	0	16	0			0	0					0	0	0	0		0	43229	43229	43488	36526	36526	36526	36666	0.133557313	0	0	0	0	0	0.394230769			FALSE		
AGROTA	Repuestos Ferreteria.xlsm	43313	Bodega Central Agrota	140606090927307		SU-252-23503-17		ANILLO PISTON SET 0.50 EH12 (252-23503-07)	REPUESTOS 4T	INDUSTRIAL				REPUESTOS	Repuestos	Subaru			0									8.68	28.5	0			37	20	17	1	+-	LIBRE-16	OK	7	BUF	0.27	4.6	4.6	0.9	30	0				Chatani	JAPON CHATANI			1	Default		1	=	1				5	15	3	2	N	V	10			1000000000	0	1	5	0	0	0	0	0	5	0			0	2					40	0	0	2.96		1	43038	43054	43313	43290	43122	43409	43430	0.90826679	194	0.389558233	0	0	0.148594378	0.421686747			FALSE		
AGROTA	Repuestos Ferreteria.xlsm	43313	Bodega Central Agrota	140604164835868		SU-277-23533-07		ANILLO PISTON SET 0.50 EX17 EX21	REPUESTOS 4T	INDUSTRIAL				REPUESTOS	Repuestos	Subaru			0									10.74	25.1	0			37	20	17	1		SUSP-175				0.23	0	5.4	1.1	0	0				Chatani	JAPON CHATANI			1	Default		1	=	1				0	13	0	0	G	G	5			1000000000	5	0	0	0	0	0	0	0	5	0			0	0					0	0	0	0		0	43229	43229	43488	36526	36526	36526	36666	0.323271795	0	0	0	0	0	0.394230769			FALSE		
AGROTA	Repuestos Ferreteria.xlsm	43313	Bodega Central Agrota	140605132820686		SU-252-23501-17		ANILLO PISTON SET STD EH12	REPUESTOS 4T	INDUSTRIAL				REPUESTOS	Repuestos	Subaru			0									7.99	24	0			37	20	17	1	-	SUSP-175	OK		BUF	0.05	75	75	5	0	0				Chatani	JAPON CHATANI			1	Default		1	=	1				15	3	10	5	V	V	20			1000000000	13	0.1333	2	0	0	0	0	0	15	0			0	7					0	0	0	2.6		1	43229	43229	43488	43290	43249	43409	43430	0.456534895	0	0.067307692	0	0	0.326923077	0			FALSE		
AGROTA	Repuestos Ferreteria.xlsm	43313	Bodega Central Agrota	140604163356084		SU-277-23531-07		ANILLO PISTON SET STD EX17 EX21	REPUESTOS 4T	INDUSTRIAL				REPUESTOS	Repuestos	Subaru			0									8.98	23.7	0			37	20	17	1	+-	LIBRE-218	SAC 	7		0.05	25	20	5	0	0				Chatani	JAPON CHATANI			1	Default		1	=	1				5	3	3	2	V	V	0			1000000000	4	0.2	0	0	0	0	0	0	4	0.2			1	2					0	0	0	2.13		1.6	42836	43054	43313	43206	43249	43325	43346	1.219278815	275	0.510040161	0.16064257	0.016064257	0.273092369	0		R	TRUE		
AGROTA	Repuestos Ferreteria.xlsm	43313	Bodega Central Agrota	131118104553265		SU-279-23511-17		ANILLO PISTON SET STD EX27 (279-23511-07)	REPUESTOS 4T	INDUSTRIAL				REPUESTOS	Repuestos	Subaru			0									12.2	26.5	0			37	20	17	1		SUSP-175				0.23	0	15.2	1.1	0	0				Chatani	JAPON CHATANI			1	Default		1	=	1				0	13	0	0	G	G	5			1000000000	14	0	0	0	0	0	0	0	14	0			0	0					0	0	0	0		0	43229	43229	43488	43206	43249	43325	43346	0.05092562	0	0	0	0	0	0.394230769			FALSE		
