EMPRESA	ARCHIVO	FECHA	BODEGA	CODIGO	CODIGO FUNCIONAL	CODIGO VINCULADO	CODIGO GENERICO	DESCRIPCION	GRUPO	LINEA	SUBLINEA	FAMILIA	SUBFAMILIA	CATEGORIA	TIPO	MARCA	MODELO	CAT MANAGEMENT	NUEVO	CAT PROPIA 1	CAT PROPIA 2	CAT PROPIA 3	CAT PROPIA 4	CAT PROPIA 5	Estatus	Clasificación	Responsable	CTV	PV	Precio Promoción	Inicio Promoción	Fin Promoción	Horizonte	T Suministro	Frec Repos	GDB	Cam	Etapa	Estado Reposiciones	Nuevo Buff Sug	Comportamiento	Consumo	Cobertura Buffer	Cobertura Inv Proy	Cobertura Ped Min	Días Desabastecimiento	Ventas Perdidas	Posponer BUF	Posponer RED	Posponer GDB	Proveedor	Perfil	Buff Min	Buff Max	PEDID Min	Redondeo Pedido Mínimo	PEDID Min Grupo	Unidad Empaque	Redondeo Unidad Empaque	Porc Aten	Impacto Faltante	Observaciones	Nuevo Buff Real	Buff Act	Buff Calc	Zona Amar	Zona Roja	Color	Color1	Ult Buffer	Buff Ant Estacion	Buff Estacional	Inv Proveed	Inv Fís Act	Estado Buffer	Tráns Act	Negociación	Producción	Embarcado	Comprom	Backorders	Inv Proy Act	Estado Buffer Proy	Ingresos	Egresos	PEDIDCalc	PEDID Prom	PEDID Real	Calendario Estacional	Acción Estacional	Etapa Estacional	T$D	I$D	Rentabilid	Rentabilidad Proy	Vel Efect	Servicio	Ult Cambio	Inicio Per	Fin Per	Ult Transfer Inicial	Ult Transfer Final	Fecha Nuevo Pedido	Fecha Esperada Arribo	Var	Rojo Acum	Negro	Rojo	Amarillo	Verde	Lila	Err Ped Grupo	Color Repos Frec	Omisiones GDB	Numero Fila	Borrar
AGROTA	Repuestos GROW-DUCAT.xlsm	43313	Bodega Central Agrota	170524164041452		DCT-DTL287000M/P8/1		ANCLAJE FILTRO AIRE DTL 7000	REPUESTOS 2T	INDUSTRIAL				REPUESTOS	Repuestos	DUCATI			0									0	0	0			22	16	13	1	-	LIBRE-243	MAC MFR-6787		BUF	0	0	0	0	30	0				MIRAL	CHINA MIRAL			1	Default		1	=	1				4	0	3	1	N	N	0			1000000000	0	1	0	0	0	0	0	0	0	1			4	2					0	0	0	0		0	42916	43159	43313	36526	36526	36526	36638	1	0	0.952380952	0	0	0	0		N	FALSE		
AGROTA	Repuestos GROW-DUCAT.xlsm	43313	Bodega Central Agrota	160803104747603		GRW-92GE390SFX/P5/1		ARBOL DE LEVAS MOTOR MT-390	REPUESTOS 4T	INDUSTRIAL				REPUESTOS	Repuestos	GROWAY			0									9.47	22.48	0			22	16	13	1	-	SUSP-77	MAC 		BUF	0.09	5.6	2.8	2.8	30	0				MIRAL	CHINA MIRAL			1	Default		1	=	1				2	4	2	1	N	R	1			1000000000	0	1	1	0	0	0	0	0	1	0.5			1	1					13	0	0	2.27		0.5	43236	43236	43390	43301	43265	43392	43413	2.664318215	0	0.484615385	0.069230769	0	0	0		V	FALSE		
AGROTA	Repuestos GROW-DUCAT.xlsm	43313	Bodega Central Agrota	160311095208317		GRW-51488020560/M3		ARRANCADOR GLM-51 GLM-56	REPUESTOS 4T	INDUSTRIAL				REPUESTOS	Repuestos	GROWAY			0									7.12	18	0			22	16	13	1	+-	LIBRE-21	OK	14	BUF	0	0	0	0	30	0				MIRAL	CHINA MIRAL			1	Default		1	=	1				10	0	7	3	N	V	0			1000000000	0	1	9	0	0	0	0	0	9	0.1			1	4					33	0	0	2.53		0.9	43138	43159	43313	43301	0	43392	43413	1	420	0.952380952	0	0	0	0		V	FALSE		
AGROTA	Repuestos GROW-DUCAT.xlsm	43313	Bodega Central Agrota	170224113605218		GRW-5110139/M58		ARRANCADOR GLM51SR                                                         	REPUESTOS 4T	INDUSTRIAL				REPUESTOS	Repuestos	GROWAY			0									8.34	25	0			22	16	13	1	-	LIBRE-222	MAC 		BUF	0.27	4.6	1.9	0.9	30	0				MIRAL	CHINA MIRAL			1	Default		1	=	1				5	12	3	2	N	R	8			1000000000	0	1	2	0	0	0	0	0	2	0.6			3	2					33	0	0	3.31		0.4	42937	43159	43313	43301	43265	43392	43413	0.774959217	0	0.285714286	0.489795918	0.013605442	0.163265306	0		V	FALSE		
AGROTA	Repuestos GROW-DUCAT.xlsm	43313	Bodega Central Agrota	170531122056391		GRW-92GENG460QX/P5/5		ARRANCADOR MT-460	REPUESTOS 4T	INDUSTRIAL				REPUESTOS	Repuestos	GROWAY			0									11.66	25.5	0			22	16	13	1	-	LIBRE-131	MAC MFR-6787		BUF	0.27	4.6	0	0.9	30	0				MIRAL	CHINA MIRAL			1	Default		1	=	1				5	12	3	2	N	N	2			1000000000	0	1	0	0	0	0	0	0	0	1			5	2					28	0	0	1.96		0	43028	43159	43313	36526	36526	36526	36638	1.136931547	0	0.469387755	0.217687075	0.129251701	0.136054422	0		N	FALSE		
AGROTA	Repuestos GROW-DUCAT.xlsm	43313	Bodega Central Agrota	160809121504221		DCT-D35M210/P6/6		ASIENTO MUELLE VALVULA 210CC DCW DHL	REPUESTOS 2T	INDUSTRIAL				REPUESTOS	Repuestos	DUCATI			0									0.72	1.8	0			22	16	13	1	+-	LIBRE-559	OK	7	BUF	0.23	5.4	5.4	1.1	30	0				MIRAL	CHINA MIRAL			1	Default		1	=	1				5	11	3	2	N	V	0			1000000000	0	1	5	0	0	0	0	0	5	0			0	2					2	0	0	2.48		1	42600	43159	43313	43301	0	43392	43413	2.263526746	234	0.795918367	0	0	0.156462585	0			FALSE		
AGROTA	Repuestos GROW-DUCAT.xlsm	43313	Bodega Central Agrota	171017104755105		GRW-92GE270SFX/P5/5 		BALANCIN COMPLETO MT-270 (78027003)	REPUESTOS 4T	INDUSTRIAL				REPUESTOS	Repuestos	GROWAY			0									1.62	3.56	0			22	16	13	1	-	SUSP-96	MAC 			0.23	21.7	5.4	1.1	30	0				MIRAL	CHINA MIRAL			1	Default		1	=	1				20	11	13	7	N	R	5			1000000000	0	1	5	0	0	0	0	0	5	0.75			15	9					14	0	0	1.98		-0.75	43255	43255	43409	43301	43160	43392	43413	1	0	0.452380952	0	0	0	0		V	FALSE		
AGROTA	Repuestos GROW-DUCAT.xlsm	43313	Bodega Central Agrota	171017105116469		GRW-92GE390SFX/P5/5		BALANCIN COMPLETO MT-390 (92390112053)	REPUESTOS 4T	INDUSTRIAL				REPUESTOS	Repuestos	GROWAY			0									0.15	4.05	0			22	16	13	1	-	SUSP-96	MAC 			0.46	19.6	7.6	0.5	30	0				MIRAL	CHINA MIRAL			1	Default		1	=	1				36	21	24	12	N	A	10			1000000000	0	1	14	0	0	0	0	0	14	0.6111			22	16					47	0	0	43.03		-0.61	43255	43255	43409	43301	43160	43392	43413	1	0	0.452380952	0	0	0	0		V	FALSE		
AGROTA	Repuestos GROW-DUCAT.xlsm	43313	Bodega Central Agrota	170921151911056		DCT-DLM3253/P4/16		BANDA CORREA TRACCION DLM5300 	REPUESTOS 4T	INDUSTRIAL				REPUESTOS	Repuestos	DUCATI			0									3.1	6.82	0			22	16	13	1	+-	LIBRE-159	OK	7	BUF	0.23	5.4	5.4	1.1	30	0				MIRAL	CHINA MIRAL			1	Default		1	=	1				5	11	3	2	N	V	0			1000000000	0	1	5	0	0	0	0	0	5	0			0	2					7	0	0	1.99		1	43000	43159	43313	43301	43047	43392	43413	1.164859577	160	0.544217687	0	0	0.408163265	0			FALSE		
AGROTA	Repuestos GROW-DUCAT.xlsm	43313	Bodega Central Agrota	160805155053825		GRW-78512000		BIELA MT-110-120	REPUESTOS 4T	INDUSTRIAL				REPUESTOS	Repuestos	GROWAY			0									6.96	17.21	0			22	16	13	1	-	SUSP-96	SAC MFR-280			0.09	8.3	0	2.8	30	0				MIRAL	CHINA MIRAL			1	Default		1	=	1				3	4	2	1	N	N	1			1000000000	0	1	0	0	0	0	0	0	0	1			3	1					10	0	0	2.44		1.33	43255	43255	43409	42942	42992	43033	43054	1	0	0.452380952	0	0	0	0		N	FALSE		
