EMPRESA	ARCHIVO	FECHA	BODEGA	CODIGO	CODIGO FUNCIONAL	CODIGO VINCULADO	CODIGO GENERICO	DESCRIPCION	GRUPO	LINEA	SUBLINEA	FAMILIA	SUBFAMILIA	CATEGORIA	TIPO	MARCA	MODELO	CAT MANAGEMENT	NUEVO	CAT PROPIA 1	CAT PROPIA 2	CAT PROPIA 3	CAT PROPIA 4	CAT PROPIA 5	Estatus	Clasificación	Responsable	CTV	PV	Precio Promoción	Inicio Promoción	Fin Promoción	Horizonte	T Suministro	Frec Repos	GDB	Cam	Etapa	Estado Reposiciones	Nuevo Buff Sug	Comportamiento	Consumo	Cobertura Buffer	Cobertura Inv Proy	Cobertura Ped Min	Días Desabastecimiento	Ventas Perdidas	Posponer BUF	Posponer RED	Posponer GDB	Proveedor	Perfil	Buff Min	Buff Max	PEDID Min	Redondeo Pedido Mínimo	PEDID Min Grupo	Unidad Empaque	Redondeo Unidad Empaque	Porc Aten	Impacto Faltante	Observaciones	Nuevo Buff Real	Buff Act	Buff Calc	Zona Amar	Zona Roja	Color	Color1	Ult Buffer	Buff Ant Estacion	Buff Estacional	Inv Proveed	Inv Fís Act	Estado Buffer	Tráns Act	Negociación	Producción	Embarcado	Comprom	Backorders	Inv Proy Act	Estado Buffer Proy	Ingresos	Egresos	PEDIDCalc	PEDID Prom	PEDID Real	Calendario Estacional	Acción Estacional	Etapa Estacional	T$D	I$D	Rentabilid	Rentabilidad Proy	Vel Efect	Servicio	Ult Cambio	Inicio Per	Fin Per	Ult Transfer Inicial	Ult Transfer Final	Fecha Nuevo Pedido	Fecha Esperada Arribo	Var	Rojo Acum	Negro	Rojo	Amarillo	Verde	Lila	Err Ped Grupo	Color Repos Frec	Omisiones GDB	Numero Fila	Borrar
AGROTA	Repuestos Shindaiwa.xlsm	43313	Bodega Central Agrota	10000000643		EC-P050009310		EMPAQUETADURA DIAFRAGMA C35LA C270 (70036-98020)	REPUESTOS 2T	AGROFORESTAL				REPUESTOS	Repuestos	SHINDAIWA			0									10.83	23	0			10	8	2	1	-	SUSP-37	SAC MFR-7		BUF	0.41	12.2	9.1	0.6	30	0			43204	Echo	USA ECHO			1	Default		2	=	1				20	7	13	7	N	V	15			1000000000	0	1	15	0	0	0	0	0	15	0.25			6	4					85	0	0	5.39		1.45	43280	43280	43350	43292	43228	43306	43348	1	0	0.557377049	0	0	0	0		N	FALSE		
AGROTA	Repuestos Shindaiwa.xlsm	43313	Bodega Central Agrota	110106174207649		EC-C504000620		EJE CENTRAL C270	REPUESTOS 2T	AGROFORESTAL				REPUESTOS	Repuestos	SHINDAIWA			0									8.45	20.32	0			10	8	2	1	-	SUSP-19	SAC MFR-7			2.06	3	1.9	0.1	28	0				Echo	USA ECHO	7		1	Default		2	=	1				25	31	17	8	A	A	20			1000000000	11	0.56	5	0	0	0	0	0	16	0.36			10	5					0	0	0	6.74		2	43262	43262	43332	43292	43312	43306	43348	5.199496373	0	0.769230769	0	0.015384615	0.015384615	0		N	FALSE		
AGROTA	Repuestos Shindaiwa.xlsm	43313	Bodega Central Agrota	130826173227734		EC-88551		MANGO FILTRO SHP800 ES726	REPUESTOS 2T	AGROFORESTAL				REPUESTOS	Accesorios	ECHO			0									10.86	23.87	0			10	8	2	1	-	SUSP-7	SAC 			0.82	3	3	0.3	30	0			42932	Echo	USA ECHO			1	Default		5	=	1				10	13	7	3	N	V	7			1000000000	0	1	10	0	0	0	0	0	10	0			0	2					39	0	0	5.75		2	43250	43250	43320	43292	43228	43306	43348	1	0	0.926470588	0	0	0	0			FALSE		
AGROTA	Repuestos Shindaiwa.xlsm	43313	Bodega Central Agrota	161018154058232		EC-A500000881		TAPA ARRANCADOR B450 B45 BP35 (A500000880)	REPUESTOS 2T	AGROFORESTAL				REPUESTOS	Repuestos	SHINDAIWA			0									8.6	14.69	0			10	8	2	1	-	SUSP-37	 MFR-7		BUF	0.46	10.9	3.3	0.5	28	0			42775	Echo	USA ECHO			1	Default		1	=	1				20	7	13	7	R	R	10			1000000000	6	0.7	0	0	0	0	0	0	6	0.7			14	4					6	0	0	3.4		1	43280	43280	43350	43292	43312	43306	43348	4.103937202	0	0.524590164	0.016393443	0.016393443	0	0		N	FALSE		
AGROTA	Repuestos Shindaiwa.xlsm	43313	Bodega Central Agrota	110106101243800		EC-P022007170		ARNES SRM4300	REPUESTOS 2T	AGROFORESTAL				REPUESTOS	Repuestos	ECHO			0									22.61	41.64	0			10	8	2	1	-	SUSP-37	SAC MFR-7			2.24	2.8	2.1	0.1	24	0				Echo	USA ECHO			1	Default		5	=	1				25	34	17	8	V	V	20			1000000000	19	0.24	0	0	0	0	0	0	19	0.24			5	5					0	0	0	4.04		2.16	43280	43280	43350	43292	43312	43306	43348	3.237454659	0	0.459016393	0.06557377	0	0.032786885	0		N	FALSE		
AGROTA	Repuestos Shindaiwa.xlsm	43313	Bodega Central Agrota	130511064929376		EC-A172001140		CUBIERTA EMBRAGUE C270	REPUESTOS 2T	AGROFORESTAL				REPUESTOS	Repuestos	SHINDAIWA			0									15.27	25.21	0			10	8	2	1	-	SUSP-22	SAC MFR-7			0.5	10	8.5	0.5	28	0				Echo	USA ECHO			1	Default		1	=	1				20	8	13	7	V	V	15			1000000000	17	0.15	0	0	0	0	0	0	17	0.15			3	4					0	0	0	3.12		1.6	43265	43265	43335	43292	43312	43306	43348	4.503437937	0	0.692307692	0.030769231	0	0.030769231	0		N	FALSE		
AGROTA	Repuestos Shindaiwa.xlsm	43313	Bodega Central Agrota	141027090702161		EC-A020000220		CARBURADOR GP450	REPUESTOS 2T	AGROFORESTAL				REPUESTOS	Repuestos	SHINDAIWA			0									32.04	74.47	0			10	8	2	1	+-	LIBRE-70	SAC 			0.09	5.6	5.6	2.8	28	0				Echo	USA ECHO			1	Default		1	=	1				2	2	2	1	A	A	4			1000000000	2	0	0	0	0	0	0	0	2	0			0	0					0	0	0	6.36		2	43173	43243	43313	43292	43312	43306	43348	5.873053177	1	0.971428571	0	0.028571429	0	0			FALSE		
AGROTA	Repuestos Shindaiwa.xlsm	43313	Bodega Central Agrota	10000000375		EC-P021035340		MANUBRIO B450AUS	REPUESTOS 2T	AGROFORESTAL				REPUESTOS	Repuestos	SHINDAIWA			0									24.63	53.79	0			10	8	2	1	-	SUSP-37	SAC MFR-7			1.1	4.5	4.1	0.2	28	0				Echo	USA ECHO	4		1	Default		2	=	1				20	17	13	7	V	V	18			1000000000	18	0.1	0	0	0	0	0	0	18	0.1			2	4					0	0	0	5.68		1.65	43280	43280	43350	43292	43312	43306	43348	4.060153751	0	0.524590164	0	0	0.032786885	0		N	FALSE		
AGROTA	Repuestos Shindaiwa.xlsm	43313	Bodega Central Agrota	110126160903468		EC-A130001070		CILINDRO EB500	REPUESTOS 2T	AGROFORESTAL				REPUESTOS	Repuestos	SHINDAIWA			0									25.48	89.91	0			10	8	2	1	-	SUSP-37	 MFR-7		BUF	0.05	25	15	5	30	0			42855	Echo	USA ECHO	1		1	Default		1	=	1				5	1	3	2	N	A	3			1000000000	0	1	1	0	0	0	0	2	3	0.4			2	1					129	0	0	12.14		0.8	43280	43280	43350	43292	0	43306	43348	1	0	0.557377049	0	0	0	0		N	FALSE		
AGROTA	Repuestos Shindaiwa.xlsm	43313	Bodega Central Agrota	10000000635		EC-P021035222		KIT MOTOR RECONSTRUCCION 577 (P021035221)	REPUESTOS 2T	AGROFORESTAL				REPUESTOS	Gris Repuestos	SHINDAIWA			0									81.27	135.73	0			10	8	2	1		LIBRE-663	SAC 		BUF	0.32	0.8	2.3	0.8	28	0			42993	Echo	USA ECHO	1		1	Default		1	=	1				1	5	1	1	L	L	0			1000000000	3	-2	0	0	0	0	0	0	3	-2			0	0					0	163	0	3.22		7	42580	43243	43313	43292	43312	43306	43348	5.149926129	0	0.957142857	0.014285714	0	0	0.028571429			FALSE		
