EMPRESA	ARCHIVO	FECHA	BODEGA	CODIGO	CODIGO FUNCIONAL	CODIGO VINCULADO	CODIGO GENERICO	DESCRIPCION	GRUPO	LINEA	SUBLINEA	FAMILIA	SUBFAMILIA	CATEGORIA	TIPO	MARCA	MODELO	CAT MANAGEMENT	NUEVO	CAT PROPIA 1	CAT PROPIA 2	CAT PROPIA 3	CAT PROPIA 4	CAT PROPIA 5	Estatus	Clasificación	Responsable	CTV	PV	Precio Promoción	Inicio Promoción	Fin Promoción	Horizonte	T Suministro	Frec Repos	GDB	Cam	Etapa	Estado Reposiciones	Nuevo Buff Sug	Comportamiento	Consumo	Cobertura Buffer	Cobertura Inv Proy	Cobertura Ped Min	Días Desabastecimiento	Ventas Perdidas	Posponer BUF	Posponer RED	Posponer GDB	Proveedor	Perfil	Buff Min	Buff Max	PEDID Min	Redondeo Pedido Mínimo	PEDID Min Grupo	Unidad Empaque	Redondeo Unidad Empaque	Porc Aten	Impacto Faltante	Observaciones	Nuevo Buff Real	Buff Act	Buff Calc	Zona Amar	Zona Roja	Color	Color1	Ult Buffer	Buff Ant Estacion	Buff Estacional	Inv Proveed	Inv Fís Act	Estado Buffer	Tráns Act	Negociación	Producción	Embarcado	Comprom	Backorders	Inv Proy Act	Estado Buffer Proy	Ingresos	Egresos	PEDIDCalc	PEDID Prom	PEDID Real	Calendario Estacional	Acción Estacional	Etapa Estacional	T$D	I$D	Rentabilid	Rentabilidad Proy	Vel Efect	Servicio	Ult Cambio	Inicio Per	Fin Per	Ult Transfer Inicial	Ult Transfer Final	Fecha Nuevo Pedido	Fecha Esperada Arribo	Var	Rojo Acum	Negro	Rojo	Amarillo	Verde	Lila	Err Ped Grupo	Color Repos Frec	Omisiones GDB	Numero Fila	Borrar
MOTORALMOR	SCMG.xlsm	43384	BP-MATRIZ	01.003.0004				APOYA PIES I/D ALUMINIO CROSS AZUL AP-02 - MOXAL - CHINA	ACCESORIOS DE MOTOCICLETA	ACCESORIOS	APOYA PIES ALUMINIO					MOXAL	AP-02		0						CS		SCMG	2.13	3.22	0	36526	36526	18	24	12	1		LIBRE-72				3.26	0	0.2	7.7	0	0	43219		43166	243 - 	243-T24-F12			100	Clasificación	2000	1	=	1				0	177	0	0	G	G	250			1000000000	3	0	0	0	0	0	0	0	3	0			0	0					0	0	0	0		0	43186	43258	43384	43067	0	43151	43235	0.552331731	0	0	0	0	0	0.94017094			FALSE		
MOTORALMOR	SCMG.xlsm	43384	BP-MATRIZ	01.003.0005				APOYA PIES I/D ALUMINIO CROSS ROJO AP-02 - MOXAL - CHINA	ACCESORIOS DE MOTOCICLETA	ACCESORIOS	APOYA PIES ALUMINIO					MOXAL	AP-02		0						AF		SCMG	2.32	3.22	0	36526	36526	18	24	12	1		LIBRE-72				2.49	0	0	10	0	0		43219	42794	243 - 	243-T24-F12			100	Clasificación	2000	1	=	1				0	135	0	0	G	G	180			1000000000	0	0	0	0	0	0	0	0	0	0			0	0					0	0	0	0		0	43186	43258	43384	42767	0	42851	42935	1	0	0.94017094	0	0	0	0			FALSE		
MOTORALMOR	SCMG.xlsm	43384	BP-MATRIZ	01.003.0006				APOYA PIES I/D ALUMINIO CROSS GRIS AP-02 - MOXAL - CHINA	ACCESORIOS DE MOTOCICLETA	ACCESORIOS	APOYA PIES ALUMINIO					MOXAL	AP-02		0						AF		SCMG	2.29	3.22	0	36526	36526	18	24	12	1		LIBRE-72				4.08	0	0.1	6.1	0	0	42751	42751	42845	243 - 	243-T24-F12			100	Clasificación	2000	1	=	1				0	221	0	0	G	G	160			1000000000	1	0	0	0	0	0	0	0	1	0			0	0					0	0	0	0		0	43186	43258	43384	42767	0	42851	42935	0.571763116	0	0	0	0	0	0.94017094			FALSE		
MOTORALMOR	SCMG.xlsm	43384	BP-MATRIZ	01.003.0007				APOYA PIES I/D ALUMINIO CROSS NEGRO AP-02 - MOXAL - CHINA	ACCESORIOS DE MOTOCICLETA	ACCESORIOS	APOYA PIES ALUMINIO					MOXAL	AP-02		0						BF		SCMG	2.35	3.22	0	36526	36526	18	24	12	1		LIBRE-72				6.18	0	0.4	4	0	0	42254		42879	243 - 	243-T24-F12			100	Clasificación	2000	1	=	1				0	334	0	0	G	G	170			1000000000	10	0	0	0	0	0	0	0	10	0			0	0					0	0	0	0		0	43186	43258	43384	42818	0	42902	42986	0.550050161	0	0	0	0	0	0.94017094			FALSE		
MOTORALMOR	SCMG.xlsm	43384	BP-MATRIZ	01.024.0016				MASCARILLA CON BASE AZUL XY150 UTILITARIA - MOXAL - CHINA	ACCESORIOS DE MOTOCICLETA	ACCESORIOS	MASCARILLAS					MOXAL	XY150 UTILITARIA		0						CS		SCMG	4.13	5.15	0	36526	36526	18	24	12	1		LIBRE-83				0.39	0	10.9	0.6	0	0	42451			243 - 	243-T24-F12			1	Clasificación	200	1	=	1				0	22	0	0	G	G	0			1000000000	17	0	0	0	0	0	0	0	17	0			0	0					0	0	0	0		0	43175	43258	43384	36526	36526	36526	36694	0.115323212	0	0	0	0	0	0.94017094			FALSE		
MOTORALMOR	SCMG.xlsm	43384	BP-MATRIZ	01.024.0020				MASCARILLA BASE AZUL XY150 UTILITARIA - CR1 - CHINA	ACCESORIOS DE MOTOCICLETA	ACCESORIOS	MASCARILLAS					CR1	XY150 UTILITARIA		0						BM		SCMG	2.63	4.46	0	36526	36526	18	24	12	1		LIBRE-83	MAC 			2.96	6.8	9	5.9	0	0	43445		43122	243 - 	243-T24-F12			70	Clasificación		1	=	1				80	160	53	26	L	L	225			1000000000	106	-0.325	0	0	0	0	0	0	106	-0.325			0	27					0	68	0	0.93		0	43175	43258	43384	43067	0	43151	43235	0.068246277	0	0	0	0	0	0.94017094			FALSE		
MOTORALMOR	SCMG.xlsm	43384	BP-MATRIZ	01.024.0021				MASCARILLA BASE NEGRA XY150 UTILITARIA - CR1 - CHINA	ACCESORIOS DE MOTOCICLETA	ACCESORIOS	MASCARILLAS					CR1	XY150 UTILITARIA		0						AF		SCMG	2.4	4.46	0	36526	36526	18	24	12	1	+-	LIBRE-83	OK			4.85	12.9	9.8	5.2	0	0			43403	243 - 	243-T24-F12			100	Clasificación		1	=	1				250	262	166	83	R	V	375			1000000000	40	0.84	150	0	0	150	0	0	190	0.24			100	83					89	0	0	1.14		1	43175	43258	43384	43311	43395	43395	43395	0.196851942	1603	0	0.717948718	0.222222222	0	0		R	FALSE		
MOTORALMOR	SCMG.xlsm	43384	BP-MATRIZ	01.024.0022				MASCARILLA BASE ROJO XY150 UTILITARIA - CR1 - CHINA	ACCESORIOS DE MOTOCICLETA	ACCESORIOS	MASCARILLAS					CR1	XY150 UTILITARIA		0						AF		SCMG	2.5	4.46	0	36526	36526	18	24	12	1	-	SUSP-22	MAC 			5.84	9	6.7	4.3	0	0			43122	243 - 	243-T24-F12			100	Clasificación		1	=	1				210	316	140	69	V	V	300			1000000000	156	0.2571	0	0	0	0	0	0	156	0.2571			100	70					0	0	0	1.05		0	43280	43280	43406	43067	0	43151	43235	0.083974803	0	0	0	0	0.756756757	0.036036036		N	FALSE		
MOTORALMOR	SCMG.xlsm	43384	BP-MATRIZ	01.024.0043				MASCARILLA INFERIOR AZUL XY125-8X - MOXAL - CHINA	ACCESORIOS DE MOTOCICLETA	ACCESORIOS	MASCARILLAS					MOXAL	XY125-8X		0						CS		SCMG	6.85	8.03	0	36526	36526	18	24	12	1		LIBRE-83				0.13	0	3.8	1.9	0	0				243 - 	243-T24-F12			1	Clasificación	100	1	=	1				0	8	0	0	G	G	0			1000000000	2	0	0	0	0	0	0	0	2	0			0	0					0	0	0	0		0	43175	43258	43384	36526	36526	36526	36694	0.36404637	0	0.025641026	0	0	0	0.914529915			FALSE		
MOTORALMOR	SCMG.xlsm	43384	BP-MATRIZ	01.024.0050				MASCARILLA Y PARABRISAS P135LS - MOXAL - CHINA	ACCESORIOS DE MOTOCICLETA	ACCESORIOS	MASCARILLAS					MOXAL	P135LS		0						BF		SCMG	4.96	11.91	0	36526	36526	18	24	12	1	+-	LIBRE-83	OK			5.33	7	0.4	1.4	0	0	43445		43403	243 - 	243-T24-F12			30	Clasificación		1	=	1				150	288	100	50	R	R	150			1000000000	9	0.94	0	0	50	0	0	0	9	0.94			141	50					285	0	0	1.87		1	43175	43258	43384	43311	43395	43395	43395	0.548620428	2082	0	0.717948718	0.222222222	0	0		R	FALSE		
