EMPRESA	ARCHIVO	FECHA	BODEGA	CODIGO	CODIGO FUNCIONAL	CODIGO VINCULADO	CODIGO GENERICO	DESCRIPCION	GRUPO	LINEA	SUBLINEA	FAMILIA	SUBFAMILIA	CATEGORIA	TIPO	MARCA	MODELO	CAT MANAGEMENT	NUEVO	CAT PROPIA 1	CAT PROPIA 2	CAT PROPIA 3	CAT PROPIA 4	CAT PROPIA 5	Estatus	Clasificación	Responsable	CTV	PV	Precio Promoción	Inicio Promoción	Fin Promoción	Horizonte	T Suministro	Frec Repos	GDB	Cam	Etapa	Estado Reposiciones	Nuevo Buff Sug	Comportamiento	Consumo	Cobertura Buffer	Cobertura Inv Proy	Cobertura Ped Min	Días Desabastecimiento	Ventas Perdidas	Posponer BUF	Posponer RED	Posponer GDB	Proveedor	Perfil	Buff Min	Buff Max	PEDID Min	Redondeo Pedido Mínimo	PEDID Min Grupo	Unidad Empaque	Redondeo Unidad Empaque	Porc Aten	Impacto Faltante	Observaciones	Nuevo Buff Real	Buff Act	Buff Calc	Zona Amar	Zona Roja	Color	Color1	Ult Buffer	Buff Ant Estacion	Buff Estacional	Inv Proveed	Inv Fís Act	Estado Buffer	Tráns Act	Negociación	Producción	Embarcado	Comprom	Backorders	Inv Proy Act	Estado Buffer Proy	Ingresos	Egresos	PEDIDCalc	PEDID Prom	PEDID Real	Calendario Estacional	Acción Estacional	Etapa Estacional	T$D	I$D	Rentabilid	Rentabilidad Proy	Vel Efect	Servicio	Ult Cambio	Inicio Per	Fin Per	Ult Transfer Inicial	Ult Transfer Final	Fecha Nuevo Pedido	Fecha Esperada Arribo	Var	Rojo Acum	Negro	Rojo	Amarillo	Verde	Lila	Err Ped Grupo	Color Repos Frec	Omisiones GDB	Numero Fila	Borrar
MOTORALMOR	TVLM.xlsm	43384	BP-MATRIZ	02.001.0001				BATERIA LIBRE MAN 12V 6Ah (- +) (113L*69A*131H) DTX7LBS - DYNAVOLT - CHINA	BATERIA	BATERIAS	BATERIAS MOTOCICLETA					DYNAVOLT	DTX7LBS		0						BM		SGPX	12.2	20.09	0	36526	36526	19	15	4	1		SUSP-112				15.59	0	0	0.9	0	0			42935	3366 - DY	3366 - T15-F4			56	Clasificación		8	=	1				0	445	0	0	G	G	0			1000000000	3	0	0	0	0	0	0	0	3	0			0	0					0	0	0	0		0	43363	43363	43496	36526	36526	36526	36631	0.865951803	0	0.01010101	0	0	0	0.141414141			FALSE		
MOTORALMOR	TVLM.xlsm	43384	BP-MATRIZ	02.001.0002				BATERIA LIBRE MAN 12V 6Ah (+ -) (149L*86A*94H) DTX7A-BS - DYNAVOLT - CHINA	BATERIA	BATERIAS	BATERIAS MOTOCICLETA					DYNAVOLT	DTX7A-BS		0						BF		SGPX	13.9	20.3	0	36526	36526	19	15	4	1		SUSP-112				35.34	0	3.7	0.4	0	0			43161	3366 - DY	3366 - T15-F4			54	Clasificación		6	=	1				0	1008	0	0	G	G	872			1000000000	125	0	396	0	0	396	0	0	521	0			0	0					0	0	0	0		0	43363	43363	43496	43221	43249	43249	43326	0.649720865	0	0	0	0	0	0.151515152			FALSE		
MOTORALMOR	TVLM.xlsm	43384	BP-MATRIZ	02.001.0003				BATERIA CONVENCIONAL 12N5-3B/12V 5Ah (- +) (L130xA62x129H) 12N5-3B - DYNAVOLT - CHINA	BATERIA	BATERIAS	BATERIAS MOTOCICLETA					DYNAVOLT	12N5-3B		0						AF		SGPX	9.27	14.98	0	36526	36526	19	15	4	1		SUSP-112				54.63	0	3	0.2	0	0			43161	3366 - DY	3366 - T15-F4			54	Clasificación		9	=	1				0	1557	0	0	G	G	1200			1000000000	141	0	504	0	0	504	0	0	645	0			0	0					0	0	0	0		0	43363	43363	43496	43221	43249	43249	43326	0.695861466	0	0	0	0	0	0.151515152			FALSE		
MOTORALMOR	TVLM.xlsm	43384	BP-MATRIZ	02.001.0004				BATERIA CONVENCIONAL 6N4-2A-2/6V 4Ah (+ -) (70L*70A*95H) 6N4-2A-2 - DYNAVOLT - CHINA	BATERIA	BATERIAS	BATERIAS MOTOCICLETA					DYNAVOLT	6N4-2A-2		0						CS		SGPX	4.13	6.68	0	36526	36526	19	15	4	1		SUSP-112				7	0	1.3	2.1	0	0			43161	3366 - DY	3366 - T15-F4			60	Clasificación		20	=	1				0	200	0	0	G	G	0			1000000000	35	0	0	0	0	0	0	0	35	0			0	0					0	0	0	0		0	43363	43363	43496	36526	36526	36526	36631	0.108830428	0	0	0	0	0	0.151515152			FALSE		
MOTORALMOR	TVLM.xlsm	43384	BP-MATRIZ	02.001.0005				BATERIA LIBRE MAN 12V 4Ah (- +) (113L*69A*106H) DTX5L-BS - DYNAVOLT - CHINA	BATERIA	BATERIAS	BATERIAS MOTOCICLETA					DYNAVOLT	DTX5L-BS		0						CM		SGPX	9.68	16.09	0	36526	36526	19	15	4	1		SUSP-112				9.02	0	0	1.6	0	0			42935	3366 - DY	3366 - T15-F4			56	Clasificación		8	=	1				0	258	0	0	G	G	0			1000000000	0	0	0	0	0	0	0	0	0	0			0	0					0	0	0	0		0	43363	43363	43496	36526	36526	36526	36631	1	0	0.151515152	0	0	0	0			FALSE		
MOTORALMOR	TVLM.xlsm	43384	BP-MATRIZ	02.001.0006				BATERIA LIBRE MAN DTX4L-BS/12V-3Ah (- +) (113L*69A*87H) DTX4L-BS - DYNAVOLT - CHINA	BATERIA	BATERIAS	BATERIAS MOTOCICLETA					DYNAVOLT	DTX4L-BS		0						CM		SGPX	7.56	12.18	0	36526	36526	19	15	4	1		SUSP-112				18.64	0	2.9	0.8	0	0				3366 - DY	3366 - T15-F4			56	Clasificación		8	=	1				0	532	0	0	G	G	400			1000000000	217	0	0	0	0	0	0	0	217	0			0	0					0	0	0	0		0	43363	43363	43496	36526	36526	36526	36631	0.022754075	0	0	0	0	0	0.151515152			FALSE		
MOTORALMOR	TVLM.xlsm	43384	BP-MATRIZ	02.001.0007				BATERIA CONVENCIONAL DB7L-B/12V 7Ah (- +) (143L*74A*133H) DB7L-B - DYNAVOLT - CHINA	BATERIA	BATERIAS	BATERIAS MOTOCICLETA					DYNAVOLT	DB7L-B		0						CS		SGPX	11.82	20.14	0	36526	36526	19	15	4	1		SUSP-112				5.5	0	1.3	2.5	0	0	43252		43372	3366 - DY	3366 - T15-F4			54	Clasificación		6	=	1				0	157	0	0	G	G	120			1000000000	28	0	0	0	0	0	0	0	28	0			0	0					0	0	0	0		0	43363	43363	43496	36526	36526	36526	36631	0.066130007	0	0	0	0	0	0.151515152			FALSE		
MOTORALMOR	TVLM.xlsm	43384	BP-MATRIZ	02.001.0008				BATERIA CONVENCIONAL 12N7A-3A/12V-7Ah (- +) (157L*60A*132H) 12N7A-3A - DYNAVOLT - CHINA	BATERIA	BATERIAS	BATERIAS MOTOCICLETA					DYNAVOLT	12N7A-3A		0						BM		SGPX	13.56	20.3	0	36526	36526	19	15	4	1		SUSP-112				26.45	0	3.8	0.5	0	0			43161	3366 - DY	3366 - T15-F4			54	Clasificación		6	=	1				0	754	0	0	G	G	823			1000000000	104	0	300	0	0	300	0	0	404	0			0	0					0	0	0	0		0	43363	43363	43496	43221	43249	43249	43326	0.598627674	0	0	0	0	0	0.151515152			FALSE		
MOTORALMOR	TVLM.xlsm	43384	BP-MATRIZ	02.001.0009				BATERIA LIBRE MAN DB7B-BS/12V 7Ah (- +) (147L*59H*130A) DTX7LBS - DYNAVOLT - CHINA	BATERIA	BATERIAS	BATERIAS MOTOCICLETA					DYNAVOLT	DTX7LBS		0						CS		SGPX	12.43	19.9	0	36526	36526	19	15	4	1		SUSP-112				2.96	0	0	4.6	0	0				3366 - DY	3366 - T15-F4			54	Clasificación		6	=	1				0	85	0	0	G	G	0			1000000000	0	0	0	0	0	0	0	0	0	0			0	0					0	0	0	0		0	43363	43363	43496	36526	36526	36526	36631	1	0	0.151515152	0	0	0	0			FALSE		
MOTORALMOR	TVLM.xlsm	43384	BP-MATRIZ	02.001.0010				BATERIA CONVENCIONAL DB6.5L-A/12V-6.5Ah (- +) (135L*70A*95H) DB6.5L-A - DYNAVOLT - CHINA	BATERIA	BATERIAS	BATERIAS MOTOCICLETA					DYNAVOLT	DB6.5L-A		0						BF		SGPX	10.39	18.28	0	36526	36526	19	15	4	1		SUSP-112				40.71	0	3.4	0.3	0	0			43161	3366 - DY	3366 - T15-F4			54	Clasificación		6	=	1				0	1161	0	0	G	G	1100			1000000000	108	0	444	0	0	444	0	0	552	0			0	0					0	0	0	0		0	43363	43363	43496	43221	43249	43249	43326	0.739721423	0	0	0	0	0	0.151515152			FALSE		
